15-163801,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img58462887.jpg?fitin=700:700,87360.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＲマフラーBRG レガシィ ツーリングワゴン 2.0 GT DIT,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"適合車両
BR9 レガシィ ツーリングワゴン 2.5 GT
ボディ型式 ： DBA-BR9
エンジン型式 ： EJ25
年式 ： H21.05～ 
適合車両 
BRG レガシィ ツーリングワゴン 2.0 GT DIT
ボディ型式 ： DBA-BRG
エンジン型式 ： FA20
年式 ： H24.05～ 
出口形状   
117φラウンドスラッシュ（II・R.L） 
備考  
AT/MT(BRG)、CVT(BRG)共通",FGK（フジツボ）オーソライズＲマフラーBRG レガシィ ツーリングワゴン 2.0 GT DIT：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＲマフラーBRG レガシィ ツーリングワゴン 2.0 GT DIT,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＲマフラーBRG レガシィ ツーリングワゴン 2.0 GT DIT[rn]
15-163852,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img59305807.jpg?fitin=700:700,33600.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズKマフラーH82W ekワゴン 4WD マイナー後,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"対応車種
<BR>H92W オッティ NA 2WDボディ型式 ： DBA-H92Wエンジン型式 ： 3G83年式 ： H18.10～H20.09 H92W オッティ NA 4WDボディ型式 ： DBA-H92Wエンジン型式 ： 3G83年式 ： H18.10～H20.09 H92W オッティ NA 2WD マイナー後ボディ型式 ： DBA-H92Wエンジン型式 ： 3G83年式 ： H20.09～H20.12 H92W オッティ NA 4WD マイナー後ボディ型式 ： DBA-H92Wエンジン型式 ： 3G83年式 ： H20.09～H20.12 H82W eKワゴン 2WDボディ型式 ： DBA-H82Wエンジン型式 ： 3G83年式 ： H18.09～H20.08 H82W eKワゴン 4WDボディ型式 ： DBA-H82Wエンジン型式 ： 3G83年式 ： H18.09～H20.08 H82W ekワゴン 2WD マイナー後ボディ型式 ： DBA-H82Wエンジン型式 ： 3G83年式 ： H20.08～H20.12 H82W ekワゴン 4WD マイナー後ボディ型式 ： DBA-H82Wエンジン型式 ： 3G83年式 ： H20.08～H20.12 H82W ekワゴン 2WD マイナー後ボディ型式 ： DBA-H82Wエンジン型式 ： 3G83年式 ： H20.12～ H82W ekワゴン 4WD マイナー後ボディ型式 ： DBA-H82Wエンジン型式 ： 3G83年式 ： H20.12～  <BR><BR>特記事項

<BR>2WD、4WD共通 
4AT車、5MT車共通",FGK（フジツボ）オーソライズKマフラーH82W ekワゴン 4WD マイナー後：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズKマフラーH82W ekワゴン 4WD マイナー後,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズKマフラーH82W ekワゴン 4WD マイナー後[rn]
15-163853,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img58469762.jpg?fitin=700:700,139216.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＲMマフラー ZN6 86 2.0,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"適合車両
<BR>ZN6 86 2.0ボディ型式 ： DBA-ZN6エンジン型式 ： FA20年式 ： H24.04～ 

<BR><BR>
ZC6 BRZ 2.0ボディ型式 ： DBA-ZC6エンジン型式 ： FA20年式 ： H24.03～ 


<BR>AT/MT 共通 
86/BRZ 共通
チタン＋カーボンモデル",FGK（フジツボ）オーソライズＲMマフラー ZN6 86 2.0：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＲMマフラー ZN6 86 2.0,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＲMマフラー ZN6 86 2.0[rn]
15-163854,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img59305813.jpg?fitin=700:700,49840.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズKマフラーLA100S ムーヴ カスタム ターボ 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"対応車種
<BR>LA100S ムーヴ カスタム ターボ 2WDボディ型式 ： CBA-LA100Sエンジン型式 ： KF年式 ： H22.12～H23.07   <BR><BR>特記事項

<BR>",FGK（フジツボ）オーソライズKマフラーLA100S ムーヴ カスタム ターボ 2WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズKマフラーLA100S ムーヴ カスタム ターボ 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズKマフラーLA100S ムーヴ カスタム ターボ 2WD[rn]
15-163855,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img59476718.jpg?fitin=700:700,27384.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズKマフラーL375S タント カスタム ターボ 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"L575A ピクシス スペース カスタム ターボ 2WDボディ型式 ： CBA-L575Aエンジン型式 ： KF年式 ： H23.09～H24.04 L455F ルクラ カスタム ターボ 2WDボディ型式 ： CBA-L455Fエンジン型式 ： KF-DET,KF年式 ： H22.04～H24.05 L375S タント カスタム ターボ 2WDボディ型式 ： CBA-L375Sエンジン型式 ： KF-DET,KF年式 ： H19.12～H24.05 L375S タント カスタム NA 2WDボディ型式 ： DBA-L375Sエンジン型式 ： KF-VE年式 ： H19.12～H23.06 L455S タント エグゼ カスタム ターボ 2WDボディ型式 ： CBA-L455Sエンジン型式 ： KF-DET,KF年式 ： H21.12～H24.05 L675S ミラ ココア NA 2WDボディ型式 ： DBA-L675Sエンジン型式 ： KF-VE,KF年式 ： H21.08～H24.04 L175S ムーヴ カスタム ターボ 2WDボディ型式 ： CBA-L175Sエンジン型式 ： KF-DET年式 ： H18.10～H22.12 L175S ムーヴ カスタム ＮＡ 2WDボディ型式 ： DBA-L175Sエンジン型式 ： KF-VE年式 ： H18.10～H22.12 L575S ムーヴ コンテ カスタム ターボ 2WDボディ型式 ： CBA-L575Sエンジン型式 ： KF-DET,KF年式 ： H20.08～H24.04 
特記事項
カスタム専用 
AT車、CVT車 共通",FGK（フジツボ）オーソライズKマフラーL375S タント カスタム ターボ 2WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズKマフラーL375S タント カスタム ターボ 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズKマフラーL375S タント カスタム ターボ 2WD[rn]
15-163856,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img59276027.jpg?fitin=700:700,39200.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＥマフラーAHR20W エスティマ 2.4 ハイブリッド,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"適合車両<BR>
AHR20W エスティマ 2.4 ハイブリッドボディ型式 ： DAA-AHR20Wエンジン型式 ： 2AZ-FXE年式 ： H18.06～ 
<BR><BR>
特記事項

<BR>
ハイブリッド アエラス、ハイブリッド G、ハイブリッド X 共通

<BR>",FGK（フジツボ）オーソライズＥマフラーAHR20W エスティマ 2.4 ハイブリッド：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＥマフラーAHR20W エスティマ 2.4 ハイブリッド,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＥマフラーAHR20W エスティマ 2.4 ハイブリッド[rn]
15-163857,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img59417138.jpg?fitin=700:700,30800.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズKマフラーL275S ミラ カスタム NA 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"L275S ミラ カスタム NA 2WD
L275S ミラ カスタム ターボ 2WD
L175S ムーヴ カスタム ターボ 2WD
L175S ムーヴ カスタム ＮＡ 2WD
L375S タント カスタム NA 2WD
L575S ムーヴ コンテ カスタム NA 2WD
L575S ムーヴ コンテ カスタム ターボ 2WD
L375S タント カスタム ターボ 2WD
L675S ミラ ココア NA 2WD
L455S タント エグゼ カスタム ターボ 2WD
L455F ルクラ カスタム ターボ 2WD
L575A ピクシス スペース カスタム ターボ 2WD

特記事項

CVT車、AT車共通、カスタム専用 
マッドガード（カスタム用・リア）装着車共通",FGK（フジツボ）オーソライズKマフラーL275S ミラ カスタム NA 2WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズKマフラーL275S ミラ カスタム NA 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズKマフラーL275S ミラ カスタム NA 2WD[rn]
15-163858,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img59518410.jpg?fitin=700:700,30688.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズKマフラーHE22S アルト ラパン ターボ 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"MJ23S AZワゴン カスタムスタイル ターボ 2WDボディ型式 ： CBA-MJ23Sエンジン型式 ： K6A年式 ： H20.09～H22.08 HE22S アルト ラパン ターボ 2WDボディ型式 ： CBA-HE22S,DBA-HE22Sエンジン型式 ： K6A年式 ： H20.11～ MH23S ワゴンR スティングレー ターボ 2WD・4WDボディ型式 ： CBA-MH23S,DBA-MH23Sエンジン型式 ： K6A年式 ： H20.09～ 



特記事項
ワゴンR： T・TSグレード共通 
AZワゴン：カスタムスタイル XT・XT-Lグレード共通
 

備考
詳細データはMH23Sのもの",FGK（フジツボ）オーソライズKマフラーHE22S アルト ラパン ターボ 2WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズKマフラーHE22S アルト ラパン ターボ 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズKマフラーHE22S アルト ラパン ターボ 2WD[rn]
15-163859,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img59305778.jpg?fitin=700:700,25760.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）レガリスKマフラーMG21S モコ NA 2WD・4WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"対応車種
MG21S モコ NA 2WD・4WDボディ型式 ： UA,CBA-MG21S・LA,ABA-MG21Sエンジン型式 ： K6A年式 ： H14.04～H18.01 
<BR><BR>
MC22S ワゴンR NA 2WD マイナー後ボディ型式 ： UA-MC22Sエンジン型式 ： K6A年式 ： H14.09～H15.09 
<BR><BR>
MF21S MRワゴン NA 2WDボディ型式 ： LA,UA,CBA-MF21Sエンジン型式 ： K6A年式 ： H13.12～H18.01 






純正リヤロアスカート装着車共通、但しモデューロタイプZZ装着車取付不可",FGK（フジツボ）レガリスKマフラーMG21S モコ NA 2WD・4WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）レガリスKマフラーMG21S モコ NA 2WD・4WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）レガリスKマフラーMG21S モコ NA 2WD・4WD[rn]
15-163860,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img58709273.jpg?fitin=700:700,47600.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＲマフラーNV350 キャラバン 2.0 ガソリン 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"適合車両

NV350 キャラバン 2.0 ガソリン 2WDボディ型式 ： CBF&#8722;VR2E26エンジン型式 ： QR20DE年式 ： H24.06～  


特記事項

<BR>AT車 専用 
ロングバン 標準ルーフ 専用 
ライダー プレミアムGX/インテリアパッケージ 共通",FGK（フジツボ）オーソライズＲマフラーNV350 キャラバン 2.0 ガソリン 2WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＲマフラーNV350 キャラバン 2.0 ガソリン 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＲマフラーNV350 キャラバン 2.0 ガソリン 2WD[rn]
15-163861,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img58482856.jpg?fitin=700:700,30688.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＳマフラーGP3 フリード ハイブリッド 1.5 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"適合車両<BR>
GB3 フリード 1.5 2WDボディ型式 ： DBA-GB3エンジン型式 ： L15A年式 ： H20.05～<BR> GB3 フリード スパイク 1.5 2WD エアロ付ボディ型式 ： DBA-GB3エンジン型式 ： L15A年式 ： H22.07～<BR> GP3 フリード ハイブリッド 1.5 2WDボディ型式 ： DAA-GP3エンジン型式 ： LEA-MF6年式 ： H23.10～ <BR>GP3 フリード スパイク ハイブリッド 1.5 2WDボディ型式 ： DAA-GP3エンジン型式 ： LEA-MF6年式 ： H23.10～ 

<BR><BR>
エアロフォルムバンパー装着車共通 
フリードスパイク Gエアロ/GIエアロ共通",FGK（フジツボ）オーソライズＳマフラーGP3 フリード ハイブリッド 1.5 2WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＳマフラーGP3 フリード ハイブリッド 1.5 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＳマフラーGP3 フリード ハイブリッド 1.5 2WD[rn]
15-163862,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img58637888.jpg?fitin=700:700,31920.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＳマフラーNCP120 ラクティス 1.5 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"NCP120 ラクティス 1.5 2WDボディ型式 ： DBA-NCP120エンジン型式 ： 1NZ-FE年式 ： H22.11～ 

<BR><BR>
NCP120X トレジア 1.5 2WDボディ型式 ： DBA-NCP120Xエンジン型式 ： 1NZ-FE年式 ： H22.11～ 
<BR><BR>

<BR>特記事項

<BR>NCP120：G,X,レピス,Sグレード共通 
<BR>
NCP120X：1.5i,1.5i-L,1.5i-Lパノラマ,1.5i-S共通",FGK（フジツボ）オーソライズＳマフラーNCP120 ラクティス 1.5 2WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＳマフラーNCP120 ラクティス 1.5 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＳマフラーNCP120 ラクティス 1.5 2WD[rn]
15-163863,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img58483041.jpg?fitin=700:700,74480.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）レガリスＲタイプSマフラーZ33 フェアレディZ 05マイナー後 MT,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"対応車種
Z33 フェアレディZ 05マイナー後 MTボディ型式 ： CBA-Z33エンジン型式 ： VQ35DE年式 ： H17.09～H19.01 <BR><BR>

Z33 フェアレディZ 07マイナー後 MTボディ型式 ： CBA-Z33エンジン型式 ： VQ35HR年式 ： H19.01～H20.11 
<BR><BR>
M/T専用",FGK（フジツボ）レガリスＲタイプSマフラーZ33 フェアレディZ 05マイナー後 MT：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）レガリスＲタイプSマフラーZ33 フェアレディZ 05マイナー後 MT,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）レガリスＲタイプSマフラーZ33 フェアレディZ 05マイナー後 MT[rn]
15-163864,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img59476708.jpg?fitin=700:700,49840.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズKマフラーL575S ムーヴ コンテ カスタム ターボ 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"L575A ピクシス スペース カスタム ターボ 2WDボディ型式 ： CBA-L575Aエンジン型式 ： KF年式 ： H23.09～H24.04 L455F ルクラ カスタム ターボ 2WDボディ型式 ： CBA-L455Fエンジン型式 ： KF-DET,KF年式 ： H22.04～H24.05 L455S タント エグゼ カスタム ターボ 2WDボディ型式 ： CBA-L455Sエンジン型式 ： KF-DET,KF年式 ： H21.12～H24.05 L375S タント カスタム ターボ 2WDボディ型式 ： CBA,DBA-L375Sエンジン型式 ： KF-DET,KF年式 ： H19.12～ L175S ムーヴ カスタム ターボ 2WDボディ型式 ： CBA-L175Sエンジン型式 ： KF-DET年式 ： H18.10～H22.12 L575S ムーヴ コンテ カスタム ターボ 2WDボディ型式 ： CBA-L575Sエンジン型式 ： KF-DET,KF年式 ： H20.08～H24.04 

特記事項
カスタム(CVT車)専用
 

備考
詳細データはL175S ムーヴ カスタム ターボ 2WDのものです",FGK（フジツボ）オーソライズKマフラーL575S ムーヴ コンテ カスタム ターボ 2WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズKマフラーL575S ムーヴ コンテ カスタム ターボ 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズKマフラーL575S ムーヴ コンテ カスタム ターボ 2WD[rn]
15-163865,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img58634312.jpg?fitin=700:700,30240.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＳマフラーZ12 キューブ 1.5 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,Z12 キューブ 1.5 2WDボディ型式 ： DBA-Z12エンジン型式 ： HR15DE年式 ： H20.11～,FGK（フジツボ）オーソライズＳマフラーZ12 キューブ 1.5 2WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＳマフラーZ12 キューブ 1.5 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＳマフラーZ12 キューブ 1.5 2WD[rn]
15-163866,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img58685918.jpg?fitin=700:700,40320.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＥマフラーZVW30 プリウス 1.8 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"適合車両<BR>
ZVW30 プリウス 1.8 2WDボディ型式 ： DAA-ZVW30エンジン型式 ： 2ZR-FXE年式 ： H21.05～

<BR><BR>
特記事項

<BR>
ツーリングセレクション共通


<BR>規定の回転数に達しない為、近接排気騒音は2500rpmにて測定",FGK（フジツボ）オーソライズＥマフラーZVW30 プリウス 1.8 2WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＥマフラーZVW30 プリウス 1.8 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＥマフラーZVW30 プリウス 1.8 2WD[rn]
15-163867,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/imgrc0061981172.jpg?fitin=700:700,36400.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＳマフラーGK3 フィット 1.3 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"GK3 フィット 1.3 2WD
    ボディ型式 ： DBA-GK3
    エンジン型式 ： L13B
    年式 ： H25.09～ 
<BR><BR>
特記事項
 MT車専用",FGK（フジツボ）オーソライズＳマフラーGK3 フィット 1.3 2WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＳマフラーGK3 フィット 1.3 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＳマフラーGK3 フィット 1.3 2WD[rn]
15-163868,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/imgrc0061981145.jpg?fitin=700:700,60480.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＳマフラーLA600S タント カスタム ターボ 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"LA600S タント カスタム ターボ 2WD
    ボディ型式 ： DBA-LA600S
    エンジン型式 ： KF
    年式 ： H25.10～ 
<BR><BR>
特記事項

RS専用
Wテール左右出し
スマートアシスト装着車共通",FGK（フジツボ）オーソライズＳマフラーLA600S タント カスタム ターボ 2WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＳマフラーLA600S タント カスタム ターボ 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＳマフラーLA600S タント カスタム ターボ 2WD[rn]
15-163869,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img58469759.jpg?fitin=700:700,47600.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＲマフラー NV350 キャラバン 2.0 ガソリン 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"適合車両
<BR>NV350 キャラバン 2.0 ガソリン 2WD
<BR>ボディ型式 ： CBF&#8722;VR2E26
<BR>エンジン型式 ： QR20DE
<BR>年式 ： H24.06～  
<BR>AT車 専用 
<BR>ロングバン 標準ルーフ 専用 
<BR>ライダー プレミアムGX/インテリアパッケージ 共通",FGK（フジツボ）オーソライズＲマフラー NV350 キャラバン 2.0 ガソリン 2WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＲマフラー NV350 キャラバン 2.0 ガソリン 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＲマフラー NV350 キャラバン 2.0 ガソリン 2WD[rn]
15-163870,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img58469780.jpg?fitin=700:700,31920.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＳマフラーGE8 フィット RS 1.5 2WD マイナー後,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"対応車種
GE8 フィット RS 1.5 2WDボディ型式 ： DBA-GE8エンジン型式 ： L15A年式 ： H19.10～H22.10 GE8 フィット RS 1.5 2WD マイナー後ボディ型式 ： DBA-GE8エンジン型式 ： L15A年式 ： H22.10～ GP4 フィット ハイブリッド RS 1.5 2WDボディ型式 ： DAA-GP4エンジン型式 ： LEA年式 ： H24.05～",FGK（フジツボ）オーソライズＳマフラーGE8 フィット RS 1.5 2WD マイナー後：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＳマフラーGE8 フィット RS 1.5 2WD マイナー後,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＳマフラーGE8 フィット RS 1.5 2WD マイナー後[rn]
15-163871,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img58469801.jpg?fitin=700:700,134400.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）Super EX BASIC VERSION（エキマニ） ZN6 86 2.0,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"適合車両
<BR>ZN6 86 2.0ボディ型式 ： DBA-ZN6エンジン型式 ： FA20年式 ： H24.04～ 

<BR>
86専用品




備考

 保安基準適合品 
詳細データはスーパーEXのみ取付時のもの 
第一触媒交換タイプ",FGK（フジツボ）Super EX BASIC VERSION（エキマニ） ZN6 86 2.0：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）Super EX BASIC VERSION（エキマニ） ZN6 86 2.0,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）Super EX BASIC VERSION（エキマニ） ZN6 86 2.0[rn]
