15-160701,http://tshop.r10s.jp/mach7/cabinet/electric/img56704467.jpg?fitin=700:700,1128.0000,,車用品・バイク用品 > カー用品 > トラック用品 > 内装用品 > その他,LEDエコライト(小)24V車専用,,"■エコライト　小 24V専用<br>
■特徴<br>
光源がLEDを使用することで視認性がよく、省電力、長寿命です。また、蛍光灯と違い割れる心配が無いため、安心・安全です。<br>
2段階の明るさ切り替えスイッチ付き<br>
装着に便利なマグネットとフック付き。<br>
非常時の照明や夜間作業でのライティングに。<br>
■LED10個使用<br>
■消費電力　1W<br>
■本体サイズ　50×41×200mm(W×D×H)<br>
■コードの長さ　約4.7m<br>
エコライト大はこちらから
<br>",LEDエコライト(小)24V車専用：トラックショップ　東京マッハ７,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得アートトラックハンドルカバー東京マッハ7カミオンアイマックスバンパーアンドンホイールライナーバイザーメッキフロントバンパーステンレスミラーステーデコトラリレー機シフトノブホーンハンドルスピンナーエクステンションマーカーランプトラック用品LEDエコライト(小)24V車専用,シガーライターで簡単配線。LEDエコライト(小)24V車専用[rn]
15-160780,http://tshop.r10s.jp/gold/toproad/img/common_densou/marker_lamp/yac/yac_ryuusei_unit_1.jpg?fitin=700:700,1280.0000,,車用品・バイク用品 > カー用品 > トラック用品 > 外装用品 > ランプ（電飾パーツ）,YAC 超流星LEDマーカーユニット 12/24V共用 全６色,,"【商品名】<br>
【ヤック】 超流星LEDマーカーユニット 12/24V共用 全６色
<br><br>
【仕様】<br>
■主材質：アクリル／スチール<br>
■重量：約４０ｇ<br>
■定格電圧：ＤＣ１２Ｖ／２４Ｖ<br>
■定格電流：約６０ｍＡ（ＤＣ２８Ｖ時）<br>
■使用ＬＥＤ数：９個<br>
<br><br>
※ほとんどのバスマーカーランプを綺麗に明るく光らせることができます！
<br><br>
【カラー】<br>
<font color=""blue"">
※複数色ございますので、「色を選択して下さい。」よりご購入時ご希望の色を選択するようお願い致します。
</font>
<br><br>
■イエロー：ＣＥ－３１<br>
■アンバー：ＣＥ－３２<br>
■レッド　：ＣＥ－３３<br>
■グリーン：ＣＥ－３４<br>
■ブルー　：ＣＥ－３５<br>
■ホワイト：ＣＥ－３７
<br><br>
■当店で販売している超流星LEDマーカーで使用しているＬＥＤユニットとなります。明るいです！
<br><br>
<font color=""red"">
【注意事項】<br>
※メール便はお選び頂けません。メール便を選ばれた場合、当店にてヤマト宅急便に切換えさせて頂きますので予めご了承下さい。
</font>
<br><br>",YAC 超流星LEDマーカーユニット 12/24V共用 全６色：トラックショップトップロード仙台,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得トラックトラック用品アンドン板マーカーランプテールランプケミカル用品ミニのぼりのぼりステッカーカッティングトラック　ステッカートラック　カッティングトラック　ミニのぼりステンレス製品ナンバー枠工具箱いすゞ日野ふそうＵＤYAC 超流星LEDマーカーユニット 12/24V共用 全６色,YAC 超流星LEDマーカーユニット 12/24V共用 全６色[rn]
15-160781,http://tshop.r10s.jp/gold/toproad/img/common_densou/marker_lamp/jet/526740_1.jpg?fitin=700:700,1120.0000,,車用品・バイク用品 > カー用品 > トラック用品 > 外装用品 > ランプ（電飾パーツ）,【LEDの光が右回転&左回転!!】JET LED13(サーティーン)マーカーユニット２ ミラクル DC24V専用１個 [526740] ※電球と交換するだけ♪,,"【商品名】<br>
【LEDの光が右回転&左回転!!】JET LED13(サーティーン)マーカーユニット２ ミラクル DC24V専用１個 [526740] ※電球と交換するだけ♪
<br><br>
【仕様】<br>
■定格：ＤＣ２４Ｖ 約９０ｍＡ<br>
■口金サイズ：ＢＡ１５Ｓ〔24V12Wバルブ交換用〕<br>
■本体サイズ：約６０ｍｍΦ×高さ２６．５ｍｍ
<br><br>
<font color=""red"">
※商品はユニット（土台）のみとなります。
<br><br>
※この製品は個々のICで作動させている為、2個以上並べて使用しても同調致しません。予め、ご了承ください。
</font>
<br><br>
【カラー】<br>
■ミラクル [526740]
<br><br>
■サーティーン２シリーズにミラクルが新発売★カラフルに光ります！
<br><br>
<font color=""red"">
【注意事項】<br>
※メール便はお選び頂けません。メール便を選ばれた場合、当店にてヤマト宅急便に切換えさせて頂きますので予めご了承下さい。
<br><br>
※常時在庫していますが、店頭でも販売している為欠品時にはお取り寄せとなり、納期約２～３日程頂いております。予めご了承下さい。
</font>
<br><br>",【LEDの光が右回転&amp;左回転!!】JET LED13(サーティーン)マーカーユニット２ ミラクル DC24V専用１個 [526740] ※電球と交換するだけ♪：トラックショップトップロード仙台,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得トラックトラック用品アンドン板マーカーランプテールランプケミカル用品ミニのぼりのぼりステッカーカッティングトラック　ステッカートラック　カッティングトラック　ミニのぼりステンレス製品ナンバー枠工具箱いすゞ日野ふそうＵＤ【LEDの光が右回転&amp;左回転!!】JET LED13(サーティーン)マーカーユニット２ ミラクル DC24V専用１個 [526740] ※電球と交換するだけ♪,【LEDの光が右回転&amp;左回転!!】JET LED13(サーティーン)マーカーユニット２ ミラクル DC24V専用１個 [526740] ※電球と交換するだけ♪[rn]
15-160782,http://tshop.r10s.jp/gold/toproad/img/common_densou/marker_lamp/jet/led5_unit_1.jpg?fitin=700:700,1508.8000,,車用品・バイク用品 > カー用品 > トラック用品 > 外装用品 > ランプ（電飾パーツ）,JET 【電球と交換するだけでマーカーをＬＥＤに♪】 LED5 ハイパワーユニット バスマーカー用 [全８色] [526781_526789],,"【商品名】<br>
【ジェットイノウエ製】【電球と交換するだけでマーカーをＬＥＤに♪】 LED5 ハイパワーユニット バスマーカー用 [全８色] [526781_526789]
<br><br>
【仕様】<br>
■定格<br>
２４Ｖ　約２００ｍＡ
<br><br>
■口金サイズ<br>
ＢＡ１５Ｓ [２４Ｖ１２Ｗバルブ交換用]
<br><br>
■本体サイズ<br>
約６０ｍｍφ×高さ２６．５ｍｍ
<br><br>
※ほとんどのバスマーカーランプを綺麗に明るく光らせることができます！
<br><br>
【カラー】<br>
<font color=""blue"">
※複数色ございますので、「色を選択して下さい。」よりご購入時ご希望の色を選択するようお願い致します。
</font>
<br><br>
■ブルー：５２６７８１<br>
■イエロー：５２６７８２<br>
■グリーン：５２６７８３<br>
■ホワイト：５２６７８４<br>
■レッド：５２６７８６<br>
■アイスブルー：５２６７８７<br>
■アンバー：５２６７８８<br>
■紅茶：５２６７８９
<br><br>
■コメント<br>
■１ワットＬＥＤを５個搭載し驚異の明るさ！！電球と交換するだけの簡単取付♪消費電流約２００ｍＡで経済的＾＾（２４Ｖ１２Ｗは５００ｍＡ）
<br><br>
<font color=""red"">
【注意事項】<br>
※商品はユニットのみとなります。レンズ・土台は付属していませんのでご注意下さい。
<br><br>
※メール便はお選び頂けません。メール便を選ばれた場合、当店にてヤマト宅急便に切換えさせて頂きますので予めご了承下さい。
<br><br>
※常時在庫していますが、店頭でも販売している為欠品時にはお取り寄せとなり、納期約２～３日程頂いております。予めご了承下さい。
</font>
<br><br>",JET 【電球と交換するだけでマーカーをＬＥＤに♪】 LED5 ハイパワーユニット バスマーカー用 [全８色] [526781_526789]：トラックショップトップロード仙台,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得トラックトラック用品アンドン板マーカーランプテールランプケミカル用品ミニのぼりのぼりステッカーカッティングトラック　ステッカートラック　カッティングトラック　ミニのぼりステンレス製品ナンバー枠工具箱いすゞ日野ふそうＵＤJET 【電球と交換するだけでマーカーをＬＥＤに♪】 LED5 ハイパワーユニット バスマーカー用 [全８色] [526781_526789],JET 【電球と交換するだけでマーカーをＬＥＤに♪】 LED5 ハイパワーユニット バスマーカー用 [全８色] [526781_526789][rn]
15-160783,http://tshop.r10s.jp/gold/toproad/img/common_densou/marker_lamp/yac/CE-S07_1.jpg?fitin=700:700,1200.0000,,車用品・バイク用品 > カー用品 > トラック用品 > 外装用品 > ランプ（電飾パーツ）,YAC 流星マーカーユニット「胡蝶蘭(こちょうらん)」１個 DC24V専用 [CE-S07],,"【商品名】<br>
【ヤック】流星マーカーユニット「胡蝶蘭(こちょうらん)」１個 DC24V専用 [CE-S07]
<br><br>
【仕様】<br>
■日本の美しい四季を表現♪<br>
■口金：ＢＡ１５Ｓ <br>
■定格電圧：ＤＣ２４Ｖ<br>
■定格電流：約６０ｍＡ
<br><br>
【型番】<br>
■胡蝶蘭（ＣＥ－Ｓ０７）
<br><br>
【コメント】<br>
■電球と交換するだけでマーカーをＬＥＤに♪<br>
■当店定番商品★カラフルな輝きで綺麗に光ります！
<br><br>
<font color=""red"">
【注意事項】<br>
※メール便はお選び頂けません。メール便を選ばれた場合、当店にてヤマト宅急便に切換えさせて頂きますので予めご了承下さい。
</font>
<br><br>",YAC 流星マーカーユニット「胡蝶蘭(こちょうらん)」１個 DC24V専用 [CE-S07]：トラックショップトップロード仙台,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得トラックトラック用品アンドン板マーカーランプテールランプケミカル用品ミニのぼりのぼりステッカーカッティングトラック　ステッカートラック　カッティングトラック　ミニのぼりステンレス製品ナンバー枠工具箱いすゞ日野ふそうＵＤYAC 流星マーカーユニット「胡蝶蘭(こちょうらん)」１個 DC24V専用 [CE-S07],YAC 流星マーカーユニット「胡蝶蘭(こちょうらん)」１個 DC24V専用 [CE-S07][rn]
15-160784,http://tshop.r10s.jp/gold/toproad/img/common_densou/marker_lamp/yac/CE-S01_1.jpg?fitin=700:700,1200.0000,,車用品・バイク用品 > カー用品 > トラック用品 > 外装用品 > ランプ（電飾パーツ）,YAC 流星マーカーユニット「紫陽花(あじさい)」１個 DC24V専用 [CE-S01],,"【商品名】<br>
【ヤック】流星マーカーユニット「紫陽花(あじさい)」１個 DC24V専用 [CE-S01]
<br><br>
【仕様】<br>
■日本の美しい四季を表現♪<br>
■口金：ＢＡ１５Ｓ <br>
■定格電圧：ＤＣ２４Ｖ<br>
■定格電流：約６０ｍＡ
<br><br>
【型番】<br>
■紫陽花（ＣＥ－Ｓ０１）
<br><br>
【コメント】<br>
■電球と交換するだけでマーカーをＬＥＤに♪<br>
■当店定番商品★カラフルな輝きで綺麗に光ります！
<br><br>
<font color=""red"">
【注意事項】<br>
※メール便はお選び頂けません。メール便を選ばれた場合、当店にてヤマト宅急便に切換えさせて頂きますので予めご了承下さい。
</font>
<br><br>",YAC 流星マーカーユニット「紫陽花(あじさい)」１個 DC24V専用 [CE-S01]：トラックショップトップロード仙台,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得トラックトラック用品アンドン板マーカーランプテールランプケミカル用品ミニのぼりのぼりステッカーカッティングトラック　ステッカートラック　カッティングトラック　ミニのぼりステンレス製品ナンバー枠工具箱いすゞ日野ふそうＵＤYAC 流星マーカーユニット「紫陽花(あじさい)」１個 DC24V専用 [CE-S01],YAC 流星マーカーユニット「紫陽花(あじさい)」１個 DC24V専用 [CE-S01][rn]
15-160785,http://tshop.r10s.jp/gold/toproad/img/common_densou/tail_lamp/oiran/combo/OCWP-SCC-3_1.jpg?fitin=700:700,68000.0000,,車用品・バイク用品 > カー用品 > トラック用品 > 外装用品 > ランプ（電飾パーツ）,【送料無料】花魁COMBO(コンボ) 133LEDテールランプ　『ウィンカータイプ』スモーク/クリア・クリア L/Rセット [OCWP-SCC-3],,"【商品名】<br>
【送料無料】花魁COMBO(コンボ) 133LEDテールランプ　『ウィンカータイプ』スモーク/クリア・クリア L/Rセット [OCWP-SCC-3]
<br><br>
【型番】<br>
■ＯＣＷＰ－ＳＣＣ－３<br>
（ウィンカータイプ　スモーク／クリア・クリア ２個入）
<br><br>
【サイズ】<br>
■ヨコ６１１ｍｍ×タテ２１８ｍｍ×奥行き１１７ｍｍ<br>
※詳細は２枚目の写真にてご確認ください。
<br><br>
【各種仕様】<br>
■電圧：ＤＣ２４Ｖ専用<br>
■材質：(本体)ＡＢＳ樹脂、(レンズ)アクリル樹脂、(LED)高輝度LED
<br><br>
<font color=""blue"">
※こちらの商品は【ウィンカータイプ】となります。点灯時、【外周部分：赤】【中心部分：アンバー（黄）】に点灯します。（３枚目画像左側の点灯）
</font>
<br><br>
【コメント】<br>
■球切れ・水漏れ　１年保証付<br>
■ＥＣＥ基準クリア<br>
■平成２４年以降の新保安基準適合！<br>
■一体化フルＬＥＤテールランプ☆
<br><br>
【備考】<br>
※ハイフラ防止用の抵抗器が付属しています。<br>
※リレーはしません。別途ウィンカーリレーを取付する事でリレーは可能です。
<br><br>
<font color=""red"">
【注意事項】<br>
※常時在庫しておりますが店頭でも販売している為、欠品時の場合にはお取り寄せとなり納期約２～５日程頂いております。その際には別途当店より納期のご連絡をさせて頂きますので予めご了承下さい。
</font>",【送料無料】花魁COMBO(コンボ) 133LEDテールランプ　『ウィンカータイプ』スモーク/クリア・クリア L/Rセット [OCWP-SCC-3]：トラックショップトップロード仙台,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得トラックトラック用品アンドン板マーカーランプテールランプケミカル用品ミニのぼりのぼりステッカーカッティングトラック　ステッカートラック　カッティングトラック　ミニのぼりステンレス製品ナンバー枠工具箱いすゞ日野ふそうＵＤ【送料無料】花魁COMBO(コンボ) 133LEDテールランプ　『ウィンカータイプ』スモーク/クリア・クリア L/Rセット [OCWP-SCC-3],【送料無料】花魁COMBO(コンボ) 133LEDテールランプ　『ウィンカータイプ』スモーク/クリア・クリア L/Rセット [OCWP-SCC-3][rn]
15-160786,http://tshop.r10s.jp/gold/toproad/img/common_densou/tail_lamp/oiran/combo/OCBP-SRC-3_1.jpg?fitin=700:700,74400.0000,,車用品・バイク用品 > カー用品 > トラック用品 > 外装用品 > ランプ（電飾パーツ）,【送料無料】花魁COMBO(コンボ) 133LEDテールランプ　『バックランプタイプ』スモーク/レッド・クリア L/Rセット [OCBP-SRC-3],,"【商品名】<br>
【送料無料】花魁COMBO(コンボ) 133LEDテールランプ　『バックランプタイプ』スモーク/レッド・クリア L/Rセット [OCBP-SRC-3]
<br><br>
【型番】<br>
■ＯＣＢＰ－ＳＲＣ－３<br>
（バックランプタイプ　スモーク／レッド・クリア ２個入）
<br><br>
【サイズ】<br>
■ヨコ６１１ｍｍ×タテ２１８ｍｍ×奥行き１１７ｍｍ<br>
※詳細は２枚目の写真にてご確認ください。
<br><br>
【各種仕様】<br>
■電圧：ＤＣ２４Ｖ専用<br>
■材質：(本体)ＡＢＳ樹脂、(レンズ)アクリル樹脂、(LED)高輝度LED
<br><br>
<font color=""blue"">
※こちらの商品は【バックランプタイプ】となります。点灯時、【外周部分：赤】【中心部分：白】に点灯します。（３枚目画像右側の点灯）
</font>
<br><br>
【コメント】<br>
■球切れ・水漏れ　１年保証付<br>
■ＥＣＥ基準クリア<br>
■平成２４年以降の新保安基準適合！<br>
■一体化フルＬＥＤテールランプ☆
<br><br>
【備考】<br>
※ハイフラ防止用の抵抗器が付属しています。<br>
※リレーはしません。別途ウィンカーリレーを取付する事でリレーは可能です。
<br><br>
<font color=""red"">
【注意事項】<br>
※常時在庫しておりますが店頭でも販売している為、欠品時の場合にはお取り寄せとなり納期約２～５日程頂いております。その際には別途当店より納期のご連絡をさせて頂きますので予めご了承下さい。
</font>",【送料無料】花魁COMBO(コンボ) 133LEDテールランプ　『バックランプタイプ』スモーク/レッド・クリア L/Rセット [OCBP-SRC-3]：トラックショップトップロード仙台,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得トラックトラック用品アンドン板マーカーランプテールランプケミカル用品ミニのぼりのぼりステッカーカッティングトラック　ステッカートラック　カッティングトラック　ミニのぼりステンレス製品ナンバー枠工具箱いすゞ日野ふそうＵＤ【送料無料】花魁COMBO(コンボ) 133LEDテールランプ　『バックランプタイプ』スモーク/レッド・クリア L/Rセット [OCBP-SRC-3],【送料無料】花魁COMBO(コンボ) 133LEDテールランプ　『バックランプタイプ』スモーク/レッド・クリア L/Rセット [OCBP-SRC-3][rn]
15-160787,http://tshop.r10s.jp/gold/toproad/img/common_densou/tail_lamp/oiran/combo/CMWP-CRC-1_1.jpg?fitin=700:700,54400.0000,,車用品・バイク用品 > カー用品 > トラック用品 > 外装用品 > ランプ（電飾パーツ）,【２ｔ車に最適!!】花魁COMBO MINI(コンボミニ) ３連L/Rセット ヨコ395mm×タテ159mm×奥89mm [CMWP-CRC-1] ■12/24V対応!! ■１年保証付!!【送料無料】【抵抗内蔵!】,,"【商品名】<br>
【２ｔ車に最適!!】花魁COMBO MINI(コンボミニ) ３連L/Rセット ヨコ395mm×タテ159mm×奥89mm [CMWP-CRC-1] ■12/24V対応!! ■１年保証付!!【送料無料】【抵抗内蔵!】
<br><br>
【型番】<br>
■ＣＭＷＰ－ＣＲＣ－１<br>
（クリア／レッド・クリア）
<br><br>
【サイズ】<br>
■ヨコ３９５ｍｍ×タテ１５９ｍｍ×奥行８９ｍｍ
<br><br>
【各種仕様】<br>
■電圧：ＤＣ１２／２４Ｖ対応<br>
■材質：(本体)ＡＢＳ樹脂、(レンズ)アクリル樹脂、(LED)高輝度LED<br>
■LED数<br>
・１ユニット ブレーキ／スモール ４６発 ＋ ＬＥＤチューブ<br>
・１ユニット ウィンカー ２４発 ※バックランプ点灯時は１２発<br>
・１ユニット バック １２発<br>
■抵抗内蔵（ブレーキ・スモール・ウィンカー用）<br>
■ＥＣＥ基準クリア 保安基準適合品<br>
■メーカー保証（１年）付
<br><br>
<font color=""red"">
※取付には加工が必要です。（独自ネジピッチです）<br>
※リレーはしません。リレーさせる場合は別途リレー機が必要です。
</font>
<br><br>
【コメント】<br>
■待望の２ｔ車用花魁コンボが新発売！<br>
■チューブＬＥＤを取り入れたスタイリッシュデザイン★<br>
■バックランプ・ウィンカーランプのコラボ点灯システム採用！<br>
■車検対応！１年保証付！抵抗内蔵！12/24V共用！送料無料！
<br><br>
<font color=""red"">
【注意事項】<br>
※常時在庫しておりますが店頭でも販売している為、欠品時の場合にはお取り寄せとなり納期約２～５日程頂いております。その際には別途当店より納期のご連絡をさせて頂きますので予めご了承下さい。
</font>",【２ｔ車に最適!!】花魁COMBO MINI(コンボミニ) ３連L/Rセット ヨコ395mm&times;タテ159mm&times;奥89mm [CMWP-CRC-1] ■12/24V対応!! ■１年保証付!!【送料無料】【抵抗内蔵!】：トラックショップトップロード仙台,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得トラックトラック用品アンドン板マーカーランプテールランプケミカル用品ミニのぼりのぼりステッカーカッティングトラック　ステッカートラック　カッティングトラック　ミニのぼりステンレス製品ナンバー枠工具箱いすゞ日野ふそうＵＤ【２ｔ車に最適!!】花魁COMBO MINI(コンボミニ) ３連L/Rセット ヨコ395mm&times;タテ159mm&times;奥89mm [CMWP-CRC-1] ■12/24V対応!! ■１年保証付!!【送料無料】【抵抗内蔵!】,【２ｔ車に最適!!】花魁COMBO MINI(コンボミニ) ３連L/Rセット ヨコ395mm&times;タテ159mm&times;奥89mm [CMWP-CRC-1] ■12/24V対応!! ■１年保証付!!【送料無料】【抵抗内蔵!】[rn]
15-160788,http://tshop.r10s.jp/gold/toproad/img/common_densou/tail_lamp/oiran/48LED/OBRC-02_1.jpg?fitin=700:700,12400.0000,,車用品・バイク用品 > カー用品 > トラック用品 > 外装用品 > ランプ（電飾パーツ）,【１年保証付】花魁 46LEDテールランプ『バックランプタイプ』レッド／クリア １個 [OBRC-02],,"【商品名】<br>
【１年保証付】花魁 46LEDテールランプ『バックランプタイプ』レッド／クリア １個 [OBRC-02]
<br><br>
【型番】<br>
■ＯＢＲＣ－０２<br>
（バックランプタイプ　レッド／クリア　１個入）
<br><br>
【サイズ】<br>
■タテ２０７．８ｍｍ×ヨコ１８５ｍｍ×奥行き８０ｍｍ
<br><br>
【各種仕様】<br>
■電圧：ＤＣ２４Ｖ専用<br>
■特装車にも使用可能なハイクラステールレンズ
<br><br>
<font color=""blue"">
【バックランプタイプ付属品】<br>
(１ユニットモデル付属品)<br>
■連結用ステンレスボルト　１セット<br>
■側面取付用反射板　１枚<br>
■本体取付用固定ブラケットボルト　１セット
<br><br>
※こちらの商品は【バックランプタイプ】となります。
</font>
<br><br>
【コメント】<br>
■球切れ・水漏れ　１年保証付<br>
■取付簡単♪（加工は必要です）
<br><br>
<font color=""red"">
【注意事項】<br>
※常時在庫しておりますが店頭でも販売している為、欠品時の場合にはお取り寄せとなり納期約２～５日程頂いております。その際には別途当店より納期のご連絡をさせて頂きますので予めご了承下さい。
</font>",【１年保証付】花魁 46LEDテールランプ『バックランプタイプ』レッド／クリア １個 [OBRC-02]：トラックショップトップロード仙台,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得トラックトラック用品アンドン板マーカーランプテールランプケミカル用品ミニのぼりのぼりステッカーカッティングトラック　ステッカートラック　カッティングトラック　ミニのぼりステンレス製品ナンバー枠工具箱いすゞ日野ふそうＵＤ【１年保証付】花魁 46LEDテールランプ『バックランプタイプ』レッド／クリア １個 [OBRC-02],【１年保証付】花魁 46LEDテールランプ『バックランプタイプ』レッド／クリア １個 [OBRC-02][rn]
15-160789,http://tshop.r10s.jp/gold/toproad/img/common_densou/tail_lamp/oiran/combo/OCBP-CCC-3_1.jpg?fitin=700:700,74400.0000,,車用品・バイク用品 > カー用品 > トラック用品 > 外装用品 > ランプ（電飾パーツ）,【送料無料】花魁COMBO(コンボ) 133LEDテールランプ　『バックランプタイプ』クリア/クリア・クリア L/Rセット [OCBP-CCC-3],,"【商品名】<br>
【送料無料】花魁COMBO(コンボ) 133LEDテールランプ　『バックランプタイプ』クリア/クリア・クリア L/Rセット [OCBP-CCC-3]
<br><br>
【型番】<br>
■ＯＣＢＰ－ＣＣＣ－３<br>
（バックランプタイプ　クリア／クリア・クリア ２個入）
<br><br>
【サイズ】<br>
■ヨコ６１１ｍｍ×タテ２１８ｍｍ×奥行き１１７ｍｍ<br>
※詳細は２枚目の写真にてご確認ください。
<br><br>
【各種仕様】<br>
■電圧：ＤＣ２４Ｖ専用<br>
■材質：(本体)ＡＢＳ樹脂、(レンズ)アクリル樹脂、(LED)高輝度LED
<br><br>
<font color=""blue"">
※こちらの商品は【バックランプタイプ】となります。点灯時、【外周部分：赤】【中心部分：白】に点灯します。（３枚目画像右側の点灯）
</font>
<br><br>
【コメント】<br>
■球切れ・水漏れ　１年保証付<br>
■ＥＣＥ基準クリア<br>
■平成２４年以降の新保安基準適合！<br>
■一体化フルＬＥＤテールランプ☆
<br><br>
【備考】<br>
※ハイフラ防止用の抵抗器が付属しています。<br>
※リレーはしません。別途ウィンカーリレーを取付する事でリレーは可能です。
<br><br>
<font color=""red"">
【注意事項】<br>
※常時在庫しておりますが店頭でも販売している為、欠品時の場合にはお取り寄せとなり納期約２～５日程頂いております。その際には別途当店より納期のご連絡をさせて頂きますので予めご了承下さい。
</font>",【送料無料】花魁COMBO(コンボ) 133LEDテールランプ　『バックランプタイプ』クリア/クリア・クリア L/Rセット [OCBP-CCC-3]：トラックショップトップロード仙台,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得トラックトラック用品アンドン板マーカーランプテールランプケミカル用品ミニのぼりのぼりステッカーカッティングトラック　ステッカートラック　カッティングトラック　ミニのぼりステンレス製品ナンバー枠工具箱いすゞ日野ふそうＵＤ【送料無料】花魁COMBO(コンボ) 133LEDテールランプ　『バックランプタイプ』クリア/クリア・クリア L/Rセット [OCBP-CCC-3],【送料無料】花魁COMBO(コンボ) 133LEDテールランプ　『バックランプタイプ』クリア/クリア・クリア L/Rセット [OCBP-CCC-3][rn]
15-160790,http://tshop.r10s.jp/gold/toproad/img/common_densou/LED_bulb/ba15s/529574_578_1.jpg?fitin=700:700,1600.0000,,車用品・バイク用品 > カー用品 > トラック用品 > 外装用品 > ランプ（電飾パーツ）,LED14 ソケット式バルブ(ダブル球) DC24V専用 全３色 口金：BAY15D 1個入 [529574-578],,"【商品名】<br>
LED14 ソケット式バルブ(ダブル球) DC24V専用 全３色 口金：BAY15D 1個入 [529574-578]
<br><br>
【各種仕様】<br>
高輝度ＬＥＤ１４個搭載のソケットタイプ。極性がありますのでご注意下さい。<br>
●長さ：４２ｍｍ×径１８ｍｍ<br>
●口金サイズ：ＢＡＹ１５Ｄ<br>
●２４Ｖ<br>
●ダブル球：極性あります。<br>
●１個入り
<br><br>
【コメント】<br>
※複数色ございますので、ご購入時「色をお選び下さい。」よりご希望の色を選択するようお願い致します。
<br><br>
【カラー一覧】<br>
■ホワイト[529574]<br>
■レッド  [529576]<br>
■アンバー[529578]
<br><br>
<font size=""2"" color=""red"">
※メール便はお選び頂けません。メール便をお選び頂いた場合は当店にてヤマト宅急便に切換えさせて頂きますので予めご了承下さい。
<br><br>
※在庫状況によってはお取り寄せとなり、２～３日程頂く場合がございます。その際は当店より別途納期のご連絡をさせて頂きます。予めご了承下さい。
</font>",LED14 ソケット式バルブ(ダブル球) DC24V専用 全３色 口金：BAY15D 1個入 [529574-578]：トラックショップトップロード仙台,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得トラックトラック用品アンドン板マーカーランプテールランプケミカル用品ミニのぼりのぼりステッカーカッティングトラック　ステッカートラック　カッティングトラック　ミニのぼりステンレス製品ナンバー枠工具箱いすゞ日野ふそうＵＤLED14 ソケット式バルブ(ダブル球) DC24V専用 全３色 口金：BAY15D 1個入 [529574-578],LED14 ソケット式バルブ(ダブル球) DC24V専用 全３色 口金：BAY15D 1個入 [529574-578][rn]
