19-191601,http://tshop.r10s.jp/kurashikenkou/cabinet/tasya6/9464083-all-e.jpg?fitin=700:700,2118.4000,,スマートフォン・タブレット > バッテリー・充電器 > モバイルバッテリー,enep stick 2800mAh 28es265・28es266・28es267 ブラック・ホワイト・マゼンタ【D】,【100円クーポン有】【税込3990円以上で送料無料】,,enep stick 2800mAh 28es265・28es266・28es267 ブラック・ホワイト・マゼンタ【D】：暮らし健康ネット館,キッチンバス調理器具洗剤クリスタルガイザー500ml柔軟剤室内物干し物干し健康食品アイリスオーヤマ掃除ハンガー洗濯収納米ダイエット水ダウニーフライパン特茶enep stick 2800mAh 28es265・28es266・28es267 ブラック・ホワイト・マゼンタ【D】,【100円クーポン有】【税込3990円以上で送料無料】。enep stick 2800mAh 28es265・28es266・28es267 ブラック・ホワイト・マゼンタ【D】[rn]
19-191685,http://tshop.r10s.jp/ainekusu/cabinet/02749100/03315425/imgrc0068713466.jpg?fitin=700:700,1023.2000,,スマートフォン・タブレット > スマートフォン・タブレット用ケーブル・変換アダプター,【カシムラ Kashimura】iPad/iPhone/iPodの充電DC充電器 リール式 ハイパワー2.4A LN ホワイト【KL-35】,店内複数エントリーPT最大24倍チャンス！4/17 9:59まで,"●車のシガーライターソケットからLightningコネクタのiPad/iPhone/iPodをハイパワー2.4Aで充電可能なDC充電器。<br>
●MFi認証品。<br>
●ワンプッシュでコードをすっきり収納。<br>
●充電しながら、通話や待ち受けも可能。<br>
●通電時、ブルーLEDが発光します。<br>
*コードは全て引き出して充電してください。<br><br>

*Dockコネクタには対応しておりません。<br><br>
【製品情報】<br>
入力電圧 DC12V/24V　マイナスアース車 <br>
出力電圧 DC5V <br>
出力電流 最大2.4A(2400mA)<br> 
使用温度範囲 -5～35℃ <br>
コード長 通常時 0cm　/　伸長時 約80cm<br> 
本体サイズ 24W × 100H × 54D(mm)<br>
重量 45g <br>
JANコード 4907986083354<br>
パッケージサイズ 80Wx180Hx30Dmm<br>
パッケージ重量 80g  <br>
<br />
<br />
<table bgcolor=""#FF9900"" cellspacing=""1"" cellpadding=""10"" align=""center"" width=""300"">
  <tr>
    <td bgcolor=""#FFE5BF""><center>
      <b><font color=""red"">※ご注意※ <br />
        ご購入前に必ずメーカー適合情報をご確認ください。</font>
      </b>
    </center>
      <br />
      <b>適合確認メーカーページは、コチラ<br />
      </b> <br />
      <font size=""2""><b> こちらの商品は、適合機種のみご利用いただける製品です。<br />
          ご購入前に必ず適合表をご確認ください。上記をご確認のうえ、ご購入をお願い致します。<br />
          <font color=""red"">ご注文後、お客様のご都合による返品・交換は、お受けいたしかねます</font>ので予め、ご了承の上お買い求めください。</b> <br />
          <b>※ページが表示できない・不明時は、お手数ですが店舗までご連絡をお願い致します。 </b></font></td>
  </tr>
</table>
<br />
<br />",【カシムラ Kashimura】iPad/iPhone/iPodの充電DC充電器 リール式 ハイパワー2.4A LN ホワイト【KL-35】：アットマックス＠,cn-gp550dポータブル電源ガーデンバリアゴリラセットアップ込40b19lドライブレコーダーカーナビゲーションワコーズ GDXゴリラレーダー探知機静音計画100d23lサーキュレータージャンプスターターカーバッテリーcarrozzeriaジェントスエアコンガス【カシムラ Kashimura】iPad/iPhone/iPodの充電DC充電器 リール式 ハイパワー2.4A LN ホワイト【KL-35】,店内複数エントリーPT最大24倍チャンス！4/17 9:59まで。【カシムラ Kashimura】iPad/iPhone/iPodの充電DC充電器 リール式 ハイパワー2.4A LN ホワイト【KL-35】[rn]
19-191686,http://tshop.r10s.jp/ainekusu/cabinet/02749100/03315425/imgrc0068713613.jpg?fitin=700:700,919.2000,,スマートフォン・タブレット > スマートフォン・タブレット用ケーブル・変換アダプター,【カシムラ Kashimura】DC充電器 2.4A LN ブラック-ブルーLightningコネクタのiPhone/iPod/iPadをハイパワーで充電【KL-6】,店内複数エントリーPT最大24倍チャンス！4/17 9:59まで,"●車のシガーライターソケットからLightningコネクタのiPhone/iPod/iPadをハイパワーで充電可能なDC充電器。<br>
●MFi認証品。<br>
●ミラーパネルが光る通電LED付き。<br>
●ストレートコードタイプ。<br>
●12V車、24V車で使用できます。<br>
【製品情報】<br>
本体色 ブラック-ブルー<br>
入力電圧 DC12V/24V　マイナスアース車<br> 
出力電圧 DC4.55～5.25V <br>
出力電流 2.4A(2400mA) <br>
使用温度範囲 0～35℃ <br>
コード長 約120cm <br>
本体サイズ 24W x 78H x 24D(mm)<br>
重量 50g <br>
JANコード 4907986083064<br>
パッケージサイズ 100Wx180Hx28Dmm<br>
パッケージ重量 75g  <br>

<br />
<br />
<table bgcolor=""#FF9900"" cellspacing=""1"" cellpadding=""10"" align=""center"" width=""300"">
  <tr>
    <td bgcolor=""#FFE5BF""><center>
      <b><font color=""red"">※ご注意※ <br />
        ご購入前に必ずメーカー適合情報をご確認ください。</font>
      </b>
    </center>
      <br />
      <b>適合確認メーカーページは、コチラ<br />
      </b> <br />
      <font size=""2""><b> こちらの商品は、適合機種のみご利用いただける製品です。<br />
          ご購入前に必ず適合表をご確認ください。上記をご確認のうえ、ご購入をお願い致します。<br />
          <font color=""red"">ご注文後、お客様のご都合による返品・交換は、お受けいたしかねます</font>ので予め、ご了承の上お買い求めください。</b> <br />
          <b>※ページが表示できない・不明時は、お手数ですが店舗までご連絡をお願い致します。 </b></font></td>
  </tr>
</table>
<br />
<br />",【カシムラ Kashimura】DC充電器 2.4A LN ブラック-ブルーLightningコネクタのiPhone/iPod/iPadをハイパワーで充電【KL-6】：アットマックス＠,cn-gp550dポータブル電源ガーデンバリアゴリラセットアップ込40b19lドライブレコーダーカーナビゲーションワコーズ GDXゴリラレーダー探知機静音計画100d23lサーキュレータージャンプスターターカーバッテリーcarrozzeriaジェントスエアコンガス【カシムラ Kashimura】DC充電器 2.4A LN ブラック-ブルーLightningコネクタのiPhone/iPod/iPadをハイパワーで充電【KL-6】,店内複数エントリーPT最大24倍チャンス！4/17 9:59まで。【カシムラ Kashimura】DC充電器 2.4A LN ブラック-ブルーLightningコネクタのiPhone/iPod/iPadをハイパワーで充電【KL-6】[rn]
19-191687,http://tshop.r10s.jp/ainekusu/cabinet/02749100/03315425/imgrc0068713402.jpg?fitin=700:700,1120.0000,,スマートフォン・タブレット > スマートフォン・タブレット用ケーブル・変換アダプター,【カシムラ Kashimura】LightningコネクタのiPhone/iPod AC充電器 ストレート 1A出力 ホワイト【KL-11】,店内複数エントリーPT最大24倍チャンス！4/17 9:59まで,"●ハイパワー5V1A(1000mA)出力。<br>
●家庭用AC電源100V～240Vから、LightningコネクタのiPhone/iPodのバッテリーを充電するAC充電器。<br>
●100V～240V対応なので海外でも使用可能。<br>
●ACコンセントプラグが収納できて、90度/180度の2通りに曲がります。<br><br>

 充電時間目安<br>
*iPhone5　約2.5時間<br>
*iPod touch　約2.2時間<br><br>

*Dockコネクタには対応しておりません。<br><br>

【製品情報】<br>
コード長：2m<br>
製品寸法：50W X 50H X 17D (mm)<br>
製品重量：75g<br>
JANコード:4907986083118<br>
パッケージサイズ:55Wx180Hx25Dmm<br>
パッケージ重量:95g<br>


<br />
<br />
<table bgcolor=""#FF9900"" cellspacing=""1"" cellpadding=""10"" align=""center"" width=""300"">
  <tr>
    <td bgcolor=""#FFE5BF""><center>
      <b><font color=""red"">※ご注意※ <br />
        ご購入前に必ずメーカー適合情報をご確認ください。</font>
      </b>
    </center>
      <br />
      <b>適合確認メーカーページは、コチラ<br />
      </b> <br />
      <font size=""2""><b> こちらの商品は、適合機種のみご利用いただける製品です。<br />
          ご購入前に必ず適合表をご確認ください。上記をご確認のうえ、ご購入をお願い致します。<br />
          <font color=""red"">ご注文後、お客様のご都合による返品・交換は、お受けいたしかねます</font>ので予め、ご了承の上お買い求めください。</b> <br />
          <b>※ページが表示できない・不明時は、お手数ですが店舗までご連絡をお願い致します。 </b></font></td>
  </tr>
</table>
<br />
<br />",【カシムラ Kashimura】LightningコネクタのiPhone/iPod AC充電器 ストレート 1A出力 ホワイト【KL-11】：アットマックス＠,cn-gp550dポータブル電源ガーデンバリアゴリラセットアップ込40b19lドライブレコーダーカーナビゲーションワコーズ GDXゴリラレーダー探知機静音計画100d23lサーキュレータージャンプスターターカーバッテリーcarrozzeriaジェントスエアコンガス【カシムラ Kashimura】LightningコネクタのiPhone/iPod AC充電器 ストレート 1A出力 ホワイト【KL-11】,店内複数エントリーPT最大24倍チャンス！4/17 9:59まで。【カシムラ Kashimura】LightningコネクタのiPhone/iPod AC充電器 ストレート 1A出力 ホワイト【KL-11】[rn]
19-191688,http://tshop.r10s.jp/ainekusu/cabinet/02749100/03315425/imgrc0068713607.jpg?fitin=700:700,919.2000,,スマートフォン・タブレット > スマートフォン・タブレット用ケーブル・変換アダプター,【カシムラ Kashimura】DC充電器 2.4A Lightningコネクタ  ホワイトブルー【KL-3】,店内複数エントリーPT最大24倍チャンス！4/17 9:59まで,"●車のシガーライターソケットからLightningコネクタのiPhone/iPod/iPadをハイパワーで充電可能なDC充電器。<br>
●MFi認証品。<br>
●ミラーパネルが光る通電LED付き。<br>
●ストレートコードタイプ。<br>
●12V車、24V車で使用できます。<br>
【製品情報】<br>
本体色 ホワイト-ブルー<br>
入力電圧 DC12V/24V　マイナスアース車<br> 
出力電圧 DC4.55～5.25V <br>
出力電流 2.4A(2400mA) <br>
使用温度範囲 0～35℃ <br>
コード長 約120cm <br>
本体サイズ 24W x 78H x 24D(mm)<br>
重量 50g <br>
JANコード 4907986083033<br>
パッケージサイズ 100Wx180Hx28Dmm<br>
パッケージ重量 75g  <br>

<br />
<br />
<table bgcolor=""#FF9900"" cellspacing=""1"" cellpadding=""10"" align=""center"" width=""300"">
  <tr>
    <td bgcolor=""#FFE5BF""><center>
      <b><font color=""red"">※ご注意※ <br />
        ご購入前に必ずメーカー適合情報をご確認ください。</font>
      </b>
    </center>
      <br />
      <b>適合確認メーカーページは、コチラ<br />
      </b> <br />
      <font size=""2""><b> こちらの商品は、適合機種のみご利用いただける製品です。<br />
          ご購入前に必ず適合表をご確認ください。上記をご確認のうえ、ご購入をお願い致します。<br />
          <font color=""red"">ご注文後、お客様のご都合による返品・交換は、お受けいたしかねます</font>ので予め、ご了承の上お買い求めください。</b> <br />
          <b>※ページが表示できない・不明時は、お手数ですが店舗までご連絡をお願い致します。 </b></font></td>
  </tr>
</table>
<br />
<br />",【カシムラ Kashimura】DC充電器 2.4A Lightningコネクタ  ホワイトブルー【KL-3】：アットマックス＠,cn-gp550dポータブル電源ガーデンバリアゴリラセットアップ込40b19lドライブレコーダーカーナビゲーションワコーズ GDXゴリラレーダー探知機静音計画100d23lサーキュレータージャンプスターターカーバッテリーcarrozzeriaジェントスエアコンガス【カシムラ Kashimura】DC充電器 2.4A Lightningコネクタ  ホワイトブルー【KL-3】,店内複数エントリーPT最大24倍チャンス！4/17 9:59まで。【カシムラ Kashimura】DC充電器 2.4A Lightningコネクタ  ホワイトブルー【KL-3】[rn]
19-191689,http://tshop.r10s.jp/ainekusu/cabinet/02749100/03315425/imgrc0068713404.jpg?fitin=700:700,1464.0000,,スマートフォン・タブレット > スマートフォン・タブレット用ケーブル・変換アダプター,【カシムラ Kashimura】AC充電器リールAC100VからiPhone/iPodを充電 60cm 1A Lightningコネクタ【KL-23】,店内複数エントリーPT最大24倍チャンス！4/17 9:59まで,"●ハイパワー5V1A出力。<br>
●家庭用AC電源100V～240VからLightningコネクタのiPhone/iPodをハイパワー1Aで充電可能な充電器。<br>
●巻き取りボタンでケーブルをスッキリ収納できます。（コード長:約60cm)<br>
 ●ACプラグの角度調整可能。（0～180度）<br>
●100V～240V対応なので海外でも使用可能。<br> 
●Apple社　MFi認証品。<br><br>

*Dockコネクタには対応しておりません。<br><br>
【製品情報】<br>
入力電圧:AC100-240V 50/60Hz<br> 
出力:5V / 1A <br>
コード長:最大約60cm<br> 
本体サイズ：54W ×52H × 29D(mm)<br>
重量：53g <br>
JANコード:4907986083231<br>
パッケージサイズ: 80Wx180Hx30Dmm<br>
パッケージ重量:80g<br>
<br />
<br />
<table bgcolor=""#FF9900"" cellspacing=""1"" cellpadding=""10"" align=""center"" width=""300"">
  <tr>
    <td bgcolor=""#FFE5BF""><center>
      <b><font color=""red"">※ご注意※ <br />
        ご購入前に必ずメーカー適合情報をご確認ください。</font>
      </b>
    </center>
      <br />
      <b>適合確認メーカーページは、コチラ<br />
      </b> <br />
      <font size=""2""><b> こちらの商品は、適合機種のみご利用いただける製品です。<br />
          ご購入前に必ず適合表をご確認ください。上記をご確認のうえ、ご購入をお願い致します。<br />
          <font color=""red"">ご注文後、お客様のご都合による返品・交換は、お受けいたしかねます</font>ので予め、ご了承の上お買い求めください。</b> <br />
          <b>※ページが表示できない・不明時は、お手数ですが店舗までご連絡をお願い致します。 </b></font></td>
  </tr>
</table>
<br />
<br />",【カシムラ Kashimura】AC充電器リールAC100VからiPhone/iPodを充電 60cm 1A Lightningコネクタ【KL-23】：アットマックス＠,cn-gp550dポータブル電源ガーデンバリアゴリラセットアップ込40b19lドライブレコーダーカーナビゲーションワコーズ GDXゴリラレーダー探知機静音計画100d23lサーキュレータージャンプスターターカーバッテリーcarrozzeriaジェントスエアコンガス【カシムラ Kashimura】AC充電器リールAC100VからiPhone/iPodを充電 60cm 1A Lightningコネクタ【KL-23】,店内複数エントリーPT最大24倍チャンス！4/17 9:59まで。【カシムラ Kashimura】AC充電器リールAC100VからiPhone/iPodを充電 60cm 1A Lightningコネクタ【KL-23】[rn]
19-191690,http://tshop.r10s.jp/ainekusu/cabinet/02293854/02415930/imgrc0068713763.jpg?fitin=700:700,1024.0000,,スマートフォン・タブレット > スマートフォン・タブレット用ケーブル・変換アダプター,【カシムラ】USB充電＆同期ケーブル 1.2m C-C （Type-Cコネクタ）ブラック【AJ-476】,店内複数エントリーPT最大24倍チャンス！4/17 9:59まで,"●Type-Cコネクタで裏表のどちらでも抜き挿しできる。<br>
※Type-C金属部はアップル社と同じ繋ぎ目のないシャーシ採用で快適に抜き挿しできる。<br>
●Type-C搭載機器同士で使用可能。<br>
●新型MacBookのUSB-PD（14.5V2A）充電器に対応。<br>
●充電&データ通信対応。USB2.0相当の480Mbpsデータ通信対応。<br>
●より安全な難燃性材料の採用。<br>
●二重シールドで外部ノイズに強い。<br><br>
【製品情報】<br>

コネクタ形状：USB2.0[Type-C]オス/USB2.0[Type-C]オス<br>
許容電流：5V3A,14.5V2A<br>
JANコード:4907986074765<br>
パッケージサイズ:55Wx180Hx30Dmm<br>
パッケージ重量:70g <br>

<br />
<br />
<table bgcolor=""#FF9900"" cellspacing=""1"" cellpadding=""10"" align=""center"" width=""300"">
  <tr>
    <td bgcolor=""#FFE5BF""><center>
      <b><font color=""red"">※ご注意※ <br />
        ご購入前に必ずメーカー適合情報をご確認ください。</font>
      </b>
    </center>
      <br />
      <b>適合確認メーカーページは、コチラ<br />
      </b> <br />
      <font size=""2""><b> こちらの商品は、適合機種のみご利用いただける製品です。<br />
          ご購入前に必ず適合表をご確認ください。上記をご確認のうえ、ご購入をお願い致します。<br />
          <font color=""red"">ご注文後、お客様のご都合による返品・交換は、お受けいたしかねます</font>ので予め、ご了承の上お買い求めください。</b> <br />
          <b>※ページが表示できない・不明時は、お手数ですが店舗までご連絡をお願い致します。 </b></font></td>
  </tr>
</table>
<br />
<br />",【カシムラ】USB充電＆同期ケーブル 1.2m C-C （Type-Cコネクタ）ブラック【AJ-476】：アットマックス＠,cn-gp550dポータブル電源ガーデンバリアゴリラセットアップ込40b19lドライブレコーダーカーナビゲーションワコーズ GDXゴリラレーダー探知機静音計画100d23lサーキュレータージャンプスターターカーバッテリーcarrozzeriaジェントスエアコンガス【カシムラ】USB充電＆同期ケーブル 1.2m C-C （Type-Cコネクタ）ブラック【AJ-476】,店内複数エントリーPT最大24倍チャンス！4/17 9:59まで。【カシムラ】USB充電＆同期ケーブル 1.2m C-C （Type-Cコネクタ）ブラック【AJ-476】[rn]
19-191691,http://tshop.r10s.jp/ainekusu/cabinet/02293854/02415930/imgrc0068719657.jpg?fitin=700:700,1200.0000,,スマートフォン・タブレット > スマートフォン・タブレット用ケーブル・変換アダプター,【カシムラ】iPhone/iPod DC充電器 リール式 1A Lightningケーブル対応（DC12V/24V用）【AJ-434】,店内複数エントリーPT最大24倍チャンス！4/17 9:59まで,"●車のシガーライターソケットからLightningコネクタのiPhone/iPodをハイパワー1Aで充電可能なDC充電器。<br>
●MFi認証品。<br>
●コードが邪魔にならないリール式。<br>
*コードは必ず伸ばしきって充電してください。<br>
●充電しながら、通話や待ち受けも可能。<br>
●通電時、ブルーLEDが発光します。<br><br>

*Dockコネクタには対応しておりません。<br><br>
【製品情報】<br>
本体色 ブラック <br>
入力電圧 DC12V/24V　マイナスアース車<br> 
出力電圧 DC5V <br>
出力電流 最大1A(1000mA) <br>
コード長 (通常）0cm/(伸長時)約70cm<br> 
本体サイズ 28W x 135H x 42D(mm)<br>
重量 55g <br>
JANコード 4907986074345<br>
パッケージサイズ 100Wx180Hx35Dmm<br>
パッケージ重量 80g<br>
<br />
<br />
<table bgcolor=""#FF9900"" cellspacing=""1"" cellpadding=""10"" align=""center"" width=""300"">
  <tr>
    <td bgcolor=""#FFE5BF""><center>
      <b><font color=""red"">※ご注意※ <br />
        ご購入前に必ずメーカー適合情報をご確認ください。</font>
      </b>
    </center>
      <br />
      <b>適合確認メーカーページは、コチラ<br />
      </b> <br />
      <font size=""2""><b> こちらの商品は、適合機種のみご利用いただける製品です。<br />
          ご購入前に必ず適合表をご確認ください。上記をご確認のうえ、ご購入をお願い致します。<br />
          <font color=""red"">ご注文後、お客様のご都合による返品・交換は、お受けいたしかねます</font>ので予め、ご了承の上お買い求めください。</b> <br />
          <b>※ページが表示できない・不明時は、お手数ですが店舗までご連絡をお願い致します。 </b></font></td>
  </tr>
</table>
<br />
<br />",【カシムラ】iPhone/iPod DC充電器 リール式 1A Lightningケーブル対応（DC12V/24V用）【AJ-434】：アットマックス＠,cn-gp550dポータブル電源ガーデンバリアゴリラセットアップ込40b19lドライブレコーダーカーナビゲーションワコーズ GDXゴリラレーダー探知機静音計画100d23lサーキュレータージャンプスターターカーバッテリーcarrozzeriaジェントスエアコンガス【カシムラ】iPhone/iPod DC充電器 リール式 1A Lightningケーブル対応（DC12V/24V用）【AJ-434】,店内複数エントリーPT最大24倍チャンス！4/17 9:59まで。【カシムラ】iPhone/iPod DC充電器 リール式 1A Lightningケーブル対応（DC12V/24V用）【AJ-434】[rn]
19-191692,http://tshop.r10s.jp/ainekusu/cabinet/02293854/02415930/imgrc0068720382.jpg?fitin=700:700,672.8000,,スマートフォン・タブレット > スマートフォン・タブレット用ケーブル・変換アダプター,【カシムラ】リール式 microUSB DC充電器 2.4A（12V車・24V車対応）【AJ-419】,店内複数エントリーPT最大24倍チャンス！4/17 9:59まで,"●ハイパワー2.4A出力で充電、従来品より充電時間を短縮。(当社比)<br>
●コードを軽く引くだけで充電器本体にスッキリ収納できる らくらくリールを採用。<br>
●12V車、24V車で使用できます。<br>
●ブルーに光る通電ランプ付。<br><br>
【製品情報】<br>
本体色 ブラック <br>
入力電圧 DC12V/24V　マイナスアース車 <br>
出力電圧 DC5V <br>
出力電流 最大2.4A(2400mA) <br>
使用温度範囲 0～40℃ <br>
コード長 (通常）0cm/(伸長時)約70cm<br> 
本体サイズ 32W x 105H x 54D(mm)<br>
重量 70g <br>
JANコード 4907986074192<br>
パッケージサイズ 80Wx180Hx55Dmm<br>
パッケージ重量 115g  <br>


<br />
<br />
<table bgcolor=""#FF9900"" cellspacing=""1"" cellpadding=""10"" align=""center"" width=""300"">
  <tr>
    <td bgcolor=""#FFE5BF""><center>
      <b><font color=""red"">※ご注意※ <br />
        ご購入前に必ずメーカー適合情報をご確認ください。</font>
      </b>
    </center>
      <br />
      <b>適合確認メーカーページは、コチラ<br />
      </b> <br />
      <font size=""2""><b> こちらの商品は、適合機種のみご利用いただける製品です。<br />
          ご購入前に必ず適合表をご確認ください。上記をご確認のうえ、ご購入をお願い致します。<br />
          <font color=""red"">ご注文後、お客様のご都合による返品・交換は、お受けいたしかねます</font>ので予め、ご了承の上お買い求めください。</b> <br />
          <b>※ページが表示できない・不明時は、お手数ですが店舗までご連絡をお願い致します。 </b></font></td>
  </tr>
</table>
<br />
<br />",【カシムラ】リール式 microUSB DC充電器 2.4A（12V車・24V車対応）【AJ-419】：アットマックス＠,cn-gp550dポータブル電源ガーデンバリアゴリラセットアップ込40b19lドライブレコーダーカーナビゲーションワコーズ GDXゴリラレーダー探知機静音計画100d23lサーキュレータージャンプスターターカーバッテリーcarrozzeriaジェントスエアコンガス【カシムラ】リール式 microUSB DC充電器 2.4A（12V車・24V車対応）【AJ-419】,店内複数エントリーPT最大24倍チャンス！4/17 9:59まで。【カシムラ】リール式 microUSB DC充電器 2.4A（12V車・24V車対応）【AJ-419】[rn]
19-191693,http://tshop.r10s.jp/ainekusu/cabinet/02293854/02415930/imgrc0068723059.jpg?fitin=700:700,888.0000,,スマートフォン・タブレット > スマートフォン・タブレット用ケーブル・変換アダプター,【カシムラ】iPhone/iPod/iPad DC充電器 2.4A Lightningケーブル対応（12V・24V車兼用）ブラック【AJ-414】,店内複数エントリーPT最大24倍チャンス！4/17 9:59まで,"●車のシガーライターソケットからLightningコネクタのiPhone/iPod/iPadをハイパワーで充電可能なDC充電器。<br>
●MFi認証品。<br>
●ミラーパネルが光る通電LED付き。<br>
●ストレートコードタイプ。<br>
●12V車、24V車で使用できます。<br><br>
【製品情報】<br>
本体カラー ブラック<br>
入力電圧 DC12V/24V　マイナスアース車 <br>
出力電圧 DC4.55～5.25V <br>
出力電流 2.4A(2400mA) <br>
使用温度範囲 0～35℃ <br>
コード長 約120cm <br>
本体サイズ 24W x 78H x 24D(mm)<br>
重量 50g <br>
JANコード 4907986074147<br>
パッケージサイズ 100Wx180Hx28Dmm<br>
パッケージ重量 75g<br>
<br />
<br />
<table bgcolor=""#FF9900"" cellspacing=""1"" cellpadding=""10"" align=""center"" width=""300"">
  <tr>
    <td bgcolor=""#FFE5BF""><center>
      <b><font color=""red"">※ご注意※ <br />
        ご購入前に必ずメーカー適合情報をご確認ください。</font>
      </b>
    </center>
      <br />
      <b>適合確認メーカーページは、コチラ<br />
      </b> <br />
      <font size=""2""><b> こちらの商品は、適合機種のみご利用いただける製品です。<br />
          ご購入前に必ず適合表をご確認ください。上記をご確認のうえ、ご購入をお願い致します。<br />
          <font color=""red"">ご注文後、お客様のご都合による返品・交換は、お受けいたしかねます</font>ので予め、ご了承の上お買い求めください。</b> <br />
          <b>※ページが表示できない・不明時は、お手数ですが店舗までご連絡をお願い致します。 </b></font></td>
  </tr>
</table>
<br />
<br />",【カシムラ】iPhone/iPod/iPad DC充電器 2.4A Lightningケーブル対応（12V・24V車兼用）ブラック【AJ-414】：アットマックス＠,cn-gp550dポータブル電源ガーデンバリアゴリラセットアップ込40b19lドライブレコーダーカーナビゲーションワコーズ GDXゴリラレーダー探知機静音計画100d23lサーキュレータージャンプスターターカーバッテリーcarrozzeriaジェントスエアコンガス【カシムラ】iPhone/iPod/iPad DC充電器 2.4A Lightningケーブル対応（12V・24V車兼用）ブラック【AJ-414】,店内複数エントリーPT最大24倍チャンス！4/17 9:59まで。【カシムラ】iPhone/iPod/iPad DC充電器 2.4A Lightningケーブル対応（12V・24V車兼用）ブラック【AJ-414】[rn]
19-191694,http://tshop.r10s.jp/ainekusu/cabinet/02749100/03315425/imgrc0068709985.jpg?fitin=700:700,871.2000,,スマートフォン・タブレット > スマートフォン・タブレット用ケーブル・変換アダプター,【カシムラ Kashimura】 車内Lightningコネクタ対応USB充電&同期ケーブル 1.2m 2.4A LN RG-AL ローズゴールド【KL-50】ゆうパケット300円,店内複数エントリーPT最大24倍チャンス！4/17 9:59まで,"●Lightningコネクタ対応、充電と同期が可能なUSBケーブル。<br>
●Apple社　MFi認証品。<br>
*Dockコネクタには対応しておりません。<br>
●高級感のあるアルミコネクター<br><br>
【製品情報】<br>
コード長：約1.2m<br>
JANコード:4907986083507<br>
パッケージサイズ:55Wx180Hx25Dmm<br>
パッケージ重量:50g<br>
<br />
<br />
<table bgcolor=""#FF9900"" cellspacing=""1"" cellpadding=""10"" align=""center"" width=""300"">
  <tr>
    <td bgcolor=""#FFE5BF""><center>
      <b><font color=""red"">※ご注意※ <br />
        ご購入前に必ずメーカー適合情報をご確認ください。</font>
      </b>
    </center>
      <br />
      <b>適合確認メーカーページは、コチラ<br />
      </b> <br />
      <font size=""2""><b> こちらの商品は、適合機種のみご利用いただける製品です。<br />
          ご購入前に必ず適合表をご確認ください。上記をご確認のうえ、ご購入をお願い致します。<br />
          <font color=""red"">ご注文後、お客様のご都合による返品・交換は、お受けいたしかねます</font>ので予め、ご了承の上お買い求めください。</b> <br />
          <b>※ページが表示できない・不明時は、お手数ですが店舗までご連絡をお願い致します。 </b></font></td>
  </tr>
</table>
<br />
<br />",【カシムラ Kashimura】 車内Lightningコネクタ対応USB充電&amp;同期ケーブル 1.2m 2.4A LN RG-AL ローズゴールド【KL-50】ゆうパケット300円：アットマックス＠,cn-gp550dポータブル電源ガーデンバリアゴリラセットアップ込40b19lドライブレコーダーカーナビゲーションワコーズ GDXゴリラレーダー探知機静音計画100d23lサーキュレータージャンプスターターカーバッテリーcarrozzeriaジェントスエアコンガス【カシムラ Kashimura】 車内Lightningコネクタ対応USB充電&amp;同期ケーブル 1.2m 2.4A LN RG-AL ローズゴールド【KL-50】ゆうパケット300円,店内複数エントリーPT最大24倍チャンス！4/17 9:59まで。【カシムラ Kashimura】 車内Lightningコネクタ対応USB充電&amp;同期ケーブル 1.2m 2.4A LN RG-AL ローズゴールド【KL-50】ゆうパケット300円[rn]
