17-149999,http://tshop.r10s.jp/bandpower/cabinet/cd-1069.jpg?fitin=700:700,1372.0000,,CD・DVD・楽器 > CD > クラシック > 吹奏楽,【お取り寄せします　約5日間】スタンダードブラス Green！　SHOBIz POPS ORCHESTRA【吹奏楽 / ポップス CD】BOCD-7211,　,"＜国内盤＞<br>
収録曲：<br>
1.銀河鉄道999／タキガワ・ユキヒデ(arr.樽屋雅徳)<br>
2.アメージング・グレース／伝承曲(arr.八木澤教司)<br>
3.ティアーズ・オブ・ムーン（サックスバラード）／織田浩司(arr.樽屋雅徳)<br>
4.クリスマスシーモ！(クリスマスソングの名曲メドレー)／(arr.金山徹)<br>
5.銀河鉄道999（コーラス付き）／タキガワ・ユキヒデ(arr.樽屋雅徳)<br>
6.ティアーズ・オブ・ムーン（カラオケVersion）／織田浩司(arr.樽屋雅徳)<br>",【お取り寄せします　約5日間】スタンダードブラス Green！　SHOBIz POPS ORCHESTRA【吹奏楽 / ポップス CD】BOCD-7211：吹奏楽専門ショップ～Band Power～,吹奏楽金管バンドブラスバンド管楽器CDDVD楽譜スコアBlu-rayフレックスフレキシブルアンサンブルマーチングコンクール輸入試聴送料無料小編成自由曲かっこいい【お取り寄せします　約5日間】スタンダードブラス Green！　SHOBIz POPS ORCHESTRA【吹奏楽 / ポップス CD】BOCD-7211,　。【お取り寄せします　約5日間】スタンダードブラス Green！　SHOBIz POPS ORCHESTRA【吹奏楽 / ポップス CD】BOCD-7211[rn]
17-150077,http://tshop.r10s.jp/bandpower/cabinet/12/cd-2632.jpg?fitin=700:700,2000.0000,,CD・DVD・楽器 > CD > クラシック > 吹奏楽,【お取り寄せします　約5日間】交響組曲「ラメセスII世」　アンサンブル・ファンファール【金管 アンサンブル / ブラスバンド CD】OSBR-29003,,"1. Glorious（グロリアス）～ブラスオーケストラのために～／阿部勇一 【2:52】〔ブラス・クワイア〕<br>
  2. 歌劇「ナブッコ」より　開幕の合唱　～祭りの晴れ着がもみくちゃに～ ／ヴェルディ（arr.田村文生） 【5:16】 〔金管8重奏〕<br>
  3. 「音楽の徳の鏡」より／E.ヴィートマン（arr.安田圭介） 【3:38】〔管打10重奏〕<br>
  4. 組曲「王宮の花火の音楽」より 序曲／ゲオルク・フリードリヒ・ヘンデル（arr.小林卓司）【3:23】〔金管8重奏〕<br>
  5. 大地のエスノ～金管8重奏のための～／阿部勇一【5:14】〔金管8重奏〕<br>
  6. ダンス・アンティクII／諏訪雅彦【6:01】〔ホルン4重奏〕<br>
  7. Blazing Brass for Brass Octet／高　昌帥【5:34】〔金管8重奏〕<br>
  8. たなばた／酒井格（arr.M.ジーンバークイン）【8:26】〔ブラスバンド〕<br>
  9. 交響組曲「ラメセスII世」／ 阿部勇一【30：19】〔ブラスバンド〕<br>
  10. A Song for Japan ～日本に捧げる歌／S.フェルヘルスト（arr.藤森雄一）【7:01】〔ブラスバンド〕",【お取り寄せします　約5日間】交響組曲「ラメセスII世」　アンサンブル・ファンファール【金管 アンサンブル / ブラスバンド CD】OSBR-29003：吹奏楽専門ショップ～Band Power～,吹奏楽金管バンドブラスバンド管楽器CDDVD楽譜スコアBlu-rayフレックスフレキシブルアンサンブルマーチングコンクール輸入試聴送料無料小編成自由曲かっこいい【お取り寄せします　約5日間】交響組曲「ラメセスII世」　アンサンブル・ファンファール【金管 アンサンブル / ブラスバンド CD】OSBR-29003,【お取り寄せします　約5日間】交響組曲「ラメセスII世」　アンサンブル・ファンファール【金管 アンサンブル / ブラスバンド CD】OSBR-29003[rn]
17-150078,http://tshop.r10s.jp/bandpower/cabinet/09/cd-2250.jpg?fitin=700:700,1837.6000,,CD・DVD・楽器 > CD > クラシック > 吹奏楽,星条旗：カナディアン・ブラスのアメリカへの敬礼　カナディアン・ブラス　Stars＆Stripes: Canadian Brass Salute America【金管 アンサンブル CD】,,"■収録曲：<br>
<br>
1. 星条旗よ永遠なれ／ジョン・フィリップ・スーザ（arr.ハワード・ケーブル＆ロビン・エンゲルマン） <br>
2. ミリタリー・マイト―五つの軍歌／（arr.ハワード・ケーブル＆ロビン・エンゲルマン）<br>
3. 星条旗／ジョン・スタンフォード・スミス（arr.ハワード・ケーブル＆ロビン・エンゲルマン）<br>
4. チェスター／伝承曲（arr.ハワード・ケーブル＆ロビン・エンゲルマン）<br>
5. ジョージ・M・コーハン・サリュート／ジョージ・M・コーハン（arr.ハワード・ケーブル＆ロビン・エンゲルマン）<br>
6. リパブリック讃歌／伝承曲（arr.ハワード・ケーブル）<br>
7. ジョニーが凱旋するとき／伝承曲（arr.ブランドン・ライデノー）<br>
8. シェナンドー／伝承曲（arr.ブランドン・ライデノー）<br>
9. 国民の象徴／エドウィン・ユージーン・バグレー（arr.ディビッド・マーチン）<br>
10. ディキシー・ランド／伝承曲（arr.ロビン・エンゲルマン）<br>
<br>
ほか全16曲収録<br>",星条旗：カナディアン・ブラスのアメリカへの敬礼　カナディアン・ブラス　Stars＆Stripes: Canadian Brass Salute America【金管 アンサンブル CD】：吹奏楽専門ショップ～Band Power～,吹奏楽金管バンドブラスバンド管楽器CDDVD楽譜スコアBlu-rayフレックスフレキシブルアンサンブルマーチングコンクール輸入試聴送料無料小編成自由曲かっこいい星条旗：カナディアン・ブラスのアメリカへの敬礼　カナディアン・ブラス　Stars＆Stripes: Canadian Brass Salute America【金管 アンサンブル CD】,星条旗：カナディアン・ブラスのアメリカへの敬礼　カナディアン・ブラス　Stars＆Stripes: Canadian Brass Salute America【金管 アンサンブル CD】[rn]
17-150079,http://tshop.r10s.jp/bandpower/cabinet/09/cd-2247.jpg?fitin=700:700,1837.6000,,CD・DVD・楽器 > CD > クラシック > 吹奏楽,ウェディング・エッセンシャルズ　カナディアン・ブラス　Wedding Essentials【金管 アンサンブル CD】,,"■収録曲：<br>
<br>
1. 「水上の音楽」よりアリア／ゲオルク・フリードリヒ・ヘンデル（arr.ウォルター・バーンズ）<br>
2. 「クセルクセス」よりラルゴ／ゲオルク・フリードリヒ・ヘンデル（arr.ウォルター・バーンズ） <br>
3. 「ヘンゼルとグレーテル」より祈り／エンゲルベルト・フンパーディンク（arr.チャールズ・スミス）<br>
4. Ｇ線上のアリア／ヨハン・セバスチャン・バッハ（arr.アーサー・フラッケンポール）<br>
5. カノン／ヨハン・パッヘルベル（arr.ウォルター・バーンズ）<br>
6. 「オルフェーオ」よりファンファーレ／クラウディオ・モンテヴェルディ（arr.スティーブン・マクネフ）<br>
7. トランペット・テューンとエアー／ヘンリー・パーセル（arr.ウォルター・バーンズ）<br>
8. トランペット・ヴォランタリー／ジョン・スタンリー（arr.ウォルター・バーンズ） <br>
9. ファンファーレ・アルバソン／ゴットリープ・ライヒェ <br>
10. トランペット・ヴォランタリー／ジェレミヤ・クラーク（arr.ウォルター・バーンズ） <br>
<br>
ほか全17曲収録<br>",ウェディング・エッセンシャルズ　カナディアン・ブラス　Wedding Essentials【金管 アンサンブル CD】：吹奏楽専門ショップ～Band Power～,吹奏楽金管バンドブラスバンド管楽器CDDVD楽譜スコアBlu-rayフレックスフレキシブルアンサンブルマーチングコンクール輸入試聴送料無料小編成自由曲かっこいいウェディング・エッセンシャルズ　カナディアン・ブラス　Wedding Essentials【金管 アンサンブル CD】,ウェディング・エッセンシャルズ　カナディアン・ブラス　Wedding Essentials【金管 アンサンブル CD】[rn]
17-150080,http://tshop.r10s.jp/bandpower/cabinet/09/cd-2259.jpg?fitin=700:700,2286.4000,,CD・DVD・楽器 > CD > クラシック > 吹奏楽,★チェコ・フィル・ブラスの饗宴　チェコ・フィルハーモニー・ブラス　Czech Philharmonic Brasses【金管 アンサンブル CD】OVCC-00084,,"■収録曲：<br>
<br>1. バレッティ／ヴェイヴァノフスキー<br>
2. プラハ・ルネッサンス舞曲集／オットー<br>
3. 主をほめたたえよ／シャイト<br>
4. アリオーソ／ヨハン・セバスチャン・バッハ<br>
5. シバの女王の入場／ゲオルク・フリードリッヒ・ヘンデル<br>
6. 母の教え給いし歌／アントニン・ドヴォルザーク<br>
7. ユモレスク／アントニン・ドヴォルザーク<br>
8. 「ポーギーとべス組曲」／ジョージ・ガーシュウィン<br>
9. リル・ダーリン／ヘフティ<br>
10. メランコリア／エリントン<br>
<br>
ほか全16曲収録<br>",★チェコ・フィル・ブラスの饗宴　チェコ・フィルハーモニー・ブラス　Czech Philharmonic Brasses【金管 アンサンブル CD】OVCC-00084：吹奏楽専門ショップ～Band Power～,吹奏楽金管バンドブラスバンド管楽器CDDVD楽譜スコアBlu-rayフレックスフレキシブルアンサンブルマーチングコンクール輸入試聴送料無料小編成自由曲かっこいい★チェコ・フィル・ブラスの饗宴　チェコ・フィルハーモニー・ブラス　Czech Philharmonic Brasses【金管 アンサンブル CD】OVCC-00084,★チェコ・フィル・ブラスの饗宴　チェコ・フィルハーモニー・ブラス　Czech Philharmonic Brasses【金管 アンサンブル CD】OVCC-00084[rn]
17-150081,http://tshop.r10s.jp/bandpower/cabinet/14/cd-3277.jpg?fitin=700:700,1763.2000,,CD・DVD・楽器 > CD > クラシック > 吹奏楽,エミネンス・ブラス～ジュエルズ　歌劇「フィガロの結婚」序曲　星条旗よ永遠なれ　Jewels - Eminence Brass【金管 アンサンブル CD】,,"■収録曲：<br>
1. 歌劇「フィガロの結婚」序曲／ヴモーツァルト<br>
2. 歌劇「リナルド」から“私を泣かせてください”／ヘンデル<br>
3. 協奏的練習曲／アレクサンドル・ゲディケ<br>
4. 「アディエマス」から讃歌“聖なる海の歌声”／カール・ジェンキンズ <br>
5. パラディオ／カール・ジェンキンズ<br>
6. 序奏とフーガ／ヴィヴァルディ<br>
7. 子羊／ジョン・タヴナー<br>
8. チェロ協奏曲第1番から“フィナーレ”／ハイドン<br>
9. シンプル・リール／ダン・プライス<br>
10. エミネンス／クリストファー・ポンド<br>
11. 四銃士／デヴィッド・ハリントン<br>
12. リング・オブ・ブロッガー／デリック・ケイン<br>
13. 星条旗よ永遠なれ／スーザ<br>
14. ナポリ／ヘルマン・ペルシュテッド<br>
15. ジュエルズ／エリック・ボール<br>
16. ベニスの謝肉祭／アルバ<br>
17. ポカレカレ・アナ／パライレ・トモアナ<br>
18. 歌劇「ウィリアム・テル」序曲から“フィナーレ”／ロッシーニ<br>
19. タイガー・ストリート・ラグ／ユーデイ・ボーマン",エミネンス・ブラス～ジュエルズ　歌劇「フィガロの結婚」序曲　星条旗よ永遠なれ　Jewels - Eminence Brass【金管 アンサンブル CD】：吹奏楽専門ショップ～Band Power～,吹奏楽金管バンドブラスバンド管楽器CDDVD楽譜スコアBlu-rayフレックスフレキシブルアンサンブルマーチングコンクール輸入試聴送料無料小編成自由曲かっこいいエミネンス・ブラス～ジュエルズ　歌劇「フィガロの結婚」序曲　星条旗よ永遠なれ　Jewels - Eminence Brass【金管 アンサンブル CD】,エミネンス・ブラス～ジュエルズ　歌劇「フィガロの結婚」序曲　星条旗よ永遠なれ　Jewels - Eminence Brass【金管 アンサンブル CD】[rn]
17-150082,http://tshop.r10s.jp/bandpower/cabinet/14/cd-3276.jpg?fitin=700:700,1763.2000,,CD・DVD・楽器 > CD > クラシック > 吹奏楽,エミネンス・ブラス～トリビュート　スパーク：ブラス・カルテットのためのディヴェルティメント　ヴィンター：エレジーとロンド　Tribute - Eminence Brass【金管 アンサンブル CD】,,"■収録曲：<br>
1. カプリチオ／ロジャー・ペイン 【7：06】<br>
2. ブラス・カルテットのためのディヴェルティメント／フィリップ・スパーク　【8：01】<br>
3. エレジーとロンド／ギルバート・ヴィンター【8：37】<br>
4. バガテルズ(作品63)／ジョン・ゴーランド【9：41】<br>
5. ファンシーの鐘／ギルバート・ヴィンター 【6：59】<br>
6. 金管四重奏曲第1番:プレリュードとカプリチオ／エドワード・グレッグスン【6：44】<br>
7. アラ・バーレスカ／ギルバート・ヴィンター 【6：01】<br>
8. パガニーニの主題による変奏曲／ジョーゼフ・ホロヴィッツ 【8：19】",エミネンス・ブラス～トリビュート　スパーク：ブラス・カルテットのためのディヴェルティメント　ヴィンター：エレジーとロンド　Tribute - Eminence Brass【金管 アンサンブル CD】：吹奏楽専門ショップ～Band Power～,吹奏楽金管バンドブラスバンド管楽器CDDVD楽譜スコアBlu-rayフレックスフレキシブルアンサンブルマーチングコンクール輸入試聴送料無料小編成自由曲かっこいいエミネンス・ブラス～トリビュート　スパーク：ブラス・カルテットのためのディヴェルティメント　ヴィンター：エレジーとロンド　Tribute - Eminence Brass【金管 アンサンブル CD】,エミネンス・ブラス～トリビュート　スパーク：ブラス・カルテットのためのディヴェルティメント　ヴィンター：エレジーとロンド　Tribute - Eminence Brass【金管 アンサンブル CD】[rn]
17-150083,http://tshop.r10s.jp/bandpower/cabinet/15/cd-3850.jpg?fitin=700:700,2080.0000,,CD・DVD・楽器 > CD > クラシック > 吹奏楽,シオン×スパーク！　フィリップ・スパーク（指揮）　オオサカ・シオン・ウインド・オーケストラ　Shion×Sparke !【吹奏楽 CD】FOCD9694,,"＜メーカーより＞<br>
<br>
オオサカ・シオン・ウインド・オーケストラ、2015年6月に開催された第111回定期演奏会のライブ録音の登場です！<br>
<br>
アルフレッド・リード、ヤン・ヴァンデルロースト、ヨハン・デメイといった、吹奏楽の世界において非常に重要な作曲家を招いての数々の定期演奏会を行ってきたシオンですが、ついにフィリップ・スパークの指揮による自作・編曲の定期演奏会が実現しました。<br>
<br>
超満員の観衆の中、繰り広げられた両者の熱演が蘇ります。スパーク自作自演の決定盤の登場です。<br>
<br><br>

▼CD情報<br>
<br>
・演奏団体：オオサカ・シオン・ウインド・オーケストラ<br>
（Osaka Shion Wind Orchestra）<br>
<br>
・指揮者：フィリップ・スパーク（Philip Sparke）<br>
<br>
・収録：2015年6月2日 ザ・シンフォニーホール<br>
第111回定期演奏会 ライブ録音<br>
<br>
・発売元：株式会社フォンテック<br>
<br>
・発売年：2015年<br>
<br>
<br>
▼収録内容<br>
<br>
■作・編曲：フィリップ・スパーク（Philip Sparke）【全曲】<br>
<br>
1. オリエント急行 【7：50】<br>
　　 Orient Express<br>
<br>
楽譜セット購入⇒（吹奏楽）<br>
<br>
<br>
風のスケッチ 【14：34】<br>
Wind Sketches<br>
<br>
2. I）貿易風　March: Trade Winds 【3：57】<br>
3. II）風がやんで　Interlude: Becalmed 【5：40】<br>
4. III）嵐にのって　Finale: Riding the Storm 【4：45】<br>
<br>
楽譜セット購入⇒（吹奏楽）<br>
<br>
<br>
ドラゴンの年 【14：39】<br>
The Year of the Dragon<br>
<br>
5. I）トッカータ　Toccata 【3：06】<br>
6. II）インタールード（間奏曲）　Interlude 【7：20】<br>
7. III）フィナーレ　Finale 【4：00】<br>
<br>
楽譜セット購入⇒（吹奏楽）<br>
フルスコア購入⇒（吹奏楽）<br>
<br>
<br>
8. ディザーツ 【10：50】<br>
　　 Deserts<br>
<br>
楽譜セット購入⇒（吹奏楽）<br>
<br>
<br>
9. 故郷からの手紙 【7：14】<br>
　　 Letter from Home<br>
<br>
楽譜セット購入⇒（吹奏楽）<br>
<br>
<br>
宇宙の音楽 【17：03】<br>
Music Of The Spheres<br>
<br>
10. t＝0 【1：01】<br>
11. ビッグバン　The Big Bang 【3：40】<br>
12. 孤独な惑星　The Lonely Planet 【4：09】<br>
13. 小惑星帯と流星群　Asteroids &amp; Shooting Stars 【4：06】<br>
14. 宇宙の音楽　Music of the Spheres 【0：40】<br>
15. ハルモニア　Harmonia 【2：32】<br>
16. 未知　The Unknown 【0：55】<br>
<br>
楽譜セット購入⇒（吹奏楽）<br>
フルスコア購入⇒（吹奏楽）<br>
<br>
<br>
17. サンダーバード／バリー・グレイ 【2：22】<br>
　　 Thunderbirds／Barry Gray<br>
<br>
楽譜セット購入⇒（吹奏楽）<br>
<br>
<br>
<br>
≫その他「フィリップ・スパーク作品集」CDはこちら！",シオン&times;スパーク！　フィリップ・スパーク（指揮）　オオサカ・シオン・ウインド・オーケストラ　Shion&times;Sparke !【吹奏楽 CD】FOCD9694：吹奏楽専門ショップ～Band Power～,吹奏楽金管バンドブラスバンド管楽器CDDVD楽譜スコアBlu-rayフレックスフレキシブルアンサンブルマーチングコンクール輸入試聴送料無料小編成自由曲かっこいいシオン&times;スパーク！　フィリップ・スパーク（指揮）　オオサカ・シオン・ウインド・オーケストラ　Shion&times;Sparke !【吹奏楽 CD】FOCD9694,シオン&times;スパーク！　フィリップ・スパーク（指揮）　オオサカ・シオン・ウインド・オーケストラ　Shion&times;Sparke !【吹奏楽 CD】FOCD9694[rn]
17-150084,http://tshop.r10s.jp/bandpower/cabinet/15/cd-3919.jpg?fitin=700:700,2000.0000,,CD・DVD・楽器 > CD > クラシック > 吹奏楽,リフレクションズ　スパーク×東京吹奏楽団【吹奏楽 CD】BOCD-7601,,"＜BPスタッフレビュー＞<br>
<br>
吹奏楽界きっての人気作曲家、フィリップ・スパーク。<br>
<br>近年は自作を指揮するため日本のプロ吹奏楽団と立て続けに共演していますが、コチラは東京吹奏楽団とのコラボレーションＣＤです☆<br>
<br>2015年9月に開催された東京吹奏楽団の第62回定期演奏会のライヴ盤で、委嘱作品の世界初演を含むバラエティ豊かなプログラムとなっています。<br>
<br>なんと言っても注目はこの公演のために書かれた委嘱作品、「リフレクションズ」～ある古い日本俗謡による～（!!）<br>
<br>日本の古謡を題材にした“日本らしさ”を感じる作品ですが、「やっぱりスパークだなぁ。」と思わせる書法とサウンドで、とても面白かったです（笑）<br>
<br>また、立教大学グリークラブが参加した合唱付きの「ベートーヴェンの表敬」と日本初演となった「ウィズ・クラウズ・ディセンディング」も「吹奏楽＋合唱」という贅沢な響きを、心地よく堪能できました◎（ 
やっぱ「ベートーヴェンの表敬」いい曲だなー。いつか吹きたい！ ）<br>
<br>この他「オリエント急行」や「ウィークエンド・イン・ニューヨーク」など定番の作品から交響曲第２番「サヴァンナ・シンフォニー」といった近年を代表する作品も収録されておりスパークの変化に富んだ曲調を楽しめます☆<br>
<br>東京吹奏楽団の演奏は、もう少し表現に積極性があっても良いかな？と感じましたが、どの作品もポイントを上手く押さえたまとめ方で、多くの人に好まれそうな、参考音源にもオススメのアルバムです♪<br>
<br>
<br>
<hr>
<br>
▼商品情報<br>
<br>
・演奏団体：東京吹奏楽団（Tokyo Wind Symphony Orchestra）、<br>
立教大学グリークラブ(6,7,10)<br>
<br>
・指揮者：フィリップ・スパーク（Philip Sparke）<br>
<br>・収録：2015年9月26日 東京芸術劇場コンサートホール<br>
東京吹奏楽団第62回定期演奏会ライヴ収録<br>
<br>・発売元：ブレーン・ミュージック（Brain Music）<br>
<br>
・発売年：2015年<br>
<br><br>
■収録内容：<br>
<br>
・作曲：フィリップ・スパーク（Philip Sparke）<br>
<br>1. <font color=""#000099"">ファンファーレ・フォー・トウキョウ</font>《東京吹奏楽団創立50周年委嘱作品》【3:35】<br>
　　Fanfare for Tokyo<br>
<br>　　　楽譜セット購入⇒（吹奏楽）<br>
<br><br>
2. <font color=""#000099"">オリエント急行</font>【7:58】<br>
　　Orient Express<br>
<br>　　　楽譜セット購入⇒（吹奏楽）<br>
<br><br>
3. <font color=""#000099"">交響曲第2番「サヴァンナ・シンフォニー」</font>【20:51】<br>
　　Symphony No.2 - A Savannah Symphony<br>
<br>　　　ヤマクロー岬、1773年2月12日　　Yamacraw Bluff, February 12th, 1733【5:16】<br>
　　　綿折り機　　The Cotton Gin【7:24】<br>
　　　生まれ変わる街　　A City Born and Reborn【8:11】<br>
　　　<br>
　　　楽譜セット購入⇒（吹奏楽）<br>
<br><br>
4. <font color=""#000099"">ジュビリー序曲</font>【6:20】<br>
　　Jubilee Overture<br>
<br>　　　楽譜セット購入⇒（吹奏楽）<br>
<br><br>
5. <font color=""#000099"">リフレクションズ ～ある古い日本俗謡による～</font>《東京吹奏楽団委嘱作品》世界初演【9:00】<br>
　　Reflections<br>
<br>6. <font color=""#000099"">ベートーヴェンの表敬 ～カノン「人生を楽しめ」による幻想曲～</font>【6:54】<br>
　　Beethoven's Greeting Fantasy on the cannon Freu' dich des Lebens<br>
<br>　　　楽譜セット購入⇒（吹奏楽）<br>
　　　オプション合唱パート<br>
<br><br>
7. <font color=""#000099"">ウィズ・クラウズ・ディセンディング（輝く雲にうち乗りて）～聖歌「ヘルムズリー」による幻想曲～</font> 日本初演【6:16】<br>
　　With Clouds Descending - A Fantasy on the Hymn Tune &quot;Helmsley&quot;<br>
<br>8. <font color=""#000099"">ウィークエンド・イン・ニューヨーク</font>【7:33】<br>
　　A Weekend in New York<br>
<br>　　　楽譜セット購入⇒（吹奏楽）<br>
<br><br>
Bonus Track<br>
<br>9. <font color=""#000099"">バンドワゴン</font>【2:58】<br>
　　The Bandwagon<br>
<br>　　　楽譜セット購入⇒（吹奏楽）<br>
<br><br>
10. <font color=""#000099"">「威風堂々」第1番／エドワード・エルガー（arr. アルフレッド・リード）</font>【5:36】<br>
　　Pomp and Circumstance March No.1 Op.39<br>
<br>　　　楽譜セット購入⇒（吹奏楽）<br>
<br>
<br>
<br>
<br>≫その他「フィリップ・スパーク」作品集CDはこちら！<br>",リフレクションズ　スパーク&times;東京吹奏楽団【吹奏楽 CD】BOCD-7601：吹奏楽専門ショップ～Band Power～,吹奏楽金管バンドブラスバンド管楽器CDDVD楽譜スコアBlu-rayフレックスフレキシブルアンサンブルマーチングコンクール輸入試聴送料無料小編成自由曲かっこいいリフレクションズ　スパーク&times;東京吹奏楽団【吹奏楽 CD】BOCD-7601,リフレクションズ　スパーク&times;東京吹奏楽団【吹奏楽 CD】BOCD-7601[rn]
17-150085,http://tshop.r10s.jp/bandpower/cabinet/11/cd-2440.jpg?fitin=700:700,1904.8000,,CD・DVD・楽器 > CD > クラシック > 吹奏楽,★組曲「惑星」より　［近畿大学吹奏楽部 第51回定期演奏会］　近畿大学吹奏楽部【吹奏楽 CD】WKCD-0046,,"■収録曲： <br>
<br>
1. ゴールデン・フェスティバル序曲／ジェームズ・バーンズ 【7：29】<br>
2. 交響的断章／ヴァーツラフ・ネリベル 【7：15】<br>
3. ヴィジョンズ・オブ・ライト／エリック・エワイゼン 【23：19】<br>
4. 地の精霊たちのバラード／オットリーノ・レスピーギ（arr.木村吉宏） 【6：55】<br>
5. 組曲「惑星」より／グスタフ・ホルスト（arr.小西龍也） 【24：45】<br>
6. 東北のためのエレジー／アレクサンダー・コミタス 【6：36】",★組曲「惑星」より　［近畿大学吹奏楽部 第51回定期演奏会］　近畿大学吹奏楽部【吹奏楽 CD】WKCD-0046：吹奏楽専門ショップ～Band Power～,吹奏楽金管バンドブラスバンド管楽器CDDVD楽譜スコアBlu-rayフレックスフレキシブルアンサンブルマーチングコンクール輸入試聴送料無料小編成自由曲かっこいい★組曲「惑星」より　［近畿大学吹奏楽部 第51回定期演奏会］　近畿大学吹奏楽部【吹奏楽 CD】WKCD-0046,★組曲「惑星」より　［近畿大学吹奏楽部 第51回定期演奏会］　近畿大学吹奏楽部【吹奏楽 CD】WKCD-0046[rn]
17-150086,http://tshop.r10s.jp/bandpower/cabinet/13/cd-2754.jpg?fitin=700:700,1524.0000,,CD・DVD・楽器 > CD > クラシック > 吹奏楽,【お取り寄せします　約7-14日間】ウインドアート出版　八木澤教司 吹奏楽作品集 Vol.1【吹奏楽 CD】WKCD-0052,,"作曲：八木澤教司（Satoshi Yagisawa）【全曲】 <br> <br>
1. 眩い星座になるために… (2008)　【6:34】<br>
2. タイ北部民謡による狂詩曲「ラン・パーン」(2011)　【6:33】<br>
3. 「サグラダファミリアの鐘」～ガウディの継がれゆく意志 (2009)　【8:10】<br>
4. 公慶の悲願～東大寺大仏殿、再建への道 (2011)　【7:32】<br>
5. 地底都市「カッパドキア」～妖精の宿る不思議な岩 (2005)　【9:32】<br>
6. 「ひまわり、１５本」～ヴィンセント・ヴァン・ゴッホに寄せて (2010)　【7:24】<br>
7. 「ザ・リング・オブ・ブロッガー」～太古の聖なる祭壇 (2006)　【6:28】<br>
8. 「ヘリングの朝」～そして暗闇は光に満ちた… (2009)　【7:32】<br>
9. 「散歩、日傘をさす女性」～クロード・モネに寄せて (2007)　【8:26】<br>
10. 太陽への讃歌～大地の鼓動 (2005)　【9:39】",【お取り寄せします　約7-14日間】ウインドアート出版　八木澤教司 吹奏楽作品集 Vol.1【吹奏楽 CD】WKCD-0052：吹奏楽専門ショップ～Band Power～,吹奏楽金管バンドブラスバンド管楽器CDDVD楽譜スコアBlu-rayフレックスフレキシブルアンサンブルマーチングコンクール輸入試聴送料無料小編成自由曲かっこいい【お取り寄せします　約7-14日間】ウインドアート出版　八木澤教司 吹奏楽作品集 Vol.1【吹奏楽 CD】WKCD-0052,【お取り寄せします　約7-14日間】ウインドアート出版　八木澤教司 吹奏楽作品集 Vol.1【吹奏楽 CD】WKCD-0052[rn]
17-150087,http://tshop.r10s.jp/bandpower/cabinet/13/cd-2757.jpg?fitin=700:700,2133.6000,,CD・DVD・楽器 > CD > クラシック > 吹奏楽,【お取り寄せします　約7-14日間】マジカルサウンズ２　マジカルサウンズの愉快な悪戯【吹奏楽 CD】WKCD-0051,,"■収録曲：<br>
<br>
1. 夢への冒険／福島弘和 【4：58】<br>
2. マジカル版 8人の奏者による「その又もう一人のティル・オイレンシュピーゲル」／R.シュトラウス 【8：39】<br>
3-6. Violinのための44Duosより（木管三重奏[Fl.Cl.Sax.]と民族打楽器による）／B.バルトーク 【5：48】<br>
7. 8人の奏者のためのストラクチュア／天野正道 【4：52】<br>
8. タランテラII／八木澤教司 【5：10】<br>
9. アメリカン序曲／広瀬勇人 【4：57】<br>
10-23. マジカル版 動物の謝肉祭（動物学的大幻想曲）／カミーユ・サン＝サーンス 【28：44】<br>
24. カヴァレリア・ルスティカーナより「間奏曲」／P.マスカーニ 【2：57】",【お取り寄せします　約7-14日間】マジカルサウンズ２　マジカルサウンズの愉快な悪戯【吹奏楽 CD】WKCD-0051：吹奏楽専門ショップ～Band Power～,吹奏楽金管バンドブラスバンド管楽器CDDVD楽譜スコアBlu-rayフレックスフレキシブルアンサンブルマーチングコンクール輸入試聴送料無料小編成自由曲かっこいい【お取り寄せします　約7-14日間】マジカルサウンズ２　マジカルサウンズの愉快な悪戯【吹奏楽 CD】WKCD-0051,【お取り寄せします　約7-14日間】マジカルサウンズ２　マジカルサウンズの愉快な悪戯【吹奏楽 CD】WKCD-0051[rn]
