9-12303,,3880.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　レターケース　引き出しＡ４浅型５個、Ａ４深型１個【TOA4-S5W1】(2869195) 受注単位1,(2869195),"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●追加用レターケース（TOA4-S1・W1）を使うことで、1段ずつの増設が可能です。<br>●各段の付け外しができますので、段数の増減が可能です。<br>●A4サイズの用紙がぴったり納まるので、書類の整理に最適です。<br>●別売の仕切り（TA4-S40・L40、TA4-S80・L80）を使用して、小物の整理もできます。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　レターケース　引き出しＡ４浅型５個、Ａ４深型１個【TOA4-S5W1】(2869195) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　レターケース　引き出しＡ４浅型５個、Ａ４深型１個【TOA4-S5W1】(2869195) 受注単位1,(2869195)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　レターケース　引き出しＡ４浅型５個、Ａ４深型１個【TOA4-S5W1】(2869195) 受注単位1[rn]
9-12366,,18576.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒アマノ【HEE801100】(4961579) フロアパッド２０　黒 受注単位5,オフィス住設用品\清掃機器\床洗浄機,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●どのメーカーの床洗浄機・ポリッシャーにもご使用いただけます。<br><br>●樹脂ワックスはく離用。<br><br>●寸法(インチ)：20<br>●相当する番手：#80<br>●質量(g)：400<br><br><br>●主成分：ポリエステル・ナイロン繊維、合成砥粒（酸化アルミニウム）、合成樹脂系接着剤<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒アマノ【HEE801100】(4961579) フロアパッド２０　黒 受注単位5：クローバー資材館,『カード対応OK！』■〒アマノ【HEE801100】(4961579) フロアパッド２０　黒 受注単位5,オフィス住設用品\清掃機器\床洗浄機。『カード対応OK！』■〒アマノ【HEE801100】(4961579) フロアパッド２０　黒 受注単位5[rn]
9-12367,,25920.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ケルヒャージャパン/ケルヒャー 掃除機【47632520】(7940351) ケルヒャー サイクロンジエツトノズル 040 発注単位1,オフィス住設用品\清掃機器,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●直噴の噴射パターンが螺旋状に回転し、こびりついた汚れの広範囲を強力に剥ぎ落とします。<br>
●広角25°　ノズルの11倍の威力があります。<br>
●水の跳ね返りを大幅に削減できます。<br>
●適合機種:ＨＤ4/8Ｃ、ＨＤ728、ＨＤ801、ＨＤＳ801<br>
●品名:サイクロンジェットノズル　　０４０<br>
●幅(mm):60<br>
●奥行(mm):200<br>
●高さ(mm):60<p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",■〒ケルヒャージャパン/ケルヒャー 掃除機【47632520】(7940351) ケルヒャー サイクロンジエツトノズル 040 発注単位1：クローバー資材館,■〒ケルヒャージャパン/ケルヒャー 掃除機【47632520】(7940351) ケルヒャー サイクロンジエツトノズル 040 発注単位1,オフィス住設用品\清掃機器。■〒ケルヒャージャパン/ケルヒャー 掃除機【47632520】(7940351) ケルヒャー サイクロンジエツトノズル 040 発注単位1[rn]
9-12368,,6220.8000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ボッシュ/ボッシュ パーツ【1609390478】(7325461) ボッシュ 35パイ ノズルセット 発注単位1,オフィス住設用品\清掃機器,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●ボッシュクリーナー用パーツです。<br>
●適合機種:GAS10、GAS10PS、GAS25、GAS50<br>
●品名:35φ床用ノズルセット<br>
●製造国:イタリア<p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",■〒ボッシュ/ボッシュ パーツ【1609390478】(7325461) ボッシュ 35パイ ノズルセット 発注単位1：クローバー資材館,■〒ボッシュ/ボッシュ パーツ【1609390478】(7325461) ボッシュ 35パイ ノズルセット 発注単位1,オフィス住設用品\清掃機器。■〒ボッシュ/ボッシュ パーツ【1609390478】(7325461) ボッシュ 35パイ ノズルセット 発注単位1[rn]
9-12369,,194.4000,,花・ガーデン・DIY > DIY・工具 > その他,■〒日立工機/日立 電動工具パーツ【337523】(7925620) 日立 クリーナー用すき間用吸口 発注単位1,オフィス住設用品\清掃機器,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●適合機種:RPシリーズ<br>
●品名:すき間用吸口<br>
●製造国:※<p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",■〒日立工機/日立 電動工具パーツ【337523】(7925620) 日立 クリーナー用すき間用吸口 発注単位1：クローバー資材館,■〒日立工機/日立 電動工具パーツ【337523】(7925620) 日立 クリーナー用すき間用吸口 発注単位1,オフィス住設用品\清掃機器。■〒日立工機/日立 電動工具パーツ【337523】(7925620) 日立 クリーナー用すき間用吸口 発注単位1[rn]
9-12370,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010003915016.jpg?fitin=700:700,215.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ニューストロング　スタットボルト　ネジ　Ｍ８　全長　１９０ミリ【SBM-8190 (8MMX190MML)】(4000731) 受注単位1,生産加工用品\ツーリング・治工具\調整治具,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●両端にねじが切ってあります。<br>●締付け側のねじが疲労した時はＴナット側で使用できます。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ニューストロング　スタットボルト　ネジ　Ｍ８　全長　１９０ミリ【SBM-8190 (8MMX190MML)】(4000731) 受注単位1：クローバー資材館,『カード対応OK！』■〒ニューストロング　スタットボルト　ネジ　Ｍ８　全長　１９０ミリ【SBM-8190 (8MMX190MML)】(4000731) 受注単位1,生産加工用品\ツーリング・治工具\調整治具。『カード対応OK！』■〒ニューストロング　スタットボルト　ネジ　Ｍ８　全長　１９０ミリ【SBM-8190 (8MMX190MML)】(4000731) 受注単位1[rn]
9-12371,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004383332.jpg?fitin=700:700,1044.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒カノン/中村製作所　トルクドライバー用ビットＳＢ用ＨＥＸＢＩＴ２．５【SBHEXBIT2.5】(3923479) 受注単位1,生産加工用品\計測機器\トルク機器,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●カノントルクドライバー用のヘキサゴンビットです。<br>●ＬＴＤＫ・ＤＰＳＫ用ヘキサゴンビットです。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒カノン/中村製作所　トルクドライバー用ビットＳＢ用ＨＥＸＢＩＴ２．５【SBHEXBIT2.5】(3923479) 受注単位1：クローバー資材館,『カード対応OK！』■〒カノン/中村製作所　トルクドライバー用ビットＳＢ用ＨＥＸＢＩＴ２．５【SBHEXBIT2.5】(3923479) 受注単位1,生産加工用品\計測機器\トルク機器。『カード対応OK！』■〒カノン/中村製作所　トルクドライバー用ビットＳＢ用ＨＥＸＢＩＴ２．５【SBHEXBIT2.5】(3923479) 受注単位1[rn]
9-12372,http://tshop.r10s.jp/clover9608/cabinet/pb1/t010002765206.jpg?fitin=700:700,4431.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＴＲＵＳＣＯ/トラスコ中山　生爪北川用　ＨＯ用　チャック１０インチ【HO-10】(1128931) 受注単位1,(1128931),"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●修正削りが容易で、しかも適当な硬さを持っているS45C鋼を使用しています。また、再取り付け後の復元精度（芯振れ）の低下とマスタージョウの取り付けゆがみが生じる原因などの点を十分考慮して綿密な加工を施しています。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ＴＲＵＳＣＯ/トラスコ中山　生爪北川用　ＨＯ用　チャック１０インチ【HO-10】(1128931) 受注単位1：クローバー資材館,『カード対応OK！』■〒ＴＲＵＳＣＯ/トラスコ中山　生爪北川用　ＨＯ用　チャック１０インチ【HO-10】(1128931) 受注単位1,(1128931)。『カード対応OK！』■〒ＴＲＵＳＣＯ/トラスコ中山　生爪北川用　ＨＯ用　チャック１０インチ【HO-10】(1128931) 受注単位1[rn]
9-12373,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010003914827.jpg?fitin=700:700,311.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ニューストロング　スタットボルト　ネジ　Ｍ１０　全長　２００ミリ【SBM-10200 (10MMX200MML)】(3988830) 受注単位1,生産加工用品\ツーリング・治工具\調整治具,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●両端にねじが切ってあります。<br>●締付け側のねじが疲労した時はＴナット側で使用できます。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ニューストロング　スタットボルト　ネジ　Ｍ１０　全長　２００ミリ【SBM-10200 (10MMX200MML)】(3988830) 受注単位1：クローバー資材館,『カード対応OK！』■〒ニューストロング　スタットボルト　ネジ　Ｍ１０　全長　２００ミリ【SBM-10200 (10MMX200MML)】(3988830) 受注単位1,生産加工用品\ツーリング・治工具\調整治具。『カード対応OK！』■〒ニューストロング　スタットボルト　ネジ　Ｍ１０　全長　２００ミリ【SBM-10200 (10MMX200MML)】(3988830) 受注単位1[rn]
9-12374,http://tshop.r10s.jp/clover9608/cabinet/pb3-1/t010002805858.jpg?fitin=700:700,8524.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＴＲＵＳＣＯ/トラスコ中山　平型スコヤ　３５０ｍｍ　ＪＩＳ２級【ULD-350】(1028081) 受注単位1,(1028081),"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●厳選された炭素工具鋼を使用しています。<br>●使用面は精密研磨仕上げです。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ＴＲＵＳＣＯ/トラスコ中山　平型スコヤ　３５０ｍｍ　ＪＩＳ２級【ULD-350】(1028081) 受注単位1：クローバー資材館,『カード対応OK！』■〒ＴＲＵＳＣＯ/トラスコ中山　平型スコヤ　３５０ｍｍ　ＪＩＳ２級【ULD-350】(1028081) 受注単位1,(1028081)。『カード対応OK！』■〒ＴＲＵＳＣＯ/トラスコ中山　平型スコヤ　３５０ｍｍ　ＪＩＳ２級【ULD-350】(1028081) 受注単位1[rn]
9-12375,http://tshop.r10s.jp/clover9608/cabinet/nobe-8/t010002903042.jpg?fitin=700:700,1172.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒3M/住友スリーエム　瞬間消臭スプレー　【SHOSHU】(3276929) 1本,環境安全用品\労働衛生用品\消臭剤,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●安定化二酸化塩素のミストが臭いの成分を瞬間分解します。<br>●業務用420mlの大容量タイプです。<br>●香料を含まない無臭タイプです。<br>●1回1秒噴霧で、500回使用可能です。<br>●においがこもりやすいロッカールーム、シューズボックス、ゴミ集積場、喫煙ルーム、車内など。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒3M/住友スリーエム　瞬間消臭スプレー　【SHOSHU】(3276929) 1本：クローバー資材館,『カード対応OK！』■〒3M/住友スリーエム　瞬間消臭スプレー　【SHOSHU】(3276929) 1本,環境安全用品\労働衛生用品\消臭剤。『カード対応OK！』■〒3M/住友スリーエム　瞬間消臭スプレー　【SHOSHU】(3276929) 1本[rn]
9-12376,http://tshop.r10s.jp/clover9608/cabinet/pb6/t010004570320.jpg?fitin=700:700,291.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＴＲＵＳＣＯ/トラスコ中山　ケガキ針　バチ付【KB-N】(2295857) 受注単位1,(2295857),"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●工作物の面に仕上げ寸法の線引きや芯出しに用います。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ＴＲＵＳＣＯ/トラスコ中山　ケガキ針　バチ付【KB-N】(2295857) 受注単位1：クローバー資材館,『カード対応OK！』■〒ＴＲＵＳＣＯ/トラスコ中山　ケガキ針　バチ付【KB-N】(2295857) 受注単位1,(2295857)。『カード対応OK！』■〒ＴＲＵＳＣＯ/トラスコ中山　ケガキ針　バチ付【KB-N】(2295857) 受注単位1[rn]
9-12377,,13824.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ショーボンドカップリング/ＳＨＯ－ＢＯＮＤ【CW-65N2】(7627343) ストラブ・ワイドクランプＣＷタイプ　６５Ａ幅２００ 受注単位1,工事用品\管工機材\配管補修用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>
●広範囲にわたるピンホールや腐食割れを補修できます。<br>
●流体を止めることなく作業できます。<br>
<br>
●各種配管の補修に。<br>
<br>
●呼び径(A):65<br>
●呼び径(B):2 1/2<br>
●ケーシング幅(mm):200<br>
●適用管外径(mm):75～84<br>
●締付けボルト六角サイズ(mm):17<br>
●標準トルク値(N・m):20<br>
●質量(kg):1.50<br>
<br>
●適用配管：配管用炭素鋼鋼管、水道用鋳鉄管、ステンレス鋼管など<br>
●流体温度：-10℃～60℃<br>
●使用圧力：液体/1.0MPa、空気・有機ガス/0.5MPa<br>
●適用流体：水、油、ガス<br>
<br>
●ケーシング/ボルト：ステンレス(SUS304)<br>
●ゴム：NBR<br>
<br>
<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ショーボンドカップリング/ＳＨＯ&minus;ＢＯＮＤ【CW-65N2】(7627343) ストラブ・ワイドクランプＣＷタイプ　６５Ａ幅２００ 受注単位1：クローバー資材館,『カード対応OK！』■〒ショーボンドカップリング/ＳＨＯ&minus;ＢＯＮＤ【CW-65N2】(7627343) ストラブ・ワイドクランプＣＷタイプ　６５Ａ幅２００ 受注単位1,工事用品\管工機材\配管補修用品。『カード対応OK！』■〒ショーボンドカップリング/ＳＨＯ&minus;ＢＯＮＤ【CW-65N2】(7627343) ストラブ・ワイドクランプＣＷタイプ　６５Ａ幅２００ 受注単位1[rn]
9-12378,,37851.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ミツトヨ　ホールテスト２０～２５ｍｍ【HT-25R (368-166)】(2884208) 受注単位1,生産加工用品\測定工具\ホールテスト,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●堅牢で緻密な構造です。<br>●定圧装置付です。<br>●測定面にチタンコーティングを施し、耐久性・耐摩耗性が向上しました。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ミツトヨ　ホールテスト２０～２５ｍｍ【HT-25R (368-166)】(2884208) 受注単位1：クローバー資材館,『カード対応OK！』■〒ミツトヨ　ホールテスト２０～２５ｍｍ【HT-25R (368-166)】(2884208) 受注単位1,生産加工用品\測定工具\ホールテスト。『カード対応OK！』■〒ミツトヨ　ホールテスト２０～２５ｍｍ【HT-25R (368-166)】(2884208) 受注単位1[rn]
9-12379,,1243.2000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ＦＤＫ/富士通 乾電池【LR6FP(20S)】(7886853) 富士通 まとめ買い アルカリ単3(20個)Ｐｒｅｍｉｕｍ 発注単位1,オフィス住設用品\ＯＡ・事務用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●長持ち性能と大電流性能を向上させ、あらゆるニーズに対応します。<br>
●工具やライトに強力な瞬発力と持久力を発揮します。<br>
●LEDライト<br>
●LEDランタン<br>
●懐中電灯<br>
●ラジオ<br>
●携帯電話充電器<br>
●リモコン<br>
●電動歯ブラシ<br>
●電子手帳<br>
●ウェットシェーバー<br>
●ワイヤレスマウス<br>
●ワイヤレスキーボード<br>
●玩具<br>
●タイプ:単3<br>
●使用推奨期限(年):10<br>
●電圧(V):1.5<br>
●パック入数（本）:20<br>
●長さ(mm):140<br>
●幅(mm):51<br>
●高さ(mm):29<p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",■〒ＦＤＫ/富士通 乾電池【LR6FP(20S)】(7886853) 富士通 まとめ買い アルカリ単3(20個)Ｐｒｅｍｉｕｍ 発注単位1：クローバー資材館,■〒ＦＤＫ/富士通 乾電池【LR6FP(20S)】(7886853) 富士通 まとめ買い アルカリ単3(20個)Ｐｒｅｍｉｕｍ 発注単位1,オフィス住設用品\ＯＡ・事務用品。■〒ＦＤＫ/富士通 乾電池【LR6FP(20S)】(7886853) 富士通 まとめ買い アルカリ単3(20個)Ｐｒｅｍｉｕｍ 発注単位1[rn]
9-12380,,349.6000,,花・ガーデン・DIY > DIY・工具 > その他,■〒三菱鉛筆/ｕｎｉ マーカー【K9800EWHB】(7895895) ｕｎｉ リサイクル鉛筆Ｋ9800ＥＷＨＢ 発注単位1,オフィス住設用品\ＯＡ・事務用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●木の端材を活かした「ジョイント工法」の鉛筆です。<br>
●芯硬度:HB<p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",■〒三菱鉛筆/ｕｎｉ マーカー【K9800EWHB】(7895895) ｕｎｉ リサイクル鉛筆Ｋ9800ＥＷＨＢ 発注単位1：クローバー資材館,■〒三菱鉛筆/ｕｎｉ マーカー【K9800EWHB】(7895895) ｕｎｉ リサイクル鉛筆Ｋ9800ＥＷＨＢ 発注単位1,オフィス住設用品\ＯＡ・事務用品。■〒三菱鉛筆/ｕｎｉ マーカー【K9800EWHB】(7895895) ｕｎｉ リサイクル鉛筆Ｋ9800ＥＷＨＢ 発注単位1[rn]
9-12381,,70243.2000,,花・ガーデン・DIY > DIY・工具 > その他,‡‡‡■〒ナイキ/ナイキ 書庫【CW-0911BLL-W】(7919956) ナイキ トレー書庫 発注単位1,オフィス住設用品\オフィス家具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font><br>
<br><font size=""4"" color=""""><b>※こちらの商品は規定外の為別途送料がかかります。詳しくはお問い合わせください。</b></font>
<br>※追加送料は別途当店からのメールで訂正されます。<br><br><br>
●扉もボディーも、すべてが洗練されたホワイトカラーの収納庫です。<br>
●間口(mm):900<br>
●奥行(mm):450<br>
●高さ(mm):1050<br>
●タイプ:3列13段Ｂ4用<br>
●外寸(mm)間口×奥行×高さ:899×450×1050<br>
●引出し内寸(mm)間口×奥行×高さ:269×363×69(深型)<br>
●完成品<br>
●色:ホワイト<br>
●棚板ピッチ:18mm<br>
●運賃別途<p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",&Dagger;&Dagger;&Dagger;■〒ナイキ/ナイキ 書庫【CW-0911BLL-W】(7919956) ナイキ トレー書庫 発注単位1：クローバー資材館,&Dagger;&Dagger;&Dagger;■〒ナイキ/ナイキ 書庫【CW-0911BLL-W】(7919956) ナイキ トレー書庫 発注単位1,オフィス住設用品\オフィス家具。&Dagger;&Dagger;&Dagger;■〒ナイキ/ナイキ 書庫【CW-0911BLL-W】(7919956) ナイキ トレー書庫 発注単位1[rn]
9-12382,,10692.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒藤沢工業/ＴＯＫＩＯ 椅子【FST-77-MG】(8184955) ＴＯＫＩＯ オフィスチェア 肘なし モスグリーン 発注単位1,オフィス住設用品\オフィス家具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●コストパフォーマンスに優れ、ロッキング機構付のリーズナブルなオフィスチェアです。<br>
●張地:布張り<br>
●色:モスグリーン<br>
●座幅(mm):580<br>
●座奥行(mm):535<br>
●座高(mm):427～512<br>
●組立式<br>
●座上下昇降機能:ガス調節式<br>
●肘なしタイプ<br>
●背部:PP樹脂成型品・ウレタンフォーム<br>
●座部:PP樹脂成型品・ウレタンフォーム<br>
●脚部:強化樹脂成型品・φ50双輪キャスター<p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",■〒藤沢工業/ＴＯＫＩＯ 椅子【FST-77-MG】(8184955) ＴＯＫＩＯ オフィスチェア 肘なし モスグリーン 発注単位1：クローバー資材館,■〒藤沢工業/ＴＯＫＩＯ 椅子【FST-77-MG】(8184955) ＴＯＫＩＯ オフィスチェア 肘なし モスグリーン 発注単位1,オフィス住設用品\オフィス家具。■〒藤沢工業/ＴＯＫＩＯ 椅子【FST-77-MG】(8184955) ＴＯＫＩＯ オフィスチェア 肘なし モスグリーン 発注単位1[rn]
9-12383,,6577.6000,,花・ガーデン・DIY > DIY・工具 > その他,■〒京セラ（株）/京セラ　旋削用チップ　ＣＡ５５１５　ＣＶＤコーティング【WNMG080404PQ  CA5515】(6537995)受注単位:10,切削工具\旋削・フライス加工工具\チップ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",■〒京セラ（株）/京セラ　旋削用チップ　ＣＡ５５１５　ＣＶＤコーティング【WNMG080404PQ  CA5515】(6537995)受注単位:10：クローバー資材館,■〒京セラ（株）/京セラ　旋削用チップ　ＣＡ５５１５　ＣＶＤコーティング【WNMG080404PQ  CA5515】(6537995)受注単位:10,切削工具\旋削・フライス加工工具\チップ。■〒京セラ（株）/京セラ　旋削用チップ　ＣＡ５５１５　ＣＶＤコーティング【WNMG080404PQ  CA5515】(6537995)受注単位:10[rn]
9-12384,,9849.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＤＣ　ＳＷＩＳＳ社/ＤＣ　ＳＷＩＳＳ【155322】(7626843) スパイラルタップ　Ｎ４６０－３　ＵＮＦ（Ｊ）１／２－２０ 受注単位1,切削工具\ねじ切り工具\スパイラルタップ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>
●アルミ、アルミ合金、マグネシウム合金などに適しています。<br>
●谷底の丸みが無い以外はISO3161の規格に準拠しており、航空業界に最適です。<br>
<br>
●止まり穴加工用<br>
●被切削材：アルミ合金、純銅、熱可塑性プラスチック<br>
<br>
●精度:3B<br>
●呼び寸:1/2<br>
●ピッチ(mm):1.27<br>
●ねじ長(mm):14<br>
●全長(mm):100<br>
●シャンク径(mm):9<br>
●シャンク四角部(mm):7<br>
●下穴径(mm):11.55<br>
●山数:20<br>
●質量(g):47<br>
<br>
●加工ねじ:ユニファイねじ<br>
●食い付山数:2.5山<br>
●ノンコーティング<br>
<br>
●高速度鋼（HSS-E）<br>
<br>
<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ＤＣ　ＳＷＩＳＳ社/ＤＣ　ＳＷＩＳＳ【155322】(7626843) スパイラルタップ　Ｎ４６０&minus;３　ＵＮＦ（Ｊ）１／２&minus;２０ 受注単位1：クローバー資材館,『カード対応OK！』■〒ＤＣ　ＳＷＩＳＳ社/ＤＣ　ＳＷＩＳＳ【155322】(7626843) スパイラルタップ　Ｎ４６０&minus;３　ＵＮＦ（Ｊ）１／２&minus;２０ 受注単位1,切削工具\ねじ切り工具\スパイラルタップ。『カード対応OK！』■〒ＤＣ　ＳＷＩＳＳ社/ＤＣ　ＳＷＩＳＳ【155322】(7626843) スパイラルタップ　Ｎ４６０&minus;３　ＵＮＦ（Ｊ）１／２&minus;２０ 受注単位1[rn]
