13-1,http://tshop.r10s.jp/xhome/cabinet/2013-disney/imgrc0065819157.jpg?fitin=700:700,400.0000,,花・ガーデン・DIY > ガーデニング・農業 > 植木鉢・プランター > 植木鉢,グラスキャンドルホルダー（アナ）,,,グラスキャンドルホルダー（アナ）：ガーデン資材はエクステルホームズ,表札ポスト飾り蛇口立水栓ロートアイアンサイン段差スロープガーデンテーブルマリンライトオーナメントドアベルソーラーライト胡蝶蘭祝い枕木水栓柱タイルディズニーくるみ工作ブリキプランターグラスキャンドルホルダー（アナ）,グラスキャンドルホルダー（アナ）[rn]
13-80,http://tshop.r10s.jp/dtc/cabinet/chuko_a/2131117222394.jpg?fitin=700:700,24640.0000,,パソコン・周辺機器 > パソコン > ノートPC,【中古】LenovoThinkPad X230 (2325-SSF)【Windows10】【中古ノートパソコン本体】【291-ud】,,<table width=100%><tr><td><font size=2>【商品グレード】∥★★★∥中古品∥●ハイビジョン時代の新基準、縦横比16:9のワイド液晶を搭載●家中どこでも場所を選ばず気軽に使える約1.34kgの軽量ボディ。外出先に持ち出す事も可能な軽さです●HTテクノロジー対応インテルCoreプロセッサー「Core i5 3320M」搭載●無線LAN内蔵なので、家中どこでもインターネットが可能です(ルーター等が必要です)<BR><BR>CPU:Core i5 3320M(2.6GHz)/メモリー:4GB/SSD:128GB/光学ドライブ:ドライブ別売/12.5インチワイドTFT液晶(1366x768/WXGA)/グラフィック:Intel HD Graphics 4000(CPU内蔵)/LAN(1000BASE-T)/無線LAN(IEEE802.11a/b/g/n)/Bluetooth4.0/Windows 10 Pro(64ビット) 再インストール済み/Officeソフト別売/重量約1340g(カタログ値)/2012年11月頃発売<BR><BR>【商品グレード】∥★★★∥中古品∥<BR>【外観状態】前面傷(小)、画面擦傷(中)、左右側面傷(小)。<BR>【欠品】[セットアップインストラクション]欠品。<BR>【付属品】[ACアダプター、バッテリパック、ACケーブル]が付属。<BR>【備考】[IBM再生中古PC用リカバリデータ(HDD内)]付き。<BR><BR>【ご注意事項】<BR>・こちらの商品は中古商品になります。<BR>・表示されている商品画像はイメージになります。実際の商品とは異なります。<BR>・万一初期不良等がありました場合はご返品のみのご対応となります。<BR>・中古商品に関しましてはメーカー保証、保証書は付属しておりません。<BR>・その他注意事項はPCサイトにてご確認ください。</font></td></tr></table>,【中古】LenovoThinkPad X230 (2325-SSF)【Windows10】【中古ノートパソコン本体】【291-ud】：ソフマップ楽天市場店,ソフマップSofmapパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古アウトレットiPadiPhone【中古】LenovoThinkPad X230 (2325-SSF)【Windows10】【中古ノートパソコン本体】【291-ud】,【中古】LenovoThinkPad X230 (2325-SSF)【Windows10】【中古ノートパソコン本体】【291-ud】[rn]
13-81,http://tshop.r10s.jp/dtc/cabinet/chuko_a/2131117222394.jpg?fitin=700:700,24640.0000,,パソコン・周辺機器 > パソコン > ノートPC,【中古】LenovoThinkPad X230 (2325-SSF)【Windows10】【中古ノートパソコン本体】【291-ud】,,<table width=100%><tr><td><font size=2>【商品グレード】∥★★★∥中古品∥●ハイビジョン時代の新基準、縦横比16:9のワイド液晶を搭載●家中どこでも場所を選ばず気軽に使える約1.34kgの軽量ボディ。外出先に持ち出す事も可能な軽さです●HTテクノロジー対応インテルCoreプロセッサー「Core i5 3320M」搭載●無線LAN内蔵なので、家中どこでもインターネットが可能です(ルーター等が必要です)<BR><BR>CPU:Core i5 3320M(2.6GHz)/メモリー:4GB/SSD:128GB/光学ドライブ:ドライブ別売/12.5インチワイドTFT液晶(1366x768/WXGA)/グラフィック:Intel HD Graphics 4000(CPU内蔵)/LAN(1000BASE-T)/無線LAN(IEEE802.11a/b/g/n)/Bluetooth4.0/Windows 10 Pro(64ビット) 再インストール済み/Officeソフト別売/重量約1340g(カタログ値)/2012年11月頃発売<BR><BR>【商品グレード】∥★★★∥中古品∥<BR>【外観状態】画面傷(中)、パームレスト傷(小)、キートップ一部文字欠。<BR>【欠品】[セットアップインストラクション]欠品。<BR>【付属品】[ACアダプター、バッテリパック、ACケーブル]が付属。<BR>【備考】[IBM再生中古PC用リカバリデータ(HDD内)]付き。<BR><BR>【ご注意事項】<BR>・こちらの商品は中古商品になります。<BR>・表示されている商品画像はイメージになります。実際の商品とは異なります。<BR>・万一初期不良等がありました場合はご返品のみのご対応となります。<BR>・中古商品に関しましてはメーカー保証、保証書は付属しておりません。<BR>・その他注意事項はPCサイトにてご確認ください。</font></td></tr></table>,【中古】LenovoThinkPad X230 (2325-SSF)【Windows10】【中古ノートパソコン本体】【291-ud】：ソフマップ楽天市場店,ソフマップSofmapパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古アウトレットiPadiPhone【中古】LenovoThinkPad X230 (2325-SSF)【Windows10】【中古ノートパソコン本体】【291-ud】,【中古】LenovoThinkPad X230 (2325-SSF)【Windows10】【中古ノートパソコン本体】【291-ud】[rn]
13-82,http://tshop.r10s.jp/dtc/cabinet/chuko_a/2131117222394.jpg?fitin=700:700,24640.0000,,パソコン・周辺機器 > パソコン > ノートPC,【中古】LenovoThinkPad X230 (2325-SSF)【Windows10】【中古ノートパソコン本体】【291-ud】,,<table width=100%><tr><td><font size=2>【商品グレード】∥★★★∥中古品∥●ハイビジョン時代の新基準、縦横比16:9のワイド液晶を搭載●家中どこでも場所を選ばず気軽に使える約1.34kgの軽量ボディ。外出先に持ち出す事も可能な軽さです●HTテクノロジー対応インテルCoreプロセッサー「Core i5 3320M」搭載●無線LAN内蔵なので、家中どこでもインターネットが可能です(ルーター等が必要です)<BR><BR>CPU:Core i5 3320M(2.6GHz)/メモリー:4GB/SSD:128GB/光学ドライブ:ドライブ別売/12.5インチワイドTFT液晶(1366x768/WXGA)/グラフィック:Intel HD Graphics 4000(CPU内蔵)/LAN(1000BASE-T)/無線LAN(IEEE802.11a/b/g/n)/Bluetooth4.0/Windows 10 Pro(64ビット) 再インストール済み/Officeソフト別売/重量約1340g(カタログ値)/2012年11月頃発売<BR><BR>【商品グレード】∥★★★∥中古品∥<BR>【外観状態】画面擦傷(中)、前面傷(小)、パームレスト擦傷。<BR>【欠品】[セットアップインストラクション]欠品。<BR>【付属品】[ACアダプター、バッテリパック、ACケーブル]が付属。<BR>【備考】[IBM再生中古PC用リカバリデータ(HDD内)]付き。<BR><BR>【ご注意事項】<BR>・こちらの商品は中古商品になります。<BR>・表示されている商品画像はイメージになります。実際の商品とは異なります。<BR>・万一初期不良等がありました場合はご返品のみのご対応となります。<BR>・中古商品に関しましてはメーカー保証、保証書は付属しておりません。<BR>・その他注意事項はPCサイトにてご確認ください。</font></td></tr></table>,【中古】LenovoThinkPad X230 (2325-SSF)【Windows10】【中古ノートパソコン本体】【291-ud】：ソフマップ楽天市場店,ソフマップSofmapパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古アウトレットiPadiPhone【中古】LenovoThinkPad X230 (2325-SSF)【Windows10】【中古ノートパソコン本体】【291-ud】,【中古】LenovoThinkPad X230 (2325-SSF)【Windows10】【中古ノートパソコン本体】【291-ud】[rn]
13-83,http://tshop.r10s.jp/dtc/cabinet/chuko_a/2131117222394.jpg?fitin=700:700,24640.0000,,パソコン・周辺機器 > パソコン > ノートPC,【中古】LenovoThinkPad X230 (2325-SSF)【Windows10】【中古ノートパソコン本体】【291-ud】,,<table width=100%><tr><td><font size=2>【商品グレード】∥★★★∥中古品∥●ハイビジョン時代の新基準、縦横比16:9のワイド液晶を搭載●家中どこでも場所を選ばず気軽に使える約1.34kgの軽量ボディ。外出先に持ち出す事も可能な軽さです●HTテクノロジー対応インテルCoreプロセッサー「Core i5 3320M」搭載●無線LAN内蔵なので、家中どこでもインターネットが可能です(ルーター等が必要です)<BR><BR>CPU:Core i5 3320M(2.6GHz)/メモリー:4GB/SSD:128GB/光学ドライブ:ドライブ別売/12.5インチワイドTFT液晶(1366x768/WXGA)/グラフィック:Intel HD Graphics 4000(CPU内蔵)/LAN(1000BASE-T)/無線LAN(IEEE802.11a/b/g/n)/Bluetooth4.0/Windows 10 Pro(64ビット) 再インストール済み/Officeソフト別売/重量約1340g(カタログ値)/2012年11月頃発売<BR><BR>【商品グレード】∥★★★∥中古品∥<BR>【外観状態】画面傷(中)、左側面傷(小)。<BR>【欠品】[セットアップインストラクション]欠品。<BR>【付属品】[ACアダプター、バッテリパック、ACケーブル]が付属。<BR>【備考】[IBM再生中古PC用リカバリデータ(HDD内)]付き。<BR><BR>【ご注意事項】<BR>・こちらの商品は中古商品になります。<BR>・表示されている商品画像はイメージになります。実際の商品とは異なります。<BR>・万一初期不良等がありました場合はご返品のみのご対応となります。<BR>・中古商品に関しましてはメーカー保証、保証書は付属しておりません。<BR>・その他注意事項はPCサイトにてご確認ください。</font></td></tr></table>,【中古】LenovoThinkPad X230 (2325-SSF)【Windows10】【中古ノートパソコン本体】【291-ud】：ソフマップ楽天市場店,ソフマップSofmapパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古アウトレットiPadiPhone【中古】LenovoThinkPad X230 (2325-SSF)【Windows10】【中古ノートパソコン本体】【291-ud】,【中古】LenovoThinkPad X230 (2325-SSF)【Windows10】【中古ノートパソコン本体】【291-ud】[rn]
13-84,http://tshop.r10s.jp/dtc/cabinet/chuko_c/2131117222394.jpg?fitin=700:700,24960.0000,,パソコン・周辺機器 > パソコン > ノートPC,【中古】LenovoThinkPad X230 (2325-SSF)【Windows10】【中古ノートパソコン本体】【291-ud】,,<table width=100%><tr><td><font size=2>【商品グレード】∥★★★∥中古品∥●ハイビジョン時代の新基準、縦横比16:9のワイド液晶を搭載●家中どこでも場所を選ばず気軽に使える約1.34kgの軽量ボディ。外出先に持ち出す事も可能な軽さです●HTテクノロジー対応インテルCoreプロセッサー「Core i5 3320M」搭載●無線LAN内蔵なので、家中どこでもインターネットが可能です(ルーター等が必要です)<BR><BR>CPU:Core i5 3320M(2.6GHz)/メモリー:4GB/SSD:128GB/光学ドライブ:ドライブ別売/12.5インチワイドTFT液晶(1366x768/WXGA)/グラフィック:Intel HD Graphics 4000(CPU内蔵)/LAN(1000BASE-T)/無線LAN(IEEE802.11a/b/g/n)/Bluetooth4.0/Windows 10 Pro(64ビット) 再インストール済み/Officeソフト別売/重量約1340g(カタログ値)/2012年11月頃発売<BR><BR>【商品グレード】∥★★★∥中古品∥<BR>【外観状態】画面傷(中)、右側面傷(中)、上ブタ擦傷(小)。<BR>【欠品】[セットアップインストラクション]欠品。<BR>【付属品】[ACアダプター、バッテリパック、ACケーブル]が付属。<BR>【備考】[IBM再生中古PC用リカバリデータ(HDD内)]付き。<BR><BR>【ご注意事項】<BR>・こちらの商品は中古商品になります。<BR>・表示されている商品画像はイメージになります。実際の商品とは異なります。<BR>・万一初期不良等がありました場合はご返品のみのご対応となります。<BR>・中古商品に関しましてはメーカー保証、保証書は付属しておりません。<BR>・その他注意事項はPCサイトにてご確認ください。</font></td></tr></table>,【中古】LenovoThinkPad X230 (2325-SSF)【Windows10】【中古ノートパソコン本体】【291-ud】：ソフマップ楽天市場店,ソフマップSofmapパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古アウトレットiPadiPhone【中古】LenovoThinkPad X230 (2325-SSF)【Windows10】【中古ノートパソコン本体】【291-ud】,【中古】LenovoThinkPad X230 (2325-SSF)【Windows10】【中古ノートパソコン本体】【291-ud】[rn]
13-85,http://tshop.r10s.jp/dtc/cabinet/chuko_e/2131117222394.jpg?fitin=700:700,30240.0000,,パソコン・周辺機器 > パソコン > ノートPC,【中古】LenovoThinkPad X230 (2325-SSF)【Windows10】【中古ノートパソコン本体】【291-ud】,,<table width=100%><tr><td><font size=2>【商品グレード】∥★★★∥中古品∥●家中どこでも場所を選ばず気軽に使える約1.34kgの軽量ボディ。外出先に持ち出す事も可能な軽さです●HTテクノロジー対応インテルCoreプロセッサー「Core i5 3320M」搭載●メモリ容量が大きいので動作が快適です●無線LAN内蔵なので、家中どこでもインターネットが可能です(ルーター等が必要です)●動作に必須な付属品は揃っています<BR><BR>CPU:Core i5 3320M(2.6GHz)/メモリー:16GB/SSD:128GB/光学ドライブ:ドライブ別売/12.5インチワイドTFT液晶(1366x768/WXGA)/グラフィック:Intel HD Graphics 4000(CPU内蔵)/LAN(1000BASE-T)/無線LAN(IEEE802.11a/b/g/n)/Bluetooth4.0/Windows 10 Home(64ビット) 再セットアップ済み/KINGSOFT Office 2016(新規添付)セット/重量約1340g(カタログ値)/2012年11月頃発売<BR><BR>【商品グレード】∥★★★∥中古品∥<BR>【外観状態】パームレストにシール跡有り、パームレスト・クリックボタンてかり有り、キーボードてかり有り、天板キズ有り、底面キズ有り。<BR>【欠品】[セットアップインストラクション]欠品。<BR>【付属品】[ACアダプター、バッテリパック、ACケーブル]が付属。<BR>【備考】[KINGSOFT Office 2016(新規添付)、再生PC専用リカバリデータ(HDD内)]付き。▲メモリ12GB増設(実装16GB)。液晶黄ばみ有り、KINGSOFT Office 2016(ワープロ・表計算・プレゼンテーション)付き、ソフマップ再生パソコン、新たにWindows10のOSを搭載しています。<BR><BR>【ご注意事項】<BR>・こちらの商品は中古商品になります。<BR>・表示されている商品画像はイメージになります。実際の商品とは異なります。<BR>・万一初期不良等がありました場合はご返品のみのご対応となります。<BR>・中古商品に関しましてはメーカー保証、保証書は付属しておりません。<BR>・その他注意事項はPCサイトにてご確認ください。</font></td></tr></table>,【中古】LenovoThinkPad X230 (2325-SSF)【Windows10】【中古ノートパソコン本体】【291-ud】：ソフマップ楽天市場店,ソフマップSofmapパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古アウトレットiPadiPhone【中古】LenovoThinkPad X230 (2325-SSF)【Windows10】【中古ノートパソコン本体】【291-ud】,【中古】LenovoThinkPad X230 (2325-SSF)【Windows10】【中古ノートパソコン本体】【291-ud】[rn]
13-86,http://tshop.r10s.jp/dtc/cabinet/chuko_a/2131117222394.jpg?fitin=700:700,24640.0000,,パソコン・周辺機器 > パソコン > ノートPC,【中古】LenovoThinkPad X230 (2325-SSF)【Windows10】【中古ノートパソコン本体】【291-ud】,,<table width=100%><tr><td><font size=2>【商品グレード】∥★★★∥中古品∥●ハイビジョン時代の新基準、縦横比16:9のワイド液晶を搭載●家中どこでも場所を選ばず気軽に使える約1.34kgの軽量ボディ。外出先に持ち出す事も可能な軽さです●HTテクノロジー対応インテルCoreプロセッサー「Core i5 3320M」搭載●無線LAN内蔵なので、家中どこでもインターネットが可能です(ルーター等が必要です)<BR><BR>CPU:Core i5 3320M(2.6GHz)/メモリー:4GB/SSD:128GB/光学ドライブ:ドライブ別売/12.5インチワイドTFT液晶(1366x768/WXGA)/グラフィック:Intel HD Graphics 4000(CPU内蔵)/LAN(1000BASE-T)/無線LAN(IEEE802.11a/b/g/n)/Bluetooth4.0/Windows 10 Pro(64ビット) 再インストール済み/Officeソフト別売/重量約1340g(カタログ値)/2012年11月頃発売<BR><BR>【商品グレード】∥★★★∥中古品∥<BR>【外観状態】上ブタムラ、画面傷(中)。<BR>【欠品】[セットアップインストラクション]欠品。<BR>【付属品】[ACアダプター、バッテリパック、ACケーブル]が付属。<BR>【備考】[IBM再生中古PC用リカバリデータ(HDD内)]付き。<BR><BR>【ご注意事項】<BR>・こちらの商品は中古商品になります。<BR>・表示されている商品画像はイメージになります。実際の商品とは異なります。<BR>・万一初期不良等がありました場合はご返品のみのご対応となります。<BR>・中古商品に関しましてはメーカー保証、保証書は付属しておりません。<BR>・その他注意事項はPCサイトにてご確認ください。</font></td></tr></table>,【中古】LenovoThinkPad X230 (2325-SSF)【Windows10】【中古ノートパソコン本体】【291-ud】：ソフマップ楽天市場店,ソフマップSofmapパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古アウトレットiPadiPhone【中古】LenovoThinkPad X230 (2325-SSF)【Windows10】【中古ノートパソコン本体】【291-ud】,【中古】LenovoThinkPad X230 (2325-SSF)【Windows10】【中古ノートパソコン本体】【291-ud】[rn]
13-87,http://tshop.r10s.jp/akiba-u-shop/cabinet/tyukopc/23257b6_01.jpg?fitin=700:700,21440.0000,,パソコン・周辺機器 > パソコン > ノートPC,【中古】【送料無料】 Lenovo ThinkPad X230 2325SSF [Core i5-3320M/4GB/128GB SSD/12.5型HD/無線LAN/Windows7 Pro 64bit],,"<table border=""1"" cellpadding=""2"" width=""535"">

<tr><th colspan=""2"" align=""left"">
ThinkPad X230 2325-SSF
</th></tr>


<tr><td width=""115"" valign=""top"">
OS
</td><td valign=""top"">
Windows 7 Pro 64bit SP1

</td></tr>

<tr><td valign=""top"">
プロセッサ
</td><td valign=""top"">
Core i5-3320M 2.60GHz
</td></tr>

<tr><td valign=""top"">
メモリ
</td><td valign=""top"">
4GB PC3-12800 (空き0)
</td></tr>

<tr><td valign=""top"">
ストレージ
</td><td valign=""top"">
128GB SSD
</td></tr>

<tr><td valign=""top"">
光学ドライブ
</td><td valign=""top"">
なし
</td></tr>

<tr><td valign=""top"">
グラフィック<br>
ディスプレイ
</td><td valign=""top"">
CPU内蔵(インテル HD グラフィックス 4000)<br>
12.5型 HD 液晶 (1366x768)
</td></tr>

<tr><td valign=""top"">
オーディオ
</td><td valign=""top"">
インテルHDオーディオ<br>
モノラルマイク、モノラルスピーカー
</td></tr>

<tr><td valign=""top"">
内蔵カメラ
</td><td valign=""top"">
内蔵
</td></tr>

<tr><td valign=""top"">
通信機能
</td><td valign=""top"">
1000BASE-T/100BASE-TX/10BASE-T LAN<br>
IEEE802.11a/b/g/ｎ対応 無線LAN
</td></tr>

<tr><td valign=""top"">
キーボード
</td><td valign=""top"">
日本語89キー
</td></tr>

<tr><td valign=""top"">
インターフェース
</td><td valign=""top"">
USB3.0 x2、USB2.0 x1<br>
SDカードスロット<br>
VGA x1、mini DisplayPort x1<br>
マイクロ/ヘッドホンコンボジャック x1<br>
RJ45x1
</td></tr>

<tr><td valign=""top"">
本体寸法<br>本体質量
</td><td valign=""top"">
約 W305 x D206.5 x H19-33.6 mm<br>
約 1.34kg (バッテリ含む)
</td></tr>

<tr><td valign=""top"">
Officeソフト
</td><td valign=""top"">
なし
</td></tr>

<tr><td valign=""top"">
付属品
</td><td valign=""top"">
ACアダプター、電源コード、バッテリーパック
</td></tr>

<tr><td valign=""top"">商品状態</td><td valign=""top"">
・<font color=""red""><b>Windows7 Proリカバリ済み</b></font><br>
・ハードディスクリカバリ方式の為、ディスク等の付属はありません<br>
・再セットアップディスク作成済みのため再作成ができません<br>
・その他中古品のため、汚れ、スリキズ等があります

</td></tr></table>",【中古】【送料無料】 Lenovo ThinkPad X230 2325SSF [Core i5-3320M/4GB/128GB SSD/12.5型HD/無線LAN/Windows7 Pro 64bit]：あきばU-SHOP　楽天市場店,中古パソコンデジカメ液晶秋葉原iPodWalkmanWindowsNikonLenovo東芝ウォークマンNEC富士通iPadiPhoneOffice【中古】【送料無料】 Lenovo ThinkPad X230 2325SSF [Core i5-3320M/4GB/128GB SSD/12.5型HD/無線LAN/Windows7 Pro 64bit],【中古】【送料無料】 Lenovo ThinkPad X230 2325SSF [Core i5-3320M/4GB/128GB SSD/12.5型HD/無線LAN/Windows7 Pro 64bit][rn]
13-88,http://tshop.r10s.jp/akiba-u-shop/cabinet/tyukopc/23257b6_01.jpg?fitin=700:700,21440.0000,,パソコン・周辺機器 > パソコン > ノートPC,【中古】【送料無料】 Lenovo ThinkPad X230 2325SSF [Core i5-3320M/4GB/128GB SSD/12.5型HD/無線LAN/Windows7 Pro 64bit],,"<table border=""1"" cellpadding=""2"">

<tr><th colspan=""2"" align=""left"">
ThinkPad X230 2325-SSF
</th></tr>


<tr><td width=""115"" valign=""top"">
OS
</td><td valign=""top"">
Windows 7 Pro 64bit SP1

</td></tr>

<tr><td valign=""top"">
プロセッサ
</td><td valign=""top"">
Core i5-3320M 2.60GHz
</td></tr>

<tr><td valign=""top"">
メモリ
</td><td valign=""top"">
4GB PC3-12800 (空き0)
</td></tr>

<tr><td valign=""top"">
ストレージ
</td><td valign=""top"">
128GB SSD
</td></tr>

<tr><td valign=""top"">
光学ドライブ
</td><td valign=""top"">
なし
</td></tr>

<tr><td valign=""top"">
グラフィック<br>
ディスプレイ
</td><td valign=""top"">
CPU内蔵(インテル HD グラフィックス 4000)<br>
12.5型 HD 液晶 (1366x768)
</td></tr>

<tr><td valign=""top"">
オーディオ
</td><td valign=""top"">
インテルHDオーディオ<br>
モノラルマイク、モノラルスピーカー
</td></tr>

<tr><td valign=""top"">
内蔵カメラ
</td><td valign=""top"">
内蔵
</td></tr>

<tr><td valign=""top"">
通信機能
</td><td valign=""top"">
1000BASE-T/100BASE-TX/10BASE-T LAN<br>
IEEE802.11a/b/g/ｎ対応 無線LAN
</td></tr>

<tr><td valign=""top"">
キーボード
</td><td valign=""top"">
日本語89キー
</td></tr>

<tr><td valign=""top"">
インターフェース
</td><td valign=""top"">
USB3.0 x2、USB2.0 x1<br>
SDカードスロット<br>
VGA x1、mini DisplayPort x1<br>
マイクロ/ヘッドホンコンボジャック x1<br>
RJ45x1
</td></tr>

<tr><td valign=""top"">
本体寸法<br>本体質量
</td><td valign=""top"">
約 W305 x D206.5 x H19-33.6 mm<br>
約 1.34kg (バッテリ含む)
</td></tr>

<tr><td valign=""top"">
Officeソフト
</td><td valign=""top"">
なし
</td></tr>

<tr><td valign=""top"">
付属品
</td><td valign=""top"">
ACアダプター、電源コード、バッテリーパック
</td></tr>

<tr><td valign=""top"">商品状態</td><td valign=""top"">
・<font color=""red""><b>Windows7 Proリカバリ済み</b></font><br>
・ハードディスクリカバリ方式の為、ディスク等の付属はありません<br>
・再セットアップディスク作成済みのため再作成ができません<br>
・その他中古品のため、汚れ、スリキズ等があります

</td></tr></table>",【中古】【送料無料】 Lenovo ThinkPad X230 2325SSF [Core i5-3320M/4GB/128GB SSD/12.5型HD/無線LAN/Windows7 Pro 64bit]：あきばU-SHOP　楽天市場店,中古パソコンデジカメ液晶秋葉原iPodWalkmanWindowsNikonLenovo東芝ウォークマンNEC富士通iPadiPhoneOffice【中古】【送料無料】 Lenovo ThinkPad X230 2325SSF [Core i5-3320M/4GB/128GB SSD/12.5型HD/無線LAN/Windows7 Pro 64bit],【中古】【送料無料】 Lenovo ThinkPad X230 2325SSF [Core i5-3320M/4GB/128GB SSD/12.5型HD/無線LAN/Windows7 Pro 64bit][rn]
13-89,http://tshop.r10s.jp/akiba-u-shop/cabinet/tyukopc/23257b6_01.jpg?fitin=700:700,21440.0000,,パソコン・周辺機器 > パソコン > ノートPC,【中古】【送料無料】 Lenovo ThinkPad X230 2325SSF [Core i5-3320M/4GB/128GB SSD/12.5型HD/無線LAN/Windows7 Pro 64bit],,"<table border=""1"" cellpadding=""2"" width=""535"">

<tr><th colspan=""2"" align=""left"">
ThinkPad X230 2325-SSF
</th></tr>


<tr><td width=""115"" valign=""top"">
OS
</td><td valign=""top"">
Windows 7 Pro 64bit SP1

</td></tr>

<tr><td valign=""top"">
プロセッサ
</td><td valign=""top"">
Core i5-3320M 2.60GHz
</td></tr>

<tr><td valign=""top"">
メモリ
</td><td valign=""top"">
4GB PC3-12800 (空き0)
</td></tr>

<tr><td valign=""top"">
ストレージ
</td><td valign=""top"">
128GB SSD
</td></tr>

<tr><td valign=""top"">
光学ドライブ
</td><td valign=""top"">
なし
</td></tr>

<tr><td valign=""top"">
グラフィック<br>
ディスプレイ
</td><td valign=""top"">
CPU内蔵(インテル HD グラフィックス 4000)<br>
12.5型 HD 液晶 (1366x768)
</td></tr>

<tr><td valign=""top"">
オーディオ
</td><td valign=""top"">
インテルHDオーディオ<br>
モノラルマイク、モノラルスピーカー
</td></tr>

<tr><td valign=""top"">
内蔵カメラ
</td><td valign=""top"">
内蔵
</td></tr>

<tr><td valign=""top"">
通信機能
</td><td valign=""top"">
1000BASE-T/100BASE-TX/10BASE-T LAN<br>
IEEE802.11a/b/g/ｎ対応 無線LAN
</td></tr>

<tr><td valign=""top"">
キーボード
</td><td valign=""top"">
日本語89キー
</td></tr>

<tr><td valign=""top"">
インターフェース
</td><td valign=""top"">
USB3.0 x2、USB2.0 x1<br>
SDカードスロット<br>
VGA x1、mini DisplayPort x1<br>
マイクロ/ヘッドホンコンボジャック x1<br>
RJ45x1
</td></tr>

<tr><td valign=""top"">
本体寸法<br>本体質量
</td><td valign=""top"">
約 W305 x D206.5 x H19-33.6 mm<br>
約 1.34kg (バッテリ含む)
</td></tr>

<tr><td valign=""top"">
Officeソフト
</td><td valign=""top"">
なし
</td></tr>

<tr><td valign=""top"">
付属品
</td><td valign=""top"">
ACアダプター、電源コード、バッテリーパック
</td></tr>

<tr><td valign=""top"">商品状態</td><td valign=""top"">
・<font color=""red""><b>Windows7 Proリカバリ済み</b></font><br>
・ハードディスクリカバリ方式の為、ディスク等の付属はありません<br>
・再セットアップディスク作成済みのため再作成ができません<br>
・その他中古品のため、汚れ、スリキズ等があります

</td></tr></table>",【中古】【送料無料】 Lenovo ThinkPad X230 2325SSF [Core i5-3320M/4GB/128GB SSD/12.5型HD/無線LAN/Windows7 Pro 64bit]：あきばU-SHOP　楽天市場店,中古パソコンデジカメ液晶秋葉原iPodWalkmanWindowsNikonLenovo東芝ウォークマンNEC富士通iPadiPhoneOffice【中古】【送料無料】 Lenovo ThinkPad X230 2325SSF [Core i5-3320M/4GB/128GB SSD/12.5型HD/無線LAN/Windows7 Pro 64bit],【中古】【送料無料】 Lenovo ThinkPad X230 2325SSF [Core i5-3320M/4GB/128GB SSD/12.5型HD/無線LAN/Windows7 Pro 64bit][rn]
