13-7101,,69097.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒明大（株）/ロックスリング【BM4-18】(4338227)マスク形ベルトモッコ １８００×１８００ （シートなし） 受注単位1,工事用品\吊りクランプ・スリング・荷締機\モッコ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●繊維製のベルトモッコなので建築、土木での荷役作業が安全に行えます。<br>●繊維製なので、癖もつかず、収納も楽に行えます。<br>●最大使用荷重(t):1<br>●吊手長さ(mm):2000<br>●幅(mm):1800<br>●長さ(mm):1800<br>●網目(mm):150<br>●質量(kg):5.5<br>●ベルト幅:50mm<br>●ポリエステル100％<br>",『カード対応OK！』■〒明大（株）/ロックスリング【BM4-18】(4338227)マスク形ベルトモッコ １８００&times;１８００ （シートなし） 受注単位1：クローバー資材館,『カード対応OK！』■〒明大（株）/ロックスリング【BM4-18】(4338227)マスク形ベルトモッコ １８００&times;１８００ （シートなし） 受注単位1,工事用品\吊りクランプ・スリング・荷締機\モッコ。『カード対応OK！』■〒明大（株）/ロックスリング【BM4-18】(4338227)マスク形ベルトモッコ １８００&times;１８００ （シートなし） 受注単位1[rn]
13-7144,,47076.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』##∀■〒ピカコーポレイション/ピカ【DXL-TE150AL】(7731001) 連結式大型作業台　手すりＬ型 受注単位1,工事用品\はしご・脚立\単管・足場用品,"<br><font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font>
<br><br><font size=""4"" color=""""><b>※こちらの商品は規定外の為別途送料がかかります。詳しくはお問い合わせください。

</b></font><br>
※追加送料は別途当店からのメールで訂正されます。<br><br>
<br><br>●オプションをセットすることにより、昇降を助け、作業の安全性をより高めます。<br><br><br>●質量（ｋｇ）：12.1<br>●適合機種：DXL-150<br><br><br>●アルミ<br>",『カード対応OK！』##&forall;■〒ピカコーポレイション/ピカ【DXL-TE150AL】(7731001) 連結式大型作業台　手すりＬ型 受注単位1：クローバー資材館,『カード対応OK！』##&forall;■〒ピカコーポレイション/ピカ【DXL-TE150AL】(7731001) 連結式大型作業台　手すりＬ型 受注単位1,工事用品\はしご・脚立\単管・足場用品。『カード対応OK！』##&forall;■〒ピカコーポレイション/ピカ【DXL-TE150AL】(7731001) 連結式大型作業台　手すりＬ型 受注単位1[rn]
13-7145,,4752.0000,,花・ガーデン・DIY > DIY・工具 > その他,###■〒アルインコ住宅機器事業部/アルインコ 梯子【MS90FX】(7875282) アルインコ 専用脚立 0．81ｍ 最大使用質量100ｋｇ 発注単位1,工事用品\はしご・脚立,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font><br>
<br><font size=""4"" color=""""><b>※こちらの商品は送料が別途発生する場合があります。詳しくはお問い合わせください。</b></font><br>
※追加送料は別途当店からのメールで訂正されます。<br><br><br>
●軽さと収納性を追求した超軽量専用脚立です。<br>
●狭い場所でも保管しやすい薄型収納タイプです。<br>
●最大使用質量(kg):100<br>
●天板高さ(m):0.82<br>
●天板寸法(mm):308×95<br>
●収納時全長(m):0.87<br>
●踏ざん踏面幅:40mm<br>
●製品安全協会（ＳＧマーク）認定品<br>
●Aマーク認定品<br>
●折りたたみ時厚み:126mm<br>
●アルミ",###■〒アルインコ住宅機器事業部/アルインコ 梯子【MS90FX】(7875282) アルインコ 専用脚立 0．81ｍ 最大使用質量100ｋｇ 発注単位1：クローバー資材館,###■〒アルインコ住宅機器事業部/アルインコ 梯子【MS90FX】(7875282) アルインコ 専用脚立 0．81ｍ 最大使用質量100ｋｇ 発注単位1,工事用品\はしご・脚立。###■〒アルインコ住宅機器事業部/アルインコ 梯子【MS90FX】(7875282) アルインコ 専用脚立 0．81ｍ 最大使用質量100ｋｇ 発注単位1[rn]
13-7146,,48195.2000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ピカコーポレイション/ピカ 踏み台Ｋ【ZG-TE7A11H】(8184725) ピカ 作業台用手すりＺＧ－ＴＥ型 天場三方手すり 5段用 発注単位1,工事用品\はしご・脚立,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●手すり高さ1100mmタイプです。<br>
●手すり高さ(mm):1100<br>
●タイプ:天場三方手すり<br>
●適合機種:ZG-510125<br>
●手すり高さ（mm）:1100<br>
●アルミ合金<br>
●踏み台は別売です。",■〒ピカコーポレイション/ピカ 踏み台Ｋ【ZG-TE7A11H】(8184725) ピカ 作業台用手すりＺＧ&minus;ＴＥ型 天場三方手すり 5段用 発注単位1：クローバー資材館,■〒ピカコーポレイション/ピカ 踏み台Ｋ【ZG-TE7A11H】(8184725) ピカ 作業台用手すりＺＧ&minus;ＴＥ型 天場三方手すり 5段用 発注単位1,工事用品\はしご・脚立。■〒ピカコーポレイション/ピカ 踏み台Ｋ【ZG-TE7A11H】(8184725) ピカ 作業台用手すりＺＧ&minus;ＴＥ型 天場三方手すり 5段用 発注単位1[rn]
13-7147,,17712.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒アルインコ住宅機器事業部/アルインコ 脚立【PRW210FX】(8202638) アルインコ 伸縮脚立(ステップ幅広)210ｃｍ 最大使用質量100ｋｇ 発注単位1,工事用品\はしご・脚立,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●60mmの幅広踏ざんを採用し、昇降しやすく安定感のあるアルミ製脚立です。<br>
●伸縮操作のしやすいワンタッチレバーを採用しています。<br>
●自在脚の端具に取り替え可能です。<br>
●現場工事やメンテナンスなどの昇降作業に最適。<br>
●最大使用質量(kg):100<br>
●天板高さ(m):1.88～2.18<br>
●はしご全長(m):3.98～4.62<br>
●天板寸法(mm):251×160<br>
●収納時寸法(mm)全幅×奥行×高さ:660×169×2007<br>
●踏ざん踏面幅(mm):60<br>
●設置寸法(mm):660～715×1327～1513<br>
●脚部最大伸縮幅(mm):300<br>
●脚部伸縮ピッチ(mm):6<br>
●Ａマーク認定品:認定品<br>
●有効高さ(mm):1580～1880<br>
●踏ざん踏面幅:60mm<br>
●脚部伸縮ピッチ:6mm<br>
●脚部最大伸縮幅:303mm<br>
●Aマーク認定品（PRW210FXは除く）<br>
●最大伸縮幅(各脚):３０３ｍｍ<br>
●ステップ数(天板除く):6<br>
●アルミ",■〒アルインコ住宅機器事業部/アルインコ 脚立【PRW210FX】(8202638) アルインコ 伸縮脚立(ステップ幅広)210ｃｍ 最大使用質量100ｋｇ 発注単位1：クローバー資材館,■〒アルインコ住宅機器事業部/アルインコ 脚立【PRW210FX】(8202638) アルインコ 伸縮脚立(ステップ幅広)210ｃｍ 最大使用質量100ｋｇ 発注単位1,工事用品\はしご・脚立。■〒アルインコ住宅機器事業部/アルインコ 脚立【PRW210FX】(8202638) アルインコ 伸縮脚立(ステップ幅広)210ｃｍ 最大使用質量100ｋｇ 発注単位1[rn]
13-7148,,33900.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TSF-257SC1A】(7708874) 踏台２段　スプリングキャスター１Ａ 受注単位1,工事用品\はしご・脚立\作業用踏台,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●底面にも筋交いが入っており、安定感に優れています。<br>●オールアルマイト仕上げです。<br>●滑り止めキャップはスクリベットで取り付けていますのでプラスドライバーでの交換が可能なアルミ製作業用踏台です。<br><br>●工場、倉庫内での作業に。<br><br>●最大使用質量(kg)：150<br>●天板高さ(m)：0.7<br>●天板寸法(mm)：500×400<br>●設置寸法(mm)間口×奥行：520×629<br>●段数：2<br>●質量(kg)：8.6<br>●タイプ：踏台２段＋スプリングキャスター<br><br>●組立式<br>●踏ざん踏面幅：200mm<br>●アルマイト仕上<br><br>●アルミ<br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TSF-257SC1A】(7708874) 踏台２段　スプリングキャスター１Ａ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TSF-257SC1A】(7708874) 踏台２段　スプリングキャスター１Ａ 受注単位1,工事用品\はしご・脚立\作業用踏台。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TSF-257SC1A】(7708874) 踏台２段　スプリングキャスター１Ａ 受注単位1[rn]
13-7149,,1188000.0000,,花・ガーデン・DIY > DIY・工具 > その他,‡‡‡■〒アルインコ住宅機器事業部/アルインコ 梯子【LS-46V】(8184609) アルインコ 高所作業台のぼる君ＬＳシリーズ 発注単位1,工事用品\はしご・脚立,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font><br>
<br><font size=""4"" color=""""><b>※こちらの商品は規定外の為別途送料がかかります。詳しくはお問い合わせください。</b></font>
<br>※追加送料は別途当店からのメールで訂正されます。<br><br><br>
●エレベーターにも入る軽量タイプで運搬、移動作業が簡単です。<br>
●ステージが上昇するとアウトリガーが自動で固定（アウトリガー張り出しは手動式）する転倒防止機能付です。<br>
●満充電として約５０回昇降が可能です。<br>
●コンパクト型油圧式電動リフトです。<br>
●最大使用質量(kg):150<br>
●最大作業床高さ(m):4.6<br>
●設置寸法(mm):1310×1410<br>
●作業床寸法(mm):750×1400<br>
●電源:DC12V－65Ａｈ<br>
●充電時間:最大１２時間<br>
●作業台昇降時間（定格荷重時）:上昇３０秒/下降２５秒（±５秒）<br>
●作業台寸法:1.4×0.75m<br>
●手すり高さ:925mm<br>
●鋼製、ドブメッキ仕様（一部ユニクロ）<br>
●運賃別途見積",&Dagger;&Dagger;&Dagger;■〒アルインコ住宅機器事業部/アルインコ 梯子【LS-46V】(8184609) アルインコ 高所作業台のぼる君ＬＳシリーズ 発注単位1：クローバー資材館,&Dagger;&Dagger;&Dagger;■〒アルインコ住宅機器事業部/アルインコ 梯子【LS-46V】(8184609) アルインコ 高所作業台のぼる君ＬＳシリーズ 発注単位1,工事用品\はしご・脚立。&Dagger;&Dagger;&Dagger;■〒アルインコ住宅機器事業部/アルインコ 梯子【LS-46V】(8184609) アルインコ 高所作業台のぼる君ＬＳシリーズ 発注単位1[rn]
13-7150,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002812096.jpg?fitin=700:700,1348.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒大平金属工業/アルインコ　単管用パイプジョイント　水平調整用金具【HKS1A】(3081001) 受注単位1,工事用品\はしご・脚立\足場板,"<br><font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●市販されている単管パイプ（外径48.6mm）をつなぐ、ジョイント金具です。<br>●フェンス・テーブル・作業台・小屋・ビニールハウスなどの骨組みとして最適です。",『カード対応OK！』■〒大平金属工業/アルインコ　単管用パイプジョイント　水平調整用金具【HKS1A】(3081001) 受注単位1：クローバー資材館,『カード対応OK！』■〒大平金属工業/アルインコ　単管用パイプジョイント　水平調整用金具【HKS1A】(3081001) 受注単位1,工事用品\はしご・脚立\足場板。『カード対応OK！』■〒大平金属工業/アルインコ　単管用パイプジョイント　水平調整用金具【HKS1A】(3081001) 受注単位1[rn]
13-7151,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002829490.jpg?fitin=700:700,24052.0000,,花・ガーデン・DIY > DIY・工具 > その他,∀『カード対応OK！』■〒エレポン化工機/エレポン化工機　シ－ルレスポンプ【SL-5SN】() 受注単位1,工事用品\ポンプ\ダイヤフラムポンプ,"<font size=""4"" color=""#0033ff""><b>※こちらの商品は配送地域によって送料が別途発生する場合があります。詳しくはお問い合わせください。</b></font><br><font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●マグネットドライブ方式により、液漏れしません。<br>●脱着やメンテナンスが簡単なシンプル構造です。<br>●インペラーとインナーマグネットを特殊工法で一体化し、小型で高性能です。",&forall;『カード対応OK！』■〒エレポン化工機/エレポン化工機　シ&minus;ルレスポンプ【SL-5SN】() 受注単位1：クローバー資材館,&forall;『カード対応OK！』■〒エレポン化工機/エレポン化工機　シ&minus;ルレスポンプ【SL-5SN】() 受注単位1,工事用品\ポンプ\ダイヤフラムポンプ。&forall;『カード対応OK！』■〒エレポン化工機/エレポン化工機　シ&minus;ルレスポンプ【SL-5SN】() 受注単位1[rn]
13-7152,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002867476.jpg?fitin=700:700,16384.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒亀嶋鐵工所/ＮＫ　ギヤポンプ　普通単車型　モーター無し【KA-06】(1073966) 受注単位1,工事用品\ポンプ\給油ポンプ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●全型式にギアは当社独自のインボリュート歯型を採用します。<br>●各口径共、軸受には燐青銅含油メタルを採用のため、スムーズな回転、耐久力に優れます。<br>●ポンプ本体のみです。（プーリーはついていません）",『カード対応OK！』■〒亀嶋鐵工所/ＮＫ　ギヤポンプ　普通単車型　モーター無し【KA-06】(1073966) 受注単位1：クローバー資材館,『カード対応OK！』■〒亀嶋鐵工所/ＮＫ　ギヤポンプ　普通単車型　モーター無し【KA-06】(1073966) 受注単位1,工事用品\ポンプ\給油ポンプ。『カード対応OK！』■〒亀嶋鐵工所/ＮＫ　ギヤポンプ　普通単車型　モーター無し【KA-06】(1073966) 受注単位1[rn]
13-7153,,1604.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ＴＪＭデザイン/タジマ 測量品【BX3-D30】(8134443) タジマ ボックスレベルデラックス300mm 発注単位1,工事用品\測量用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●1/50、1/100勾配が見れる高感度水平気泡管仕様です。<br>
●目立つイエローフレームを使用しています。<br>
●水平・垂直・45°の測定に。<br>
●長さ(mm):300<br>
●高さ(mm):49<br>
●厚み(mm):19<br>
●マグネット:なし<br>
●精度：±1.00ｍｍ/1ｍ＝0.057°以内（水平）、±1.25mm/1m=0.072°以内（垂直・45°）<br>
●気泡管:水平・垂直・45度<br>
●エラストマー製サイドプロテクター付<br>
●蓄光シート<br>
●本体:アルミ<br>
●気泡管:アクリル<br>
●万が一気泡管の破損等による液漏れで身体に液が付着した場合は直ちに清浄な水で洗い流して下さい。目に入った場合は眼科医の手当てを受けて下さい。",■〒ＴＪＭデザイン/タジマ 測量品【BX3-D30】(8134443) タジマ ボックスレベルデラックス300mm 発注単位1：クローバー資材館,■〒ＴＪＭデザイン/タジマ 測量品【BX3-D30】(8134443) タジマ ボックスレベルデラックス300mm 発注単位1,工事用品\測量用品。■〒ＴＪＭデザイン/タジマ 測量品【BX3-D30】(8134443) タジマ ボックスレベルデラックス300mm 発注単位1[rn]
13-7154,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002659961.jpg?fitin=700:700,1308.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒イノック/イノック　ソケットストレート【304S50A】(1755714) 受注単位1,工事用品\管工機材\ねじ込み管継手,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>",『カード対応OK！』■〒イノック/イノック　ソケットストレート【304S50A】(1755714) 受注単位1：クローバー資材館,『カード対応OK！』■〒イノック/イノック　ソケットストレート【304S50A】(1755714) 受注単位1,工事用品\管工機材\ねじ込み管継手。『カード対応OK！』■〒イノック/イノック　ソケットストレート【304S50A】(1755714) 受注単位1[rn]
13-7155,,10477.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒キッツ/キッツ　ゲートバルブ（１０Ｋ）【UEL-25A  (UEL-1)】(1637363) 受注単位1,工事用品\管工機材\バルブ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>",『カード対応OK！』■〒キッツ/キッツ　ゲートバルブ（１０Ｋ）【UEL-25A  (UEL-1)】(1637363) 受注単位1：クローバー資材館,『カード対応OK！』■〒キッツ/キッツ　ゲートバルブ（１０Ｋ）【UEL-25A  (UEL-1)】(1637363) 受注単位1,工事用品\管工機材\バルブ。『カード対応OK！』■〒キッツ/キッツ　ゲートバルブ（１０Ｋ）【UEL-25A  (UEL-1)】(1637363) 受注単位1[rn]
13-7156,,210.4000,,花・ガーデン・DIY > DIY・工具 > その他,■〒トラスコ中山/ＴＲＵＳＣＯ 継手【TS-20A】(8191442) ＴＲＵＳＣＯ ねじ込み管継手 ＳＵＳ ストレートソケット 20Ａ 発注単位1,工事用品\管工機材,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●様々な設備に利用されるステンレス製のねじ込み継手です。<br>
●水・油・ガス用。<br>
●呼び径(A):20<br>
●呼び径(B):3/4<br>
●最高許容圧力(MPa):常温1.0<br>
●使用温度範囲(℃):-20～220℃<br>
●L(mm):35<br>
●D(mm):30.4<br>
●最高使用圧力:常温1.0MPa<br>
●使用温度範囲:-20℃～220℃<br>
●ステンレス304",■〒トラスコ中山/ＴＲＵＳＣＯ 継手【TS-20A】(8191442) ＴＲＵＳＣＯ ねじ込み管継手 ＳＵＳ ストレートソケット 20Ａ 発注単位1：クローバー資材館,■〒トラスコ中山/ＴＲＵＳＣＯ 継手【TS-20A】(8191442) ＴＲＵＳＣＯ ねじ込み管継手 ＳＵＳ ストレートソケット 20Ａ 発注単位1,工事用品\管工機材。■〒トラスコ中山/ＴＲＵＳＣＯ 継手【TS-20A】(8191442) ＴＲＵＳＣＯ ねじ込み管継手 ＳＵＳ ストレートソケット 20Ａ 発注単位1[rn]
13-7157,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005436662.jpg?fitin=700:700,37832.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒パナソニックエコソリューショ/Ｐａｎａｓｏｎｉｃ　墨出し名人ケータイ壁十文字【BTL1100G  (ｸﾞﾘｰﾝ)】(4198328) 受注単位1,工事用品\測量用品\レーザー墨出器,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●小型軽量です。<br>●耐衝撃が向上しました。<br>●壁一文字（鉛直タイプ）です。",『カード対応OK！』■〒パナソニックエコソリューショ/Ｐａｎａｓｏｎｉｃ　墨出し名人ケータイ壁十文字【BTL1100G  (ｸﾞﾘｰﾝ)】(4198328) 受注単位1：クローバー資材館,『カード対応OK！』■〒パナソニックエコソリューショ/Ｐａｎａｓｏｎｉｃ　墨出し名人ケータイ壁十文字【BTL1100G  (ｸﾞﾘｰﾝ)】(4198328) 受注単位1,工事用品\測量用品\レーザー墨出器。『カード対応OK！』■〒パナソニックエコソリューショ/Ｐａｎａｓｏｎｉｃ　墨出し名人ケータイ壁十文字【BTL1100G  (ｸﾞﾘｰﾝ)】(4198328) 受注単位1[rn]
13-7158,,1191.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日立金属/日立　径違いチーズ【RT-40AX25A  (RT-1 1/2X1  40)】(1633031) 受注単位1,工事用品\管工機材\ねじ込み管継手,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●粘り強く強靭さが特徴な「マレブル」製の継手です。<br>●表面処理は環境負荷を軽減した「優めっき」（RoHS対応）を採用しています。",『カード対応OK！』■〒日立金属/日立　径違いチーズ【RT-40AX25A  (RT-1 1/2X1  40)】(1633031) 受注単位1：クローバー資材館,『カード対応OK！』■〒日立金属/日立　径違いチーズ【RT-40AX25A  (RT-1 1/2X1  40)】(1633031) 受注単位1,工事用品\管工機材\ねじ込み管継手。『カード対応OK！』■〒日立金属/日立　径違いチーズ【RT-40AX25A  (RT-1 1/2X1  40)】(1633031) 受注単位1[rn]
13-7159,,6452.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒キッツ/キッツ　グローブ（１０Ｋ）【UJ-10A  (UJ-3/8)】(1637207) 受注単位1,工事用品\管工機材\バルブ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>",『カード対応OK！』■〒キッツ/キッツ　グローブ（１０Ｋ）【UJ-10A  (UJ-3/8)】(1637207) 受注単位1：クローバー資材館,『カード対応OK！』■〒キッツ/キッツ　グローブ（１０Ｋ）【UJ-10A  (UJ-3/8)】(1637207) 受注単位1,工事用品\管工機材\バルブ。『カード対応OK！』■〒キッツ/キッツ　グローブ（１０Ｋ）【UJ-10A  (UJ-3/8)】(1637207) 受注単位1[rn]
13-7160,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002969695.jpg?fitin=700:700,212.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒フジトク/フジトク　コネクター【GC-6X1/4B】(2518503) 受注単位1,工事用品\管工機材\小径配管継手,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●リング状スリーブのカッティングエッジが管に食い込み（管の保持）、湾曲部は強力なばね作用で圧着（シール性能を維持）し、ナットの緩みを防止します。",『カード対応OK！』■〒フジトク/フジトク　コネクター【GC-6X1/4B】(2518503) 受注単位1：クローバー資材館,『カード対応OK！』■〒フジトク/フジトク　コネクター【GC-6X1/4B】(2518503) 受注単位1,工事用品\管工機材\小径配管継手。『カード対応OK！』■〒フジトク/フジトク　コネクター【GC-6X1/4B】(2518503) 受注単位1[rn]
13-7161,,145.6000,,花・ガーデン・DIY > DIY・工具 > その他,■〒インダストリーコーワ/ＫＯＷＡ 塗装用品【11193】(8065775) ＫＯＷＡ 竹バケ 黒毛 9mm 発注単位1,工事用品\塗装・内装用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●細部や隅の塗装に便利です。<br>
●短柄タイプです。<br>
●油性塗料用。<br>
●刷毛幅(mm):9<br>
●毛丈(mm):30<br>
●玉厚(mm):7<br>
●全長(mm):220<br>
●山羊毛･豚毛<br>
●柄：竹",■〒インダストリーコーワ/ＫＯＷＡ 塗装用品【11193】(8065775) ＫＯＷＡ 竹バケ 黒毛 9mm 発注単位1：クローバー資材館,■〒インダストリーコーワ/ＫＯＷＡ 塗装用品【11193】(8065775) ＫＯＷＡ 竹バケ 黒毛 9mm 発注単位1,工事用品\塗装・内装用品。■〒インダストリーコーワ/ＫＯＷＡ 塗装用品【11193】(8065775) ＫＯＷＡ 竹バケ 黒毛 9mm 発注単位1[rn]
13-7162,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005436346.jpg?fitin=700:700,3608.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒パナソニックエコソリューショ/Ｐａｎａｓｏｎｉｃ　壁うらセンサ－【EZ3802】(4198395) 受注単位1,工事用品\測量用品\レーザー距離計,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●木材、プラスチック、金属探知に音と光で表示します。<br>●簡単マーキング機能付です。",『カード対応OK！』■〒パナソニックエコソリューショ/Ｐａｎａｓｏｎｉｃ　壁うらセンサ&minus;【EZ3802】(4198395) 受注単位1：クローバー資材館,『カード対応OK！』■〒パナソニックエコソリューショ/Ｐａｎａｓｏｎｉｃ　壁うらセンサ&minus;【EZ3802】(4198395) 受注単位1,工事用品\測量用品\レーザー距離計。『カード対応OK！』■〒パナソニックエコソリューショ/Ｐａｎａｓｏｎｉｃ　壁うらセンサ&minus;【EZ3802】(4198395) 受注単位1[rn]
13-7163,,62596.8000,,花・ガーデン・DIY > DIY・工具 > その他,■〒日立工機/日立 電動工具【WF4AR3-S】(8192348) 日立 常圧ねじ打機 発注単位1,工事用品\土木作業・大工用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●ビット押付力30%UPによるカムアウト低減で作業効率が向上しました。<br>
●オイル吸収フィルタ内臓により、排気中のオイルをキャッチし、石こうボードなどへの汚れを軽減します。<br>
●高さ(mm):305<br>
●幅(mm):125<br>
●全長(mm):290<br>
●ロールねじ装填数(本):100<br>
●適合ロールねじ胴径×長さ(mm)木下地用/鋼製下地用:φ3.9～4.2×25～41/φ3.5×25～41<br>
●使用空気圧：0.59～0.78MPa<br>
●ケース、ビット（NO2プラスドライバービット）、ノーズキャップ、保護メガネ、ビット交換工具、油さし",■〒日立工機/日立 電動工具【WF4AR3-S】(8192348) 日立 常圧ねじ打機 発注単位1：クローバー資材館,■〒日立工機/日立 電動工具【WF4AR3-S】(8192348) 日立 常圧ねじ打機 発注単位1,工事用品\土木作業・大工用品。■〒日立工機/日立 電動工具【WF4AR3-S】(8192348) 日立 常圧ねじ打機 発注単位1[rn]
13-7164,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002838297.jpg?fitin=700:700,5673.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒マックス/ＭＡＸ　ガンタッカ【TG-AN】(48585) 受注単位1,工事用品\土木作業・大工用品\釘打機,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●プロに応えるボディーの堅牢性を備えた木に打てるホッチキスです。",『カード対応OK！』■〒マックス/ＭＡＸ　ガンタッカ【TG-AN】(48585) 受注単位1：クローバー資材館,『カード対応OK！』■〒マックス/ＭＡＸ　ガンタッカ【TG-AN】(48585) 受注単位1,工事用品\土木作業・大工用品\釘打機。『カード対応OK！』■〒マックス/ＭＡＸ　ガンタッカ【TG-AN】(48585) 受注単位1[rn]
