11-73201,http://tshop.r10s.jp/lamd/cabinet/04448482/imgrc0066038428.jpg?fitin=700:700,5818.4000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,シンワ 曲尺大金普及型ステン1m/3尺3寸 併用目盛 63094,,"長さの測定、直角の確認やケガキ作業に使用する曲尺。
木材・石材・金属などの曲尺では困難だった大きな物の
測定やケガキ作業が出来ます。  

■精度
・直角度：100mmにつき0.1mm以下　　
・長さの許容差：＋-0.5mm以下  

■表目盛
・長枝：外目盛1m
・短枝：外目盛60cm  

■裏目盛
・長枝：外目盛3尺3寸
・短枝：外目盛2尺  

■形状：同厚 

■材質：ステンレス  

■サイズ：(約）1030×630×2.5mm 

■重量：（約）1102g 

【注意事項】
電気に触れる恐れのある場所では使用しないでください。",シンワ 曲尺大金普及型ステン1m/3尺3寸 併用目盛 63094：アークランド楽天市場ショップ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得工具塗料・接着・補修作業用品園芸用品農業用品水道用品エクステリアペット用品照明インテリア収納家庭用品カー用品アウトドア防犯防災クラフト電材ガーデン安全用品サイクル用品シンワ 曲尺大金普及型ステン1m/3尺3寸 併用目盛 63094,シンワ 曲尺大金普及型ステン1m/3尺3寸 併用目盛 63094[rn]
11-73238,,1520.8000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,『カード対応OK！』■〒トンボ工業（株）/トンボ 【WA60L】(4352807)プラ角杭 ＷＡ６０Ｌ ６０Ｘ６０Ｘ１５００ 穴あり 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●再生プラスチック利用によるエコマーク認定商品です。<br>●木製杭と比べ耐久性に優れ、腐食・劣化がありません。<br>●ビス打ち、穴あけ、カットが可能です。<br>●看板などの取付に便利な角杭です。<br>●土木・園芸・農業資材として<br>●土留めや柵に<br>●支柱や看板の固定に。<br>●高さ(mm):1500<br>●幅(mm):60<br>●質量(kg):3.5<br>●ポリプロピレン（ＰＰ）とポリエチレン（ＰＥ）の再生プラスチック<br>●熱可塑性樹脂を使用しているため、火気に近づけると変形する恐れがあります。<br>●横方向に衝撃を加えると折れる原因になることがございます。<br>",『カード対応OK！』■〒トンボ工業（株）/トンボ 【WA60L】(4352807)プラ角杭 ＷＡ６０Ｌ ６０Ｘ６０Ｘ１５００ 穴あり 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トンボ工業（株）/トンボ 【WA60L】(4352807)プラ角杭 ＷＡ６０Ｌ ６０Ｘ６０Ｘ１５００ 穴あり 受注単位1,工事用品\測量用品\測量用標示具。『カード対応OK！』■〒トンボ工業（株）/トンボ 【WA60L】(4352807)プラ角杭 ＷＡ６０Ｌ ６０Ｘ６０Ｘ１５００ 穴あり 受注単位1[rn]
11-73239,,265.6000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,『カード対応OK！』■〒トンボ工業（株）/トンボ 【WA45R】(4352785)プラ境界杭 ＷＡ４５赤 ４５Ｘ４５Ｘ６００ 赤キャップ付 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●再生プラスチック利用によるエコマーク認定商品です。<br>●木製杭と比べ耐久性に優れ、腐食・劣化がありません。<br>●測量会社・市町村・土地改良・国土調査用の民間境の杭に最適です。<br>●測量会社・市町村・土地改良・国土調査用の民間境の杭として。<br>●草地・粘土質の畑・山林・砂地・水田などに。<br>●高さ(mm):600<br>●幅(mm):45<br>●キャップ色:赤<br>●天面刻印:田<br>●質量(kg):0.94<br>●ポリプロピレン（ＰＰ）とポリエチレン（ＰＥ）の再生プラスチック<br>●熱可塑性樹脂を使用しているため、火気に近づけると変形する恐れがあります。<br>●横方向に衝撃を加えると折れる原因になることがございます。<br>",『カード対応OK！』■〒トンボ工業（株）/トンボ 【WA45R】(4352785)プラ境界杭 ＷＡ４５赤 ４５Ｘ４５Ｘ６００ 赤キャップ付 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トンボ工業（株）/トンボ 【WA45R】(4352785)プラ境界杭 ＷＡ４５赤 ４５Ｘ４５Ｘ６００ 赤キャップ付 受注単位1,工事用品\測量用品\測量用標示具。『カード対応OK！』■〒トンボ工業（株）/トンボ 【WA45R】(4352785)プラ境界杭 ＷＡ４５赤 ４５Ｘ４５Ｘ６００ 赤キャップ付 受注単位1[rn]
11-73240,,1157.6000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,『カード対応OK！』■〒（株）エビス/エビスダイヤモンド【ED-10SSG】(4850386)スーパースラント１０ ＥＤ－１０ＳＳＧ 蛍光グリーン 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●気泡で0°～90°までの角度と勾配の測定できます。<br>●測定基準面がV溝付でパイプ等の測定ができます。<br>●前後に目盛盤があり両面から測定できます。<br>●指先でホールドしやすい凹み付です。<br>●ストラップ受けが付いていてストラップ及び落下防止コードの取り付けができます。<br>●角度の測定。<br>●長さ(mm):100<br>●高さ(mm):100<br>●厚み(mm):12<br>●最小読取値:1°<br>●質量(g):59<br>●精度：±17.5ｍｍ/ｍ＝±1.0°以内<br>●感度：3.00ｍｍ/ｍ＝0.1719°<br>●本体:ABS樹脂<br>●風防ｹｰｽ:ポリスチレン樹脂<br>",『カード対応OK！』■〒（株）エビス/エビスダイヤモンド【ED-10SSG】(4850386)スーパースラント１０ ＥＤ&minus;１０ＳＳＧ 蛍光グリーン 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒（株）エビス/エビスダイヤモンド【ED-10SSG】(4850386)スーパースラント１０ ＥＤ&minus;１０ＳＳＧ 蛍光グリーン 受注単位1,工事用品\測量用品\勾配計。『カード対応OK！』■〒（株）エビス/エビスダイヤモンド【ED-10SSG】(4850386)スーパースラント１０ ＥＤ&minus;１０ＳＳＧ 蛍光グリーン 受注単位1[rn]
11-73241,,235.2000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,『カード対応OK！』■〒トンボ工業（株）/トンボ 【WA45】(4352777)プラ角杭 ＷＡ４５ ４５Ｘ４５Ｘ６００ 穴なし 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●再生プラスチック利用によるエコマーク認定商品です。<br>●木製杭と比べ耐久性に優れ、腐食・劣化がありません。<br>●ビス打ち、穴あけ、カットが可能です。<br>●看板などの取付に便利な角杭です。<br>●土木・園芸・農業資材として<br>●土留めや柵に<br>●支柱や看板の固定に。<br>●高さ(mm):600<br>●幅(mm):45<br>●質量(kg):0.94<br>●ポリプロピレン（ＰＰ）とポリエチレン（ＰＥ）の再生プラスチック<br>●熱可塑性樹脂を使用しているため、火気に近づけると変形する恐れがあります。<br>●横方向に衝撃を加えると折れる原因になることがございます。<br>",『カード対応OK！』■〒トンボ工業（株）/トンボ 【WA45】(4352777)プラ角杭 ＷＡ４５ ４５Ｘ４５Ｘ６００ 穴なし 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トンボ工業（株）/トンボ 【WA45】(4352777)プラ角杭 ＷＡ４５ ４５Ｘ４５Ｘ６００ 穴なし 受注単位1,工事用品\測量用品\測量用標示具。『カード対応OK！』■〒トンボ工業（株）/トンボ 【WA45】(4352777)プラ角杭 ＷＡ４５ ４５Ｘ４５Ｘ６００ 穴なし 受注単位1[rn]
11-73242,,438.4000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,『カード対応OK！』■〒トンボ工業（株）/トンボ 【WB35L】(4352912)プラ丸杭 ＷＢ３５Ｌ φ３５Ｘ２１００ 穴なし 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●再生プラスチック利用によるエコマーク認定商品です。<br>●木製杭と比べ耐久性に優れ、腐食・劣化がありません。<br>●ビス打ち、穴あけ、カットが可能です。<br>●土木・園芸・農業資材として<br>●土留めや柵に<br>●支柱や看板の固定に。<br>●高さ(mm):2100<br>●外径(mm):35<br>●質量(kg):1.6<br>●ポリプロピレン（ＰＰ）とポリエチレン（ＰＥ）の再生プラスチック<br>●熱可塑性樹脂を使用しているため、火気に近づけると変形する恐れがあります。<br>●横方向に衝撃を加えると折れる原因になることがございます。<br>",『カード対応OK！』■〒トンボ工業（株）/トンボ 【WB35L】(4352912)プラ丸杭 ＷＢ３５Ｌ φ３５Ｘ２１００ 穴なし 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トンボ工業（株）/トンボ 【WB35L】(4352912)プラ丸杭 ＷＢ３５Ｌ φ３５Ｘ２１００ 穴なし 受注単位1,工事用品\測量用品\測量用標示具。『カード対応OK！』■〒トンボ工業（株）/トンボ 【WB35L】(4352912)プラ丸杭 ＷＢ３５Ｌ φ３５Ｘ２１００ 穴なし 受注単位1[rn]
11-73243,,704.0000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,『カード対応OK！』■〒トンボ工業（株）/トンボ 【WB45L】(4352921)プラ丸杭 ＷＢ４５Ｌ φ４５Ｘ２１００ 穴なし 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●再生プラスチック利用によるエコマーク認定商品です。<br>●木製杭と比べ耐久性に優れ、腐食・劣化がありません。<br>●ビス打ち、穴あけ、カットが可能です。<br>●土木・園芸・農業資材として<br>●土留めや柵に<br>●支柱や看板の固定に。<br>●高さ(mm):2100<br>●外径(mm):45<br>●質量(kg):2.7<br>●ポリプロピレン（ＰＰ）とポリエチレン（ＰＥ）の再生プラスチック<br>●熱可塑性樹脂を使用しているため、火気に近づけると変形する恐れがあります。<br>●横方向に衝撃を加えると折れる原因になることがございます。<br>",『カード対応OK！』■〒トンボ工業（株）/トンボ 【WB45L】(4352921)プラ丸杭 ＷＢ４５Ｌ φ４５Ｘ２１００ 穴なし 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トンボ工業（株）/トンボ 【WB45L】(4352921)プラ丸杭 ＷＢ４５Ｌ φ４５Ｘ２１００ 穴なし 受注単位1,工事用品\測量用品\測量用標示具。『カード対応OK！』■〒トンボ工業（株）/トンボ 【WB45L】(4352921)プラ丸杭 ＷＢ４５Ｌ φ４５Ｘ２１００ 穴なし 受注単位1[rn]
11-73244,,3020.8000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,『カード対応OK！』■〒トンボ工業（株）/トンボ 【WB100L】(4352904)プラ丸杭 ＷＢ１００Ｌ φ１００Ｘ２１００ 穴あり 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●再生プラスチック利用によるエコマーク認定商品です。<br>●木製杭と比べ耐久性に優れ、腐食・劣化がありません。<br>●ビス打ち、穴あけ、カットが可能です。<br>●ロープ柵に便利なφ１３ｍｍ<br>●土木・園芸・農業資材として<br>●土留めや柵に<br>●支柱や看板の固定に。<br>●高さ(mm):2100<br>●外径(mm):100<br>●質量(kg):12<br>●ポリプロピレン（ＰＰ）とポリエチレン（ＰＥ）の再生プラスチック<br>●熱可塑性樹脂を使用しているため、火気に近づけると変形する恐れがあります。<br>●横方向に衝撃を加えると折れる原因になることがございます。<br>",『カード対応OK！』■〒トンボ工業（株）/トンボ 【WB100L】(4352904)プラ丸杭 ＷＢ１００Ｌ φ１００Ｘ２１００ 穴あり 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トンボ工業（株）/トンボ 【WB100L】(4352904)プラ丸杭 ＷＢ１００Ｌ φ１００Ｘ２１００ 穴あり 受注単位1,工事用品\測量用品\測量用標示具。『カード対応OK！』■〒トンボ工業（株）/トンボ 【WB100L】(4352904)プラ丸杭 ＷＢ１００Ｌ φ１００Ｘ２１００ 穴あり 受注単位1[rn]
11-73245,,635.2000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,『カード対応OK！』■〒トンボ工業（株）/トンボ 【WB60M】(4352947)プラ丸杭 ＷＢ６０Ｍ φ６０Ｘ１２００ 穴あり 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●再生プラスチック利用によるエコマーク認定商品です。<br>●木製杭と比べ耐久性に優れ、腐食・劣化がありません。<br>●ビス打ち、穴あけ、カットが可能です。<br>●ロープ柵に便利なφ１３ｍｍ<br>●土木・園芸・農業資材として<br>●土留めや柵に<br>●支柱や看板の固定に。<br>●高さ(mm):1200<br>●外径(mm):60<br>●質量(kg):2.5<br>●ポリプロピレン（ＰＰ）とポリエチレン（ＰＥ）の再生プラスチック<br>●熱可塑性樹脂を使用しているため、火気に近づけると変形する恐れがあります。<br>●横方向に衝撃を加えると折れる原因になることがございます。<br>",『カード対応OK！』■〒トンボ工業（株）/トンボ 【WB60M】(4352947)プラ丸杭 ＷＢ６０Ｍ φ６０Ｘ１２００ 穴あり 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トンボ工業（株）/トンボ 【WB60M】(4352947)プラ丸杭 ＷＢ６０Ｍ φ６０Ｘ１２００ 穴あり 受注単位1,工事用品\測量用品\測量用標示具。『カード対応OK！』■〒トンボ工業（株）/トンボ 【WB60M】(4352947)プラ丸杭 ＷＢ６０Ｍ φ６０Ｘ１２００ 穴あり 受注単位1[rn]
11-73246,,152.8000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,『カード対応OK！』■〒トンボ工業（株）/トンボ 【WA30R】(4352769)プラ境界杭 ＷＡ３０赤 ３０Ｘ３０Ｘ４００ 赤キャップ付 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●再生プラスチック利用によるエコマーク認定商品です。<br>●木製杭と比べ耐久性に優れ、腐食・劣化がありません。<br>●測量会社・市町村・土地改良・国土調査用の民間境の杭に最適です。<br>●測量会社・市町村・土地改良・国土調査用の民間境の杭として。<br>●草地・粘土質の畑・山林・砂地・水田などに。<br>●高さ(mm):400<br>●幅(mm):30<br>●キャップ色:赤<br>●天面刻印:田<br>●質量(kg):0.3<br>●ポリプロピレン（ＰＰ）とポリエチレン（ＰＥ）の再生プラスチック<br>●熱可塑性樹脂を使用しているため、火気に近づけると変形する恐れがあります。<br>●横方向に衝撃を加えると折れる原因になることがございます。<br>",『カード対応OK！』■〒トンボ工業（株）/トンボ 【WA30R】(4352769)プラ境界杭 ＷＡ３０赤 ３０Ｘ３０Ｘ４００ 赤キャップ付 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トンボ工業（株）/トンボ 【WA30R】(4352769)プラ境界杭 ＷＡ３０赤 ３０Ｘ３０Ｘ４００ 赤キャップ付 受注単位1,工事用品\測量用品\測量用標示具。『カード対応OK！』■〒トンボ工業（株）/トンボ 【WA30R】(4352769)プラ境界杭 ＷＡ３０赤 ３０Ｘ３０Ｘ４００ 赤キャップ付 受注単位1[rn]
11-73247,,1239.2000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,『カード対応OK！』■〒トンボ工業（株）/トンボ 【WA60M】(4352815)プラ角杭 ＷＡ６０Ｍ ６０Ｘ６０Ｘ１２００ 穴あり 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●再生プラスチック利用によるエコマーク認定商品です。<br>●木製杭と比べ耐久性に優れ、腐食・劣化がありません。<br>●ビス打ち、穴あけ、カットが可能です。<br>●看板などの取付に便利な角杭です。<br>●土木・園芸・農業資材として<br>●土留めや柵に<br>●支柱や看板の固定に。<br>●高さ(mm):1200<br>●幅(mm):60<br>●質量(kg):2.5<br>●ポリプロピレン（ＰＰ）とポリエチレン（ＰＥ）の再生プラスチック<br>●熱可塑性樹脂を使用しているため、火気に近づけると変形する恐れがあります。<br>●横方向に衝撃を加えると折れる原因になることがございます。<br>",『カード対応OK！』■〒トンボ工業（株）/トンボ 【WA60M】(4352815)プラ角杭 ＷＡ６０Ｍ ６０Ｘ６０Ｘ１２００ 穴あり 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トンボ工業（株）/トンボ 【WA60M】(4352815)プラ角杭 ＷＡ６０Ｍ ６０Ｘ６０Ｘ１２００ 穴あり 受注単位1,工事用品\測量用品\測量用標示具。『カード対応OK！』■〒トンボ工業（株）/トンボ 【WA60M】(4352815)プラ角杭 ＷＡ６０Ｍ ６０Ｘ６０Ｘ１２００ 穴あり 受注単位1[rn]
11-73248,,594.4000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,『カード対応OK！』■〒シンワ測定（株）/シンワ 【78586】(4741714)下地探しどこ太Ｓｍａｒｔ ３５ｍｍ 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●事故を防ぐ為、LOCKとFREEの切替がしっかり固定される安全設計です。<br>●壁厚４５ｍｍまで探知可能で学校・病院など耐火壁のスタンダードになりつつある２１ｍｍ厚のボード２枚貼りにも対応可能です。<br>●携帯に便利なポケットサイズ（クリップ付）です。<br>●壁の厚さが分かる目盛付です。<br>●壁裏の間柱や下地材を探します。<br>●壁裏の間柱や下地材を探します。<br>●先端径(mm):0.7<br>●全長(mm):133<br>●探知壁厚(mm):35<br>●ネイルキャッチ:なし<br>●縦x横x奥行(ｍｍ):133x17.5x21<br>●探知壁厚:35ｍｍ<br>●本体：ABS樹脂<br>●針：ステンレス<br>",『カード対応OK！』■〒シンワ測定（株）/シンワ 【78586】(4741714)下地探しどこ太Ｓｍａｒｔ ３５ｍｍ 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒シンワ測定（株）/シンワ 【78586】(4741714)下地探しどこ太Ｓｍａｒｔ ３５ｍｍ 受注単位1,工事用品\測量用品\下地材探知器。『カード対応OK！』■〒シンワ測定（株）/シンワ 【78586】(4741714)下地探しどこ太Ｓｍａｒｔ ３５ｍｍ 受注単位1[rn]
11-73249,,724.8000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,『カード対応OK！』■〒シンワ測定（株）/シンワ 【78592】(4741722)下地探しどこ太Ｓｍａｒｔ ３５ｍｍ（マグネット付） 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●事故を防ぐ為、LOCKとFREEの切替がしっかり固定される安全設計です。<br>●壁厚４５ｍｍまで探知可能で学校・病院など耐火壁のスタンダードになりつつある２１ｍｍ厚のボード２枚貼りにも対応可能です。<br>●携帯に便利なポケットサイズ（クリップ付）です。<br>●壁の厚さが分かる目盛付です。<br>●壁裏の間柱や下地材を探します。<br>●壁裏の間柱や下地材を探します。<br>●先端径(mm):0.7<br>●全長(mm):161.5<br>●探知壁厚(mm):35<br>●ネイルキャッチ:あり<br>●縦x横x奥行(ｍｍ):161.5x17.5x21<br>●探知壁厚:針35ｍｍマグネット13ｍｍ(壁面)12ｍｍ(天井)<br>●本体：ABS樹脂<br>●針：ステンレス<br>●磁石：ネオジム<br>",『カード対応OK！』■〒シンワ測定（株）/シンワ 【78592】(4741722)下地探しどこ太Ｓｍａｒｔ ３５ｍｍ（マグネット付） 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒シンワ測定（株）/シンワ 【78592】(4741722)下地探しどこ太Ｓｍａｒｔ ３５ｍｍ（マグネット付） 受注単位1,工事用品\測量用品\下地材探知器。『カード対応OK！』■〒シンワ測定（株）/シンワ 【78592】(4741722)下地探しどこ太Ｓｍａｒｔ ３５ｍｍ（マグネット付） 受注単位1[rn]
11-73250,,360.8000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,『カード対応OK！』■〒（株）ＴＪＭデザイン/タジマ 【PW-SCH25】(4443594)パーフェクト下地キャッチ２５用針（５本入） 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●強くて細いフッ素樹脂加工針の為、壁の傷を最小限に抑えます。<br>●下地検知器用針<br>●先端径(mm):0.7<br>●探知壁厚(mm):25<br>●適合機種:PW-SC25、PW-SC25M<br>●質量(g):0.8<br>●内容量:5本入り<br>●針:ステンレス<br>",『カード対応OK！』■〒（株）ＴＪＭデザイン/タジマ 【PW-SCH25】(4443594)パーフェクト下地キャッチ２５用針（５本入） 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒（株）ＴＪＭデザイン/タジマ 【PW-SCH25】(4443594)パーフェクト下地キャッチ２５用針（５本入） 受注単位1,工事用品\測量用品\下地材探知器。『カード対応OK！』■〒（株）ＴＪＭデザイン/タジマ 【PW-SCH25】(4443594)パーフェクト下地キャッチ２５用針（５本入） 受注単位1[rn]
11-73251,,9071.2000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,『カード対応OK！』■〒（株）ミツトヨ/ミツトヨ 【CD-15APX】(4697456)ＡＢＳデジマチックキャリパ 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●電磁誘導式アブソリュートエンコーダを採用し、耐環境性能を向上させました。<br>●ハイコントラスト液晶表示で疲労を軽減します。<br>●ムラなく、しっかり心地よいスライダーの作動を実現しました。<br>●ABSスケール内蔵により、電源ONごとの原点合わせが不要です。<br>●段差測定・内側測定・外側測定・深さ測定など。<br>●メーカーコード:500-181-30<br>●測定範囲(mm):0～150<br>●器差(mm):±0.02<br>●最小表示(mm):0.01<br>●外側用ジョウ(mm):40<br>●内側用ジョウ(mm):16.5<br>●デプスバー:有<br>●質量(g):168<br>●電源:ボタン型酸化銀電池（SR44）×1個（付属）<br>",『カード対応OK！』■〒（株）ミツトヨ/ミツトヨ 【CD-15APX】(4697456)ＡＢＳデジマチックキャリパ 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒（株）ミツトヨ/ミツトヨ 【CD-15APX】(4697456)ＡＢＳデジマチックキャリパ 受注単位1,生産加工用品\測定工具\ノギス。『カード対応OK！』■〒（株）ミツトヨ/ミツトヨ 【CD-15APX】(4697456)ＡＢＳデジマチックキャリパ 受注単位1[rn]
11-73252,,16512.0000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,『カード対応OK！』■〒（株）ミツトヨ/ミツトヨ 【CD-20AXW】(4697529)ＡＢＳデジマチックキャリパ 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●電磁誘導式アブソリュートエンコーダを採用し、耐環境性能を向上させました。<br>●ハイコントラスト液晶表示で疲労を軽減します。<br>●外側測定面は超硬合金チップ付です。<br>●段差測定・内側測定・外側測定・深さ測定など。<br>●メーカーコード:500-156-30<br>●測定範囲(mm):0～200<br>●器差(mm):±0.02<br>●最小表示(mm):0.01<br>●外側用ジョウ(mm):50<br>●内側用ジョウ(mm):20.0<br>●デプスバー:有<br>●質量(g):198<br>●電源:ボタン型酸化銀電池（SR44）×1個（付属）<br>●測定データ出力端子あり<br>",『カード対応OK！』■〒（株）ミツトヨ/ミツトヨ 【CD-20AXW】(4697529)ＡＢＳデジマチックキャリパ 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒（株）ミツトヨ/ミツトヨ 【CD-20AXW】(4697529)ＡＢＳデジマチックキャリパ 受注単位1,生産加工用品\測定工具\ノギス。『カード対応OK！』■〒（株）ミツトヨ/ミツトヨ 【CD-20AXW】(4697529)ＡＢＳデジマチックキャリパ 受注単位1[rn]
11-73253,,11345.6000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TDN-300】(4890779)デジタルノギス ３００ｍｍ 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ハイスピードモデル液晶を採用しました。<br>●デジタル表示で見やすいです。<br>●ホールド機能付です。<br>●全数検査表付き。<br>●外側測定、内側測定、段差測定、深さ測定。<br>●メーカーコード:-<br>●測定範囲(mm):0～300<br>●器差(mm):±0.04<br>●最小表示(mm):0.01<br>●外側用ジョウ(mm):60<br>●内側用ジョウ(mm):20.5<br>●デプスバー:有<br>●最小表示:0.01mm<br>●電源:ボタン型酸化銀電池（SR44）×1個（別売）<br>",『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TDN-300】(4890779)デジタルノギス ３００ｍｍ 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TDN-300】(4890779)デジタルノギス ３００ｍｍ 受注単位1,生産加工用品\測定工具\ノギス。『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TDN-300】(4890779)デジタルノギス ３００ｍｍ 受注単位1[rn]
