11-28101,,864.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒新亀製作所/サンフラッグ 電動工具【ASV-2045M-2-45】(7768079) サンフラッグ ブロンズ両頭ビット10本組 ＃2×45 発注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●精密性に優れた特殊表面加工により、ビスの食いつきが抜群です。<br>
●ねばり強く、耐摩耗性・耐衝撃性に優れています。<br>
●充電・電動ドライバー用ビットとして。<br>
●刃先:[[(+)]]2<br>
●全長(mm):45<br>
●入数(本):10<br>
●シャンク径:6.35mm<br>
●刃先:マグネット入り<br>
●特殊鋼",■〒新亀製作所/サンフラッグ 電動工具【ASV-2045M-2-45】(7768079) サンフラッグ ブロンズ両頭ビット10本組 ＃2&times;45 発注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得■〒新亀製作所/サンフラッグ 電動工具【ASV-2045M-2-45】(7768079) サンフラッグ ブロンズ両頭ビット10本組 ＃2&times;45 発注単位1,作業用品\ドライバービット。■〒新亀製作所/サンフラッグ 電動工具【ASV-2045M-2-45】(7768079) サンフラッグ ブロンズ両頭ビット10本組 ＃2&times;45 発注単位1[rn]
11-28143,,959.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW7-3XS】(7577991) １ドライブ　リテーニングリング　ヘビークラッシュゲージ　２‐１ 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ワンタッチで取り付け可能です。<br>●差込角25.4mm のインパクトソケットを固定します。<br><br>●技術者向け。<br>●メンテナンス業者。<br><br>●内径(mm)：54<br>●適合差込角(mm)：25.4<br><br><br>●特殊工具鋼<br>●ゴム<br>",『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW7-3XS】(7577991) １ドライブ　リテーニングリング　ヘビークラッシュゲージ　２‐１ 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW7-3XS】(7577991) １ドライブ　リテーニングリング　ヘビークラッシュゲージ　２‐１ 受注単位1,作業用品\ソケットレンチ\インパクト用アタッチメント。『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW7-3XS】(7577991) １ドライブ　リテーニングリング　ヘビークラッシュゲージ　２‐１ 受注単位1[rn]
11-28144,,16744.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW6-113】(7577621) ３／４ドライブ　エクステンション　１２‐３／４インチ　インパク 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●インパクト使用のために特殊熱処理加工を施し強度、耐久性、安全性を高めています。<br>●素早い交換が可能なボール式です。<br>●電動、エアインパクト用です。<br>●ピンも使用可能です。<br><br>●技術者向け。<br>●メンテナンス業者。<br><br>●差込角(mm)：凹凸19.0<br>●全長(mm)：324<br>●ソケット取付：ピン<br>●質量(g)：1300<br><br><br>●特殊工具鋼<br>",『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW6-113】(7577621) ３／４ドライブ　エクステンション　１２‐３／４インチ　インパク 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW6-113】(7577621) ３／４ドライブ　エクステンション　１２‐３／４インチ　インパク 受注単位1,作業用品\ソケットレンチ\インパクト用アタッチメント。『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW6-113】(7577621) ３／４ドライブ　エクステンション　１２‐３／４インチ　インパク 受注単位1[rn]
11-28145,,2401.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW2-02B】(7574487) ３／８ドライブ　エクステンション　３インチ　インパクト 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●インパクト使用のために特殊熱処理加工を施し強度、耐久性、安全性を高めています。<br>●素早い交換が可能なボール式です。<br>●電動、エアインパクト用です。<br>●ピンも使用可能です。<br><br>●技術者向け。<br>●メンテナンス業者。<br><br>●差込角(mm)：9.5<br>●全長(mm)：50.8<br>●差込寸法(mm)：6.35<br><br><br>●特殊工具鋼<br>",『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW2-02B】(7574487) ３／８ドライブ　エクステンション　３インチ　インパクト 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW2-02B】(7574487) ３／８ドライブ　エクステンション　３インチ　インパクト 受注単位1,作業用品\ソケットレンチ\インパクト用アタッチメント。『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW2-02B】(7574487) ３／８ドライブ　エクステンション　３インチ　インパクト 受注単位1[rn]
11-28146,,1258.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW2-33B】(7574533) ３／８ドライブ　エクステンション　２‐３／４インチ　インパクト 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●インパクト使用のために特殊熱処理加工を施し強度、耐久性、安全性を高めています。<br>●素早い交換が可能なボール式です。<br>●電動、エアインパクト用です。<br>●ピンも使用可能です。<br><br>●技術者向け。<br>●メンテナンス業者。<br><br>●差込角(mm)：9.5<br>●全長(mm)：69.9<br>●差込寸法(mm)：6.35<br><br><br>●特殊工具鋼<br>",『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW2-33B】(7574533) ３／８ドライブ　エクステンション　２‐３／４インチ　インパクト 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW2-33B】(7574533) ３／８ドライブ　エクステンション　２‐３／４インチ　インパクト 受注単位1,作業用品\ソケットレンチ\インパクト用アタッチメント。『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW2-33B】(7574533) ３／８ドライブ　エクステンション　２‐３／４インチ　インパクト 受注単位1[rn]
11-28147,,10074.4000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ ハンドツール【8360-015】(7883706) ＫＮＩＰＥＸ ミニウォーターポンププライヤー コブラ 125mm 発注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●ワークに直接当ててボタンプッシュすることで、素早く、精密に作業できます。<br>
●完全に熱処理されたプライヤーハンドルによって、極めて大きな負荷にも耐えます。<br>
●パイプの締め付け、取り外しなど。<br>
●くわえられる管外径(mm):60<br>
●全長(mm):420<br>
●最大口開き(mm):60<br>
●調整(段階):24<br>
●オイル焼き入れ焼き戻し処理済みクロームバナジウム電気鋼",■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ ハンドツール【8360-015】(7883706) ＫＮＩＰＥＸ ミニウォーターポンププライヤー コブラ 125mm 発注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ ハンドツール【8360-015】(7883706) ＫＮＩＰＥＸ ミニウォーターポンププライヤー コブラ 125mm 発注単位1,作業用品\水道・空調配管用工具。■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ ハンドツール【8360-015】(7883706) ＫＮＩＰＥＸ ミニウォーターポンププライヤー コブラ 125mm 発注単位1[rn]
11-28148,,462.4000,,花・ガーデン・DIY > DIY・工具 > その他,■〒Ｒｉｄｇｅ Ｔｏｏｌ Ｃｏｍｐａｎ/ＲＩＤＧＥ フレァーリング【74740】(7883650) ＲＩＤＧＥ Ｅ－1554 クリップ Ｆ／205・150・1・2・3 発注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●リジッドチューブカッター用補修パーツです。<br>
●適合機種:151/152/153<br>
●用途:替刃を留めるためのピン<br>
●品名:クリップ<br>
●適合機種:F/205・150・1・2・3",■〒Ｒｉｄｇｅ Ｔｏｏｌ Ｃｏｍｐａｎ/ＲＩＤＧＥ フレァーリング【74740】(7883650) ＲＩＤＧＥ Ｅ&minus;1554 クリップ Ｆ／205・150・1・2・3 発注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得■〒Ｒｉｄｇｅ Ｔｏｏｌ Ｃｏｍｐａｎ/ＲＩＤＧＥ フレァーリング【74740】(7883650) ＲＩＤＧＥ Ｅ&minus;1554 クリップ Ｆ／205・150・1・2・3 発注単位1,作業用品\水道・空調配管用工具。■〒Ｒｉｄｇｅ Ｔｏｏｌ Ｃｏｍｐａｎ/ＲＩＤＧＥ フレァーリング【74740】(7883650) ＲＩＤＧＥ Ｅ&minus;1554 クリップ Ｆ／205・150・1・2・3 発注単位1[rn]
11-28149,,468.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒スーパーツール/スーパー レンチ【DSA3D】(8187170) スーパー 電ドル用ソケットアダプタ 発注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●１８Ｖ電動インパクトドライバ対応。<br>
●電動ドライバに取り付けて、差込角9.5ｍｍ（3/8”）のソケットが使用できます。<br>
●電動インパクトドライバ型フレアリングツール(TF455WSH)用アダプタ。<br>
●差込角(mm):9.5<br>
●軸寸法(mm):6.35<br>
●全長(mm):57<br>
●□差込角（ｍｍ）：9.5（3/8”）<br>
●軸寸法（ｍｍ）：6.35<br>
●全長（ｍｍ）57<br>
●特殊合金鋼",■〒スーパーツール/スーパー レンチ【DSA3D】(8187170) スーパー 電ドル用ソケットアダプタ 発注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得■〒スーパーツール/スーパー レンチ【DSA3D】(8187170) スーパー 電ドル用ソケットアダプタ 発注単位1,作業用品\水道・空調配管用工具。■〒スーパーツール/スーパー レンチ【DSA3D】(8187170) スーパー 電ドル用ソケットアダプタ 発注単位1[rn]
11-28150,,98455.2000,,花・ガーデン・DIY > DIY・工具 > その他,■〒文化貿易工業/ＢＢＫ フレアリング【RM320】(7761864) ＢＢＫ オイルレスフルオロカーボン回収装置 発注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●業界初のデジタル圧力表示です。<br>
●火花が発生しないブラシレスDCモーター搭載で、微燃性ガスR32に最適です。<br>
●1つのバルブ操作で回収作業のすべてを完了できます。<br>
●着脱式フロートセンサーコード方式で、回収容器と本体をつなぐフロートセンサーコードの接続端子の形状が4ピンタイプと3ピンタイプの2種類のコードを付属しています。<br>
●回収容器を選ばず使用できます。<br>
●ガス回収能力200g/分の1馬力直列二気筒のオイルレス式コンプレッサー搭載で高速、安定回収が可能です。<br>
●重量10.5kgと軽量です。<br>
●フロンガス冷媒の回収作業<br>
●幅(mm):380<br>
●奥行(mm):250<br>
●高さ(mm):260<br>
●使用温度範囲(℃):0～40<br>
●コンプレッサー(W):750(1HP)<br>
●気体回収能力(g/分):220(R410A)<br>
●R22気体回収能力(g/分):200g<br>
●消費電力50/60Hz(W):500/475<br>
●回収方式：ガス圧縮回収方式/プッシュプル方式<br>
●電源：AC100V(50/60Hz）<br>
●通商産業省告示１３９号に基づく適合性自己認証製品<br>
●自動停止圧力:-0.006Mpa(オートオフ機能時)<br>
●コンプレッサー:750W(50/60Hz)･1.0HP　シリンダー式オイルレス<br>
●運転電流/始動電流:9.0A/7.5A(50/60Hz)･38A<br>
●着脱式フロートセーフティーコード(3P、4P)<br>
●1/4Ｆボールバルブ付チャージングホース１５０ｃｍ(青・赤）<br>
●1/4チャージホース１０cm（青）<br>
●ドライフィルター",■〒文化貿易工業/ＢＢＫ フレアリング【RM320】(7761864) ＢＢＫ オイルレスフルオロカーボン回収装置 発注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得■〒文化貿易工業/ＢＢＫ フレアリング【RM320】(7761864) ＢＢＫ オイルレスフルオロカーボン回収装置 発注単位1,作業用品\水道・空調配管用工具。■〒文化貿易工業/ＢＢＫ フレアリング【RM320】(7761864) ＢＢＫ オイルレスフルオロカーボン回収装置 発注単位1[rn]
11-28151,,521.6000,,花・ガーデン・DIY > DIY・工具 > その他,■〒Ｒｉｄｇｅ Ｔｏｏｌ Ｃｏｍｐａｎ/ＲＩＤＧＥ 部品【34175】(7882416) ＲＩＤＧＥ Ｅ－1457 クリップ Ｆ／154，156 発注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●リジッドチューブカッター用補修パーツです。<br>
●適合機種:154/156<br>
●品名:クリップ<br>
●適合機種:F/154/156",■〒Ｒｉｄｇｅ Ｔｏｏｌ Ｃｏｍｐａｎ/ＲＩＤＧＥ 部品【34175】(7882416) ＲＩＤＧＥ Ｅ&minus;1457 クリップ Ｆ／154，156 発注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得■〒Ｒｉｄｇｅ Ｔｏｏｌ Ｃｏｍｐａｎ/ＲＩＤＧＥ 部品【34175】(7882416) ＲＩＤＧＥ Ｅ&minus;1457 クリップ Ｆ／154，156 発注単位1,作業用品\水道・空調配管用工具。■〒Ｒｉｄｇｅ Ｔｏｏｌ Ｃｏｍｐａｎ/ＲＩＤＧＥ 部品【34175】(7882416) ＲＩＤＧＥ Ｅ&minus;1457 クリップ Ｆ／154，156 発注単位1[rn]
11-28152,,25986.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒Ｒｉｄｇｅ　Ｔｏｏｌ　Ｃｏｍｐａｎ/ＲＩＤＧＥ【83290】(4951832) ２ハンドインターナルチューブカッター　１０９ 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●床排水溝の取付けで床面より下で配管を切断する場合などに便利です。<br>●２ハンドルタイプです。　<br>●鋼とアルミ用です。<br><br><br>●切断能力インチ(ミリ)：2 1/4～4(60～100)<br>●全長(mm)：-<br>●最大肉厚(mm)：-<br>●標準替刃：33170<br>●質量(kg)：1.8<br><br>●標準替刃：33170<br><br>",『カード対応OK！』■〒Ｒｉｄｇｅ　Ｔｏｏｌ　Ｃｏｍｐａｎ/ＲＩＤＧＥ【83290】(4951832) ２ハンドインターナルチューブカッター　１０９ 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒Ｒｉｄｇｅ　Ｔｏｏｌ　Ｃｏｍｐａｎ/ＲＩＤＧＥ【83290】(4951832) ２ハンドインターナルチューブカッター　１０９ 受注単位1,作業用品\水道・空調配管用工具\チューブカッター。『カード対応OK！』■〒Ｒｉｄｇｅ　Ｔｏｏｌ　Ｃｏｍｐａｎ/ＲＩＤＧＥ【83290】(4951832) ２ハンドインターナルチューブカッター　１０９ 受注単位1[rn]
11-28153,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002829382.jpg?fitin=700:700,4532.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒インペリアル/インペリアル　チューブカッター　切断サイズ３／１６～１－１／８（４～２８ｍｍ）　【TC-1000 (1/8-11/8)】(1236024) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●ローラー部はステンレスです。<br>●サビに強いです。<br>●比較的軟質の鉄、アルミ、銅製チューブ（外径規制管）の切断に最も適している信頼性の高い配管工具です。",『カード対応OK！』■〒インペリアル/インペリアル　チューブカッター　切断サイズ３／１６～１&minus;１／８（４～２８ｍｍ）　【TC-1000 (1/8-11/8)】(1236024) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒インペリアル/インペリアル　チューブカッター　切断サイズ３／１６～１&minus;１／８（４～２８ｍｍ）　【TC-1000 (1/8-11/8)】(1236024) 受注単位1,作業用品\水道・空調配管用工具\チューブカッター。『カード対応OK！』■〒インペリアル/インペリアル　チューブカッター　切断サイズ３／１６～１&minus;１／８（４～２８ｍｍ）　【TC-1000 (1/8-11/8)】(1236024) 受注単位1[rn]
11-28154,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002844573.jpg?fitin=700:700,1384.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒インペリアル/インペリアル　チューブカッター替刃（２０６－ＦＢ銅管用）【174761 (74761) (206FBﾖｳ)】(1236610) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>",『カード対応OK！』■〒インペリアル/インペリアル　チューブカッター替刃（２０６&minus;ＦＢ銅管用）【174761 (74761) (206FBﾖｳ)】(1236610) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒インペリアル/インペリアル　チューブカッター替刃（２０６&minus;ＦＢ銅管用）【174761 (74761) (206FBﾖｳ)】(1236610) 受注単位1,作業用品\水道・空調配管用工具\チューブカッター。『カード対応OK！』■〒インペリアル/インペリアル　チューブカッター替刃（２０６&minus;ＦＢ銅管用）【174761 (74761) (206FBﾖｳ)】(1236610) 受注単位1[rn]
11-28155,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002820119.jpg?fitin=700:700,7767.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒京都機械工具/ＫＴＣ　ミニラチェットチューブカッタ（銅管用）【PCRT-23】(3080871) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●ラチェット機構により壁際や管が隣接しているような狭い場所での切断が可能です。<br>●カッターの自動送り機構により最初にノブを締め込めば従来品のような追い締めは不要で、素早く作業できます。<br>●45mmの回転半径で作業可能です。",『カード対応OK！』■〒京都機械工具/ＫＴＣ　ミニラチェットチューブカッタ（銅管用）【PCRT-23】(3080871) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒京都機械工具/ＫＴＣ　ミニラチェットチューブカッタ（銅管用）【PCRT-23】(3080871) 受注単位1,作業用品\水道・空調配管用工具\チューブカッター。『カード対応OK！』■〒京都機械工具/ＫＴＣ　ミニラチェットチューブカッタ（銅管用）【PCRT-23】(3080871) 受注単位1[rn]
11-28156,http://tshop.r10s.jp/clover9608/cabinet/pb8/t010005436141.jpg?fitin=700:700,4676.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　チューブカッター　（１０～６６ｍｍ）【GFC-325N】(4162684) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●薄刃強力タイプで優れた切れ味です。<br>●ノブにスペア用替刃付（GFC-325NC 1枚）です。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　チューブカッター　（１０～６６ｍｍ）【GFC-325N】(4162684) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　チューブカッター　（１０～６６ｍｍ）【GFC-325N】(4162684) 受注単位1,(4162684)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　チューブカッター　（１０～６６ｍｍ）【GFC-325N】(4162684) 受注単位1[rn]
11-28157,,6072.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒アサダ【CT570】(7596979) チューブカッタＢＢ７０ 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ローラとカッタ刃にベアリングを採用し、切断時の抵抗を無くして切断が困難な薄肉ＳＵＳ管もラクに切断できます。<br>●精度が狂いにくい高剛性ボディを採用しています。<br>●スクレーパ内蔵で、きれいな面取り作業が出来ます。<br><br>●薄肉ステンレス・銅・黄銅・アルミ・薄肉軟銅管の精密切断に。<br><br>●全長(mm)：220<br>●切断能力インチ（ミリ）：1/8～2 5/8(3～70)<br>●最大肉厚(mm)：2.5<br><br>●標準替刃：CT591<br>●切断能力φ6～φ70ｍｍ<br><br>",『カード対応OK！』■〒アサダ【CT570】(7596979) チューブカッタＢＢ７０ 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒アサダ【CT570】(7596979) チューブカッタＢＢ７０ 受注単位1,作業用品\水道・空調配管用工具\チューブカッター。『カード対応OK！』■〒アサダ【CT570】(7596979) チューブカッタＢＢ７０ 受注単位1[rn]
11-28158,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002992218.jpg?fitin=700:700,936.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ロブテックス/エビチューブカッター替丸刃（ステンレス管用）【K602 (NO-602) (ｽﾃﾝ)】(3426416) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●チューブカッター、トラップカッター用替刃です。<br>●銅管用です。",『カード対応OK！』■〒ロブテックス/エビチューブカッター替丸刃（ステンレス管用）【K602 (NO-602) (ｽﾃﾝ)】(3426416) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒ロブテックス/エビチューブカッター替丸刃（ステンレス管用）【K602 (NO-602) (ｽﾃﾝ)】(3426416) 受注単位1,作業用品\水道・空調配管用工具\チューブカッター。『カード対応OK！』■〒ロブテックス/エビチューブカッター替丸刃（ステンレス管用）【K602 (NO-602) (ｽﾃﾝ)】(3426416) 受注単位1[rn]
11-28159,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002850061.jpg?fitin=700:700,770.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スーパーツール/スーパー　ステンレスフレキ管専用カッター替刃（１枚）【TCC105F】(1780662) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>",『カード対応OK！』■〒スーパーツール/スーパー　ステンレスフレキ管専用カッター替刃（１枚）【TCC105F】(1780662) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒スーパーツール/スーパー　ステンレスフレキ管専用カッター替刃（１枚）【TCC105F】(1780662) 受注単位1,作業用品\水道・空調配管用工具\チューブカッター。『カード対応OK！』■〒スーパーツール/スーパー　ステンレスフレキ管専用カッター替刃（１枚）【TCC105F】(1780662) 受注単位1[rn]
11-28160,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005202301.jpg?fitin=700:700,1428.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ローデンベルガー/ローデン　ミニカッタ２２プロ【R70402】(2761441) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●薄刃強力タイプで優れた切れ味です。",『カード対応OK！』■〒ローデンベルガー/ローデン　ミニカッタ２２プロ【R70402】(2761441) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒ローデンベルガー/ローデン　ミニカッタ２２プロ【R70402】(2761441) 受注単位1,作業用品\水道・空調配管用工具\チューブカッター。『カード対応OK！』■〒ローデンベルガー/ローデン　ミニカッタ２２プロ【R70402】(2761441) 受注単位1[rn]
11-28161,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005092909.jpg?fitin=700:700,2455.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒京都機械工具/ＫＴＣ　チューブカッタ替刃　銅管用（５枚組）【PCK305】(4004825) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●PC2-66用の替刃セットです。",『カード対応OK！』■〒京都機械工具/ＫＴＣ　チューブカッタ替刃　銅管用（５枚組）【PCK305】(4004825) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒京都機械工具/ＫＴＣ　チューブカッタ替刃　銅管用（５枚組）【PCK305】(4004825) 受注単位1,作業用品\水道・空調配管用工具\チューブカッター。『カード対応OK！』■〒京都機械工具/ＫＴＣ　チューブカッタ替刃　銅管用（５枚組）【PCK305】(4004825) 受注単位1[rn]
11-28162,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005100088.jpg?fitin=700:700,2951.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒京都機械工具/ＫＴＣ　チューブカッタ替刃　薄肉ステンレス鋼管用（５枚組）【ZCK305S】(4004949) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●ZC30用の替刃です。<br>●薄肉ステンレス鋼管用です。",『カード対応OK！』■〒京都機械工具/ＫＴＣ　チューブカッタ替刃　薄肉ステンレス鋼管用（５枚組）【ZCK305S】(4004949) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒京都機械工具/ＫＴＣ　チューブカッタ替刃　薄肉ステンレス鋼管用（５枚組）【ZCK305S】(4004949) 受注単位1,作業用品\水道・空調配管用工具\チューブカッター。『カード対応OK！』■〒京都機械工具/ＫＴＣ　チューブカッタ替刃　薄肉ステンレス鋼管用（５枚組）【ZCK305S】(4004949) 受注単位1[rn]
