16-23201,,19008.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒三和製作所/ｓａｎｗａ 衛生用品【102-842】(8194132) ｓａｎｗａ エキスパンダースクリーン 90×125．5～187ｃｍピンク 発注単位1,オフィス住設用品\防災・防犯用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●自由に高さを変えられる伸縮式のつい立てで、組み立て不要ですぐに使用できます。<br>
●ストッパー付キャスターで移動・設置も簡単にできます。<br>
●幅×奥行×高さ(mm):900×400×1290～1870<br>
●フレーム：スチールパイプ（粉体塗装）<br>
●布：ポリエステル100％（帝人ファイバーエコペット）",■〒三和製作所/ｓａｎｗａ 衛生用品【102-842】(8194132) ｓａｎｗａ エキスパンダースクリーン 90&times;125．5～187ｃｍピンク 発注単位1：クローバー資材館,■〒三和製作所/ｓａｎｗａ 衛生用品【102-842】(8194132) ｓａｎｗａ エキスパンダースクリーン 90&times;125．5～187ｃｍピンク 発注単位1,オフィス住設用品\防災・防犯用品。■〒三和製作所/ｓａｎｗａ 衛生用品【102-842】(8194132) ｓａｎｗａ エキスパンダースクリーン 90&times;125．5～187ｃｍピンク 発注単位1[rn]
16-23252,,1986.4000,,花・ガーデン・DIY > DIY・工具 > その他,■〒浅香工業/金象 土木用品【073891】(7807589) 金象 ステン 窓ホー210 1350Ｐ柄 発注単位1,オフィス住設用品\緑化用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●柄部にアルミパイプを採用し軽量化を実現し、リブ入り（筋入り）形状にすることですべり止め機能とフィット感が得られます。<br>
●畑、畦等の除草作業。<br>
●全長(mm):1400<br>
●先幅(mm):210<br>
●刃幅(mm):※<br>
●高さ(mm):125<br>
●頭部：ステンレス<br>
●柄部：アルミ合金",■〒浅香工業/金象 土木用品【073891】(7807589) 金象 ステン 窓ホー210 1350Ｐ柄 発注単位1：クローバー資材館,■〒浅香工業/金象 土木用品【073891】(7807589) 金象 ステン 窓ホー210 1350Ｐ柄 発注単位1,オフィス住設用品\緑化用品。■〒浅香工業/金象 土木用品【073891】(7807589) 金象 ステン 窓ホー210 1350Ｐ柄 発注単位1[rn]
16-23253,,8845.6000,,花・ガーデン・DIY > DIY・工具 > その他,■〒日立工機/日立 電動工具【UC18YFSL】(7785950) 日立 充電器 発注単位1,オフィス住設用品\緑化用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●充電器です。<br>
●電圧(V):14.4～18<br>
●種類:充電器<br>
●容量(Ah):-<br>
●電源(V):100<br>
●消費電力(VA):150<br>
●電池パックの有無:*",■〒日立工機/日立 電動工具【UC18YFSL】(7785950) 日立 充電器 発注単位1：クローバー資材館,■〒日立工機/日立 電動工具【UC18YFSL】(7785950) 日立 充電器 発注単位1,オフィス住設用品\緑化用品。■〒日立工機/日立 電動工具【UC18YFSL】(7785950) 日立 充電器 発注単位1[rn]
16-23254,,567.2000,,花・ガーデン・DIY > DIY・工具 > その他,■〒工進/工進 パーツ【PA-169】(7760337) 工進 ＨＳ1段1頭口ノズルクミ 発注単位1,オフィス住設用品\緑化用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●石灰硫黄合剤・マシン油対応<br>
●一段一頭口ノズル組です。<br>
●加圧式噴霧器の補修用に。<br>
●適合機種:HS-402B・401A・401X(T)・401C・401CT・401B・401BT<br>
●品名:HS1段1頭口ノズルクミ<br>
●サイズ(mm):110×470×30<br>
●アルミ<br>
●噴口プラ<br>
●パック入",■〒工進/工進 パーツ【PA-169】(7760337) 工進 ＨＳ1段1頭口ノズルクミ 発注単位1：クローバー資材館,■〒工進/工進 パーツ【PA-169】(7760337) 工進 ＨＳ1段1頭口ノズルクミ 発注単位1,オフィス住設用品\緑化用品。■〒工進/工進 パーツ【PA-169】(7760337) 工進 ＨＳ1段1頭口ノズルクミ 発注単位1[rn]
16-23255,,1744.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒(有）加藤伝蔵商店/伝蔵 清掃品【F042】(8195487) 伝蔵 メカイ Ｊ1000(大) 発注単位1,オフィス住設用品\緑化用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●除草作業に最適です。<br>
●腰ひも付で持ち運びが便利です。<br>
●除草や収穫などに。<br>
●直径×深さ(mm):320×290<br>
●本体:竹<br>
●紐:化繊",■〒(有）加藤伝蔵商店/伝蔵 清掃品【F042】(8195487) 伝蔵 メカイ Ｊ1000(大) 発注単位1：クローバー資材館,■〒(有）加藤伝蔵商店/伝蔵 清掃品【F042】(8195487) 伝蔵 メカイ Ｊ1000(大) 発注単位1,オフィス住設用品\緑化用品。■〒(有）加藤伝蔵商店/伝蔵 清掃品【F042】(8195487) 伝蔵 メカイ Ｊ1000(大) 発注単位1[rn]
16-23256,,250.4000,,花・ガーデン・DIY > DIY・工具 > その他,■〒トラスコ中山/ＴＲＵＳＣＯ 農機具【NKK】(8184362) ＴＲＵＳＣＯ 縄切鎌 発注単位1,オフィス住設用品\緑化用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●刃先はS45C相当を使用し熱処理を施すことにより耐磨耗性に優れ、切れ味が持続します。<br>
●ロープや縄切りに。<br>
●梱包開封作業に。<br>
●刃長(mm):120<br>
●刃幅(mm):27<br>
●全長(mm):350<br>
●刃渡り(mm):110<br>
●刃:高炭素刃物鋼（SK-5）<br>
●柄:ポプラ",■〒トラスコ中山/ＴＲＵＳＣＯ 農機具【NKK】(8184362) ＴＲＵＳＣＯ 縄切鎌 発注単位1：クローバー資材館,■〒トラスコ中山/ＴＲＵＳＣＯ 農機具【NKK】(8184362) ＴＲＵＳＣＯ 縄切鎌 発注単位1,オフィス住設用品\緑化用品。■〒トラスコ中山/ＴＲＵＳＣＯ 農機具【NKK】(8184362) ＴＲＵＳＣＯ 縄切鎌 発注単位1[rn]
16-23257,,5497.6000,,花・ガーデン・DIY > DIY・工具 > その他,■〒マルハチ産業/ダリヤ オイラー【12100】(8202762) ダリヤ 背負式噴霧器 発注単位1,オフィス住設用品\緑化用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●ハンドル部分がタンクの左右どちらにも装着できるので左利き右利きの人にも便利です。<br>
●植物の病害虫の消毒散布に。<br>
●除草剤や液肥の散布に。<br>
●容量(L):12<br>
●ノズル:二頭口<br>
●ノズル長さ(mm):930<br>
●ホース長さ(m):1.3<br>
●背負式、半自動、下ハンドル式両サイド型<br>
●延長パイプ2段式<br>
●ノズル:グラスファイバー・ポリプロピレン（PP）<br>
●タンク:ポリエチレン（PE）<br>
●ホース:塩化ビニール（PVC）",■〒マルハチ産業/ダリヤ オイラー【12100】(8202762) ダリヤ 背負式噴霧器 発注単位1：クローバー資材館,■〒マルハチ産業/ダリヤ オイラー【12100】(8202762) ダリヤ 背負式噴霧器 発注単位1,オフィス住設用品\緑化用品。■〒マルハチ産業/ダリヤ オイラー【12100】(8202762) ダリヤ 背負式噴霧器 発注単位1[rn]
16-23258,,5272.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒モリタ宮田工業（モリタ防災テ/ＭＯＲＩＴＡ【EFC6】(7730497) ＡＢＣ粉末加圧式消火器 受注単位1,オフィス住設用品\防災・防犯用品\消火器,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ダイオキシンを発生する素材を使用していません。<br><br>●適用火災：普通火災・油火災・電気火災。<br><br>●放射時間(秒)：約15<br>●放射距離(m)：3～6<br>●薬剤量(kg)：2.0<br>●高さ(mm)：445<br><br>●ガス加圧式<br>●設計標準使用期限：10年<br>●リサイクルシール付<br><br>",『カード対応OK！』■〒モリタ宮田工業（モリタ防災テ/ＭＯＲＩＴＡ【EFC6】(7730497) ＡＢＣ粉末加圧式消火器 受注単位1：クローバー資材館,『カード対応OK！』■〒モリタ宮田工業（モリタ防災テ/ＭＯＲＩＴＡ【EFC6】(7730497) ＡＢＣ粉末加圧式消火器 受注単位1,オフィス住設用品\防災・防犯用品\消火器。『カード対応OK！』■〒モリタ宮田工業（モリタ防災テ/ＭＯＲＩＴＡ【EFC6】(7730497) ＡＢＣ粉末加圧式消火器 受注単位1[rn]
16-23259,,9072.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒モリタ宮田工業（モリタ防災テ/ＭＯＲＩＴＡ【EFC10DD】(7730446) ＡＢＣ粉末消火器１０型 受注単位1,オフィス住設用品\防災・防犯用品\消火器,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●サビに強い底部樹脂加工です。<br>●「OK」「使用済」「要点検」表示で、点検が必要かひと目で分かります。<br><br>●適用火災：普通火災・油火災・電気火災。<br><br>●放射時間(秒)：約17<br>●放射距離(m)：4～6<br>●薬剤量(kg)：3.5<br>●高さ(mm)：514<br><br>●ガス加圧式<br>●ストップ機能付<br>●設計標準使用期限：10年<br>●リサイクルシール付<br><br>",『カード対応OK！』■〒モリタ宮田工業（モリタ防災テ/ＭＯＲＩＴＡ【EFC10DD】(7730446) ＡＢＣ粉末消火器１０型 受注単位1：クローバー資材館,『カード対応OK！』■〒モリタ宮田工業（モリタ防災テ/ＭＯＲＩＴＡ【EFC10DD】(7730446) ＡＢＣ粉末消火器１０型 受注単位1,オフィス住設用品\防災・防犯用品\消火器。『カード対応OK！』■〒モリタ宮田工業（モリタ防災テ/ＭＯＲＩＴＡ【EFC10DD】(7730446) ＡＢＣ粉末消火器１０型 受注単位1[rn]
16-23260,,12247.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日本ドライケミカル/ドライケミカル【PAN-20AP】(7729871) ＡＢＣ粉末消火器２０型 受注単位1,オフィス住設用品\防災・防犯用品\消火器,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ハンドルを離すと噴射が一時ストップします。<br>●使用済かどうかひと目で分かるプレッシャーアイ付です。<br>●リサイクルが容易なアルミ容器を使用しています。<br>●従来の鉄製容器に比べ耐食性に優れ軽量で取り扱いが簡単です。<br><br>●適用火災：普通火災・油火災・電気火災。<br><br>●放射時間(秒)：約22<br>●放射距離(m)：3～6<br>●薬剤量(kg)：6.0<br>●高さ(mm)：582<br><br>●ガス加圧式<br>●ストップ機能付<br>●プレッシャーアイ付<br>●アルミ製<br>●設計標準使用期限：10年<br>●リサイクルシール付<br><br>",『カード対応OK！』■〒日本ドライケミカル/ドライケミカル【PAN-20AP】(7729871) ＡＢＣ粉末消火器２０型 受注単位1：クローバー資材館,『カード対応OK！』■〒日本ドライケミカル/ドライケミカル【PAN-20AP】(7729871) ＡＢＣ粉末消火器２０型 受注単位1,オフィス住設用品\防災・防犯用品\消火器。『カード対応OK！』■〒日本ドライケミカル/ドライケミカル【PAN-20AP】(7729871) ＡＢＣ粉末消火器２０型 受注単位1[rn]
16-23261,,9752.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒モリタ宮田工業（モリタ防災テ/ＭＯＲＩＴＡ【NF2】(7730543) 中性強化液消火器 受注単位1,オフィス住設用品\防災・防犯用品\消火器,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●サビに強い底部樹脂加工タイプです。<br>●「OK」「使用済」「要点検」表示で、使用したか否かひと目で分かります。<br>●使用可能かひと目で分かるゲージ付です。<br><br>●適用火災：普通火災・油火災・電気火災。<br>●事務所等<br><br>●放射時間(秒)：約22<br>●放射距離(m)：5～7<br>●薬剤量(kg)：2<br>●高さ(mm)：455<br><br>●蓄圧式<br>●設計標準使用期限：10年<br>●リサイクルシール付<br>●蓄圧式<br>●耐用年数：８年<br><br>",『カード対応OK！』■〒モリタ宮田工業（モリタ防災テ/ＭＯＲＩＴＡ【NF2】(7730543) 中性強化液消火器 受注単位1：クローバー資材館,『カード対応OK！』■〒モリタ宮田工業（モリタ防災テ/ＭＯＲＩＴＡ【NF2】(7730543) 中性強化液消火器 受注単位1,オフィス住設用品\防災・防犯用品\消火器。『カード対応OK！』■〒モリタ宮田工業（モリタ防災テ/ＭＯＲＩＴＡ【NF2】(7730543) 中性強化液消火器 受注単位1[rn]
16-23262,,50463.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』##■〒日本ドライケミカル/ドライケミカル【PAN-50WXE】(7729880) ＡＢＣ粉末消火器車載式大型５０型 受注単位1,オフィス住設用品\防災・防犯用品\消火器,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font><br>
<br><br><font size=""4"" color=""""><b>※こちらの商品は送料が別途発生する場合があります。詳しくはお問い合わせください。</b></font><br>
※追加送料は別途当店からのメールで訂正されます。<br><br>
<br><br>●電気設備のある場所やボイラー室での使用に適しています。<br><br>●適用火災：普通火災・油火災・電気火災。<br><br>●放射時間(秒)：約36<br>●放射距離(m)：6～10<br>●薬剤量(kg)：20<br>●高さ(mm)：900<br><br>●蓄圧式<br>●設計標準使用期限：10年<br>●リサイクルシール付<br><br>",『カード対応OK！』##■〒日本ドライケミカル/ドライケミカル【PAN-50WXE】(7729880) ＡＢＣ粉末消火器車載式大型５０型 受注単位1：クローバー資材館,『カード対応OK！』##■〒日本ドライケミカル/ドライケミカル【PAN-50WXE】(7729880) ＡＢＣ粉末消火器車載式大型５０型 受注単位1,オフィス住設用品\防災・防犯用品\消火器。『カード対応OK！』##■〒日本ドライケミカル/ドライケミカル【PAN-50WXE】(7729880) ＡＢＣ粉末消火器車載式大型５０型 受注単位1[rn]
16-23263,,7024.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ヤマトプロテック/ヤマト【YA-10X3】(4954998) ＡＢＣ粉末消火器　蓄圧式 受注単位1,オフィス住設用品\防災・防犯用品\消火器,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●スタイリッシュな一体成形ボディーにより世界標準の品質です。<br>●低重心により転倒しにくい構造です。<br><br>●事務所・工場など<br>●適用火災：普通火災・油火災・電気火災。<br><br>●放射時間(秒)：14<br>●放射距離(m)：4～7<br>●薬剤量(kg)：3.0<br>●高さ(mm)：440<br><br>●蓄圧式<br>●設計標準使用期限：10年<br>●リサイクルシール付<br><br>●鉄<br>",『カード対応OK！』■〒ヤマトプロテック/ヤマト【YA-10X3】(4954998) ＡＢＣ粉末消火器　蓄圧式 受注単位1：クローバー資材館,『カード対応OK！』■〒ヤマトプロテック/ヤマト【YA-10X3】(4954998) ＡＢＣ粉末消火器　蓄圧式 受注単位1,オフィス住設用品\防災・防犯用品\消火器。『カード対応OK！』■〒ヤマトプロテック/ヤマト【YA-10X3】(4954998) ＡＢＣ粉末消火器　蓄圧式 受注単位1[rn]
16-23264,,4422.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒モリタ宮田工業（モリタ防災テ/ＭＯＲＩＴＡ【EFC4】(7730471) ＡＢＣ粉末加圧式消火器 受注単位1,オフィス住設用品\防災・防犯用品\消火器,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ダイオキシンを発生する素材を使用していません。<br><br>●適用火災：普通火災・油火災・電気火災。<br><br>●放射時間(秒)：約14<br>●放射距離(m)：2～5<br>●薬剤量(kg)：1.2<br>●高さ(mm)：380<br><br>●ガス加圧式<br>●設計標準使用期限：10年<br>●リサイクルシール付<br><br>",『カード対応OK！』■〒モリタ宮田工業（モリタ防災テ/ＭＯＲＩＴＡ【EFC4】(7730471) ＡＢＣ粉末加圧式消火器 受注単位1：クローバー資材館,『カード対応OK！』■〒モリタ宮田工業（モリタ防災テ/ＭＯＲＩＴＡ【EFC4】(7730471) ＡＢＣ粉末加圧式消火器 受注単位1,オフィス住設用品\防災・防犯用品\消火器。『カード対応OK！』■〒モリタ宮田工業（モリタ防災テ/ＭＯＲＩＴＡ【EFC4】(7730471) ＡＢＣ粉末加圧式消火器 受注単位1[rn]
16-23265,,33168.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒モリタ宮田工業（モリタ防災テ/ＭＯＲＩＴＡ【WS8】(7730616) 水（浸潤剤等入）消火器 受注単位1,オフィス住設用品\防災・防犯用品\消火器,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●クリーン性が高く、二次災害の影響が少ない純水ベースの消火薬剤を採用しています。<br>●超低電導性薬剤と霧状放射ノズルにより通電火災にも適応できます。<br>●炭酸ガス式消火器では対応できない「A(普通)火災」に使用できます。<br><br>●クリーンルームに。<br><br>●放射時間(秒)：約52<br>●放射距離(m)：6～8<br>●薬剤量(kg)：7.5<br>●高さ(mm)：665<br><br>●蓄圧式<br>●耐用年数：10年<br>●リサイクルシール付<br>●RoHS指令対応<br>●使用温度範囲：－0℃＋40℃<br><br>",『カード対応OK！』■〒モリタ宮田工業（モリタ防災テ/ＭＯＲＩＴＡ【WS8】(7730616) 水（浸潤剤等入）消火器 受注単位1：クローバー資材館,『カード対応OK！』■〒モリタ宮田工業（モリタ防災テ/ＭＯＲＩＴＡ【WS8】(7730616) 水（浸潤剤等入）消火器 受注単位1,オフィス住設用品\防災・防犯用品\消火器。『カード対応OK！』■〒モリタ宮田工業（モリタ防災テ/ＭＯＲＩＴＡ【WS8】(7730616) 水（浸潤剤等入）消火器 受注単位1[rn]
16-23266,,8278.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒モリタ宮田工業（モリタ防災テ/ＭＯＲＩＴＡ【MEA4】(7730527) アルテシモ　粉末・蓄圧式・ストップ機能付４型 受注単位1,オフィス住設用品\防災・防犯用品\消火器,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●軽くてサビにくいアルミ製消火器です。<br>●アルミを採用することで総重量を約20％減量し、より扱いやすさを実現しています。<br>●アルミ地を活かした継ぎ目のない美しいフォルムです。<br>●視認しやすい書体と色使いのユニバーサルデザインを採用しています。<br><br>●業務用。<br><br>●放射時間(秒)：約13<br>●放射距離(m)：3～5<br>●薬剤量(kg)：1.2<br>●高さ(mm)：385<br>●適応：マンション・ビル・一般工場等<br><br>●蓄圧式<br>●耐用年数：10年<br>●リサイクルシール付<br>●使用温度範囲：－30℃＋40℃<br>●RoHS指令対応品<br><br>",『カード対応OK！』■〒モリタ宮田工業（モリタ防災テ/ＭＯＲＩＴＡ【MEA4】(7730527) アルテシモ　粉末・蓄圧式・ストップ機能付４型 受注単位1：クローバー資材館,『カード対応OK！』■〒モリタ宮田工業（モリタ防災テ/ＭＯＲＩＴＡ【MEA4】(7730527) アルテシモ　粉末・蓄圧式・ストップ機能付４型 受注単位1,オフィス住設用品\防災・防犯用品\消火器。『カード対応OK！』■〒モリタ宮田工業（モリタ防災テ/ＭＯＲＩＴＡ【MEA4】(7730527) アルテシモ　粉末・蓄圧式・ストップ機能付４型 受注単位1[rn]
16-23267,,8464.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒マルヤマエクセル/マルヤマ【AHB-10P】(7697716) 蓄圧式ＡＢＣ粉末３．０Ｋｇ 受注単位1,オフィス住設用品\防災・防犯用品\消火器,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●環境に優しいエコ消火器です。<br><br>●適用火災：普通火災・油火災・電気火災。<br><br>●放射時間(秒)：約1４<br>●放射距離(m)：3～６<br>●薬剤量(kg)：3.0<br>●高さ(mm)：47３<br><br>●蓄圧式<br>●設計標準使用期限：10年<br>●リサイクルシール付<br><br>",『カード対応OK！』■〒マルヤマエクセル/マルヤマ【AHB-10P】(7697716) 蓄圧式ＡＢＣ粉末３．０Ｋｇ 受注単位1：クローバー資材館,『カード対応OK！』■〒マルヤマエクセル/マルヤマ【AHB-10P】(7697716) 蓄圧式ＡＢＣ粉末３．０Ｋｇ 受注単位1,オフィス住設用品\防災・防犯用品\消火器。『カード対応OK！』■〒マルヤマエクセル/マルヤマ【AHB-10P】(7697716) 蓄圧式ＡＢＣ粉末３．０Ｋｇ 受注単位1[rn]
16-23268,,7824.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒モリタ宮田工業（モリタ防災テ/ＭＯＲＩＴＡ【EFC10】(7730438) ＡＢＣ粉末消火器１０型 受注単位1,オフィス住設用品\防災・防犯用品\消火器,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●サビに強い底部樹脂加工です。<br>●「OK」「使用済」「要点検」表示で、点検が必要かひと目で分かります。<br><br>●適用火災：普通火災・油火災・電気火災。<br><br>●放射時間(秒)：約15<br>●放射距離(m)：3～6<br>●薬剤量(kg)：3.0<br>●高さ(mm)：445<br><br>●ガス加圧式<br>●設計標準使用期限：10年<br>●リサイクルシール付<br><br>",『カード対応OK！』■〒モリタ宮田工業（モリタ防災テ/ＭＯＲＩＴＡ【EFC10】(7730438) ＡＢＣ粉末消火器１０型 受注単位1：クローバー資材館,『カード対応OK！』■〒モリタ宮田工業（モリタ防災テ/ＭＯＲＩＴＡ【EFC10】(7730438) ＡＢＣ粉末消火器１０型 受注単位1,オフィス住設用品\防災・防犯用品\消火器。『カード対応OK！』■〒モリタ宮田工業（モリタ防災テ/ＭＯＲＩＴＡ【EFC10】(7730438) ＡＢＣ粉末消火器１０型 受注単位1[rn]
16-23269,,12451.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』###■〒大日製罐/ＤＩＣ【CM-S1240G】(1577972) クリーンマット　グリーン　ＣＭ－Ｓ１２４０Ｇ　６００ｍｍ×１２００ｍｍ 受注単位1,オフィス住設用品\床材用品\クリーンマット,"<br><font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<font size=""4"" color=""""><b>※こちらの商品は代引きでのお取り扱いはできません。ご入金確認後のお手配です。</b></font><br><br>
<br><font size=""4"" color=""""><b>※こちらの商品は規定外の為別途送料がかかります。詳しくはお問い合わせください。</b></font><br>
※追加送料は別途当店からのメールで訂正されます。<br><br>
<br><br>●フィルム表面に抗菌効果を持つので、二次感染を防ぎます。<br>●使用後フィルムは、焼却処分できます。<br>●粘着力：２．５５±０．５（Ｎ/２５mm）<br><br><br>●色：グリーン<br>●幅(mm)：600<br>●長さ(mm)：1200<br>●厚み(mm)：2.4<br>●シート入数(枚)：40<br>●１シート当たりの質量(kg)：2.3<br>●1枚当たりの厚み(mm)：0.202<br><br>●フィルム厚み：58μm<br><br>●フィルム：ポリエチレン（PE）<br>●粘着剤：アクリル系<br>",『カード対応OK！』###■〒大日製罐/ＤＩＣ【CM-S1240G】(1577972) クリーンマット　グリーン　ＣＭ&minus;Ｓ１２４０Ｇ　６００ｍｍ&times;１２００ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』###■〒大日製罐/ＤＩＣ【CM-S1240G】(1577972) クリーンマット　グリーン　ＣＭ&minus;Ｓ１２４０Ｇ　６００ｍｍ&times;１２００ｍｍ 受注単位1,オフィス住設用品\床材用品\クリーンマット。『カード対応OK！』###■〒大日製罐/ＤＩＣ【CM-S1240G】(1577972) クリーンマット　グリーン　ＣＭ&minus;Ｓ１２４０Ｇ　６００ｍｍ&times;１２００ｍｍ 受注単位1[rn]
16-23270,,19844.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』###■〒橋本クロス/橋本【NMT-30B(WIDE)】(7538723) ＨＣ粘着マットＮＭＴ－３０Ｂ（大）６００×１２００ｍｍ（１０シート／箱） 受注単位1,オフィス住設用品\床材用品\クリーンマット,"<br><font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<font size=""4"" color=""""><b>※こちらの商品は代引きでのお取り扱いはできません。ご入金確認後のお手配です。</b></font><br><br>
<br><font size=""4"" color=""""><b>※こちらの商品は規定外の為別途送料がかかります。詳しくはお問い合わせください。</b></font><br>
※追加送料は別途当店からのメールで訂正されます。<br><br>
<br><br>●エアシャワー内、出入り口に設置し汚れの侵入をストップします。<br>●汚れたら１枚ずつはがして使えるディスポタイプです。<br>●連番タックが付いており枚数管理が簡単です。<br>●裏面粘着タイプで簡単に固定でき、ベースマットが不要です。<br>●汚れ・ゴミの付着が目立つ青色シートです。<br><br>●半導体工場、食品工場。<br>●病院、福祉施設。<br>●クリーンエリアの出入り口。<br><br>●色：ブルー<br>●幅(mm)：600<br>●長さ(mm)：1200<br>●厚み(mm)：1.6<br><br>●1シート：フィルム３０枚<br>●フィルム厚み：50μm<br><br>●フィルム：低密度ポリエチレン(LDPE)<br>●粘着剤：水性アクリル乳酸<br>",『カード対応OK！』###■〒橋本クロス/橋本【NMT-30B(WIDE)】(7538723) ＨＣ粘着マットＮＭＴ&minus;３０Ｂ（大）６００&times;１２００ｍｍ（１０シート／箱） 受注単位1：クローバー資材館,『カード対応OK！』###■〒橋本クロス/橋本【NMT-30B(WIDE)】(7538723) ＨＣ粘着マットＮＭＴ&minus;３０Ｂ（大）６００&times;１２００ｍｍ（１０シート／箱） 受注単位1,オフィス住設用品\床材用品\クリーンマット。『カード対応OK！』###■〒橋本クロス/橋本【NMT-30B(WIDE)】(7538723) ＨＣ粘着マットＮＭＴ&minus;３０Ｂ（大）６００&times;１２００ｍｍ（１０シート／箱） 受注単位1[rn]
16-23271,,11080.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒（株）テラモト/テラモト 【MR-123-540-0】(4321022)粘着マットシートＡＳＴ６００×９００ｍｍ 受注単位1,オフィス住設用品\床材用品\クリーンマット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●除塵強粘着タイプで、抗菌剤、帯電防止剤入です。<br>●通し番号入シートです。<br>●除塵強粘着シート。<br>●半導体、精密機器、食品などの工場や、病院の検査室用マット。<br>●色:透明<br>●幅(mm):600<br>●長さ(mm):900<br>●厚み(mm):3.6<br>●質量(kg):1.8<br>●シート入数(枚):60<br>●1シート：フィルム60枚<br>●フィルム厚み：58μm<br>●60枚層(通し番号入)<br>●ポリエチレンフィルム<br>●専用マットフレームは別売りです。<br>",『カード対応OK！』■〒（株）テラモト/テラモト 【MR-123-540-0】(4321022)粘着マットシートＡＳＴ６００&times;９００ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒（株）テラモト/テラモト 【MR-123-540-0】(4321022)粘着マットシートＡＳＴ６００&times;９００ｍｍ 受注単位1,オフィス住設用品\床材用品\クリーンマット。『カード対応OK！』■〒（株）テラモト/テラモト 【MR-123-540-0】(4321022)粘着マットシートＡＳＴ６００&times;９００ｍｍ 受注単位1[rn]
