16-164601,http://tshop.r10s.jp/cps-mm/cabinet/gt3/imgms303-10001.jpg?fitin=700:700,54400.0000,,車用品・バイク用品 > カー用品 > 補強パーツ > その他,TRD MS303-10001 MCB(モーションコントロールビーム) C-HR(1#系),,"走行中に発生する微振動や、わずかな変形を吸収・減衰し、ボディ剛性も高めて応答性を向上。
車両のロール速度を減速させ、四輪の接地感を高めます。 

※MCBはアイシン精機株式会社の登録商標です。
 

■適合
 
C-HR(1#系) 

※適合につきましては、必ずメーカーサイトにてご確認ください。",TRD MS303-10001 MCB(モーションコントロールビーム) C-HR(1#系)：Car Parts Shop MM,ホイールバッテリー充電器カー用品オーディオスピーカーオイルナビゲーションプラグチェーンetcハーネス取付金具地デジドライブレコーダーTRD工具ツールセットオートエグゼMUGENNISMOTRD MS303-10001 MCB(モーションコントロールビーム) C-HR(1#系),TRD MS303-10001 MCB(モーションコントロールビーム) C-HR(1#系)[rn]
16-164678,http://tshop.r10s.jp/parts/cabinet/detail-aa04/aa04-sd.jpg?fitin=700:700,17211.2000,,車用品・バイク用品 > カー用品 > ブレーキ > ブレーキローター,DIXCEL（ディクセル）トヨタ ランドクルーザー フロント ブレーキディスクローター SDタイプ FJ80G ランドクルーザー ( 90/1～92/8)SD3118126,【！！DIXCEL送料無料！！】SD3118126,スリットのシェービング効果により、パッドから発生するガスや粉をディスク表面より効率よく排出。およそ20％の制動性能が向上し高い食付き感が得られ、タッチも良くなります。<br>スリットの角度、深さなども実践データにより最適化。防錆コーティングを導入し錆の発生を抑制。ブレーキの効きを良くしたい・フィーリングに不満があるという方やワインディングやサーキット走行を楽しむ方にお勧め。※通常商品は6本スリットですが、12本スリット仕様への加工も承ります（加工費税別6000円）。ご注文時にお申し付けください。<br>※スリットローターはパッドの摩耗を早めます。装着の際は左右の向きにご注意下さい。防錆処理・熱処理は一部車種によって異なります。 防錆コーティングは錆の発生を抑制するもので完全に阻止できるものではございません。<br><br>対応車種：FJ80G ランドクルーザー ( 90/1～92/8)<br><br>ブレーキ | ブレーキローター<br>トヨタ | ランドクルーザー | J80系,DIXCEL（ディクセル）トヨタ ランドクルーザー フロント ブレーキディスクローター SDタイプ FJ80G ランドクルーザー ( 90/1～92/8)SD3118126：ＰＡＲＴＳ,ヘッドライトテールライトコーナーライトサイドマーカーカーボンアンテナドアミラーエアロメーターパネルリップスポイラーウイングホイールカバーペダル車高調ブレーキドライブレコーダーワイパーグリルボンネットローダウンDIXCEL（ディクセル）トヨタ ランドクルーザー フロント ブレーキディスクローター SDタイプ FJ80G ランドクルーザー ( 90/1～92/8)SD3118126,【！！DIXCEL送料無料！！】SD3118126。DIXCEL（ディクセル）トヨタ ランドクルーザー フロント ブレーキディスクローター SDタイプ FJ80G ランドクルーザー ( 90/1～92/8)SD3118126[rn]
16-164679,http://tshop.r10s.jp/parts/cabinet/detail-aa04/aa04-hs.jpg?fitin=700:700,25099.2000,,車用品・バイク用品 > カー用品 > ブレーキ > ブレーキローター,DIXCEL（ディクセル）トヨタ タコマ フロント ブレーキディスクローター HSタイプ 3.4 (4WD) タコマ ( 95～03)HS3119093,【！！DIXCEL送料無料！！】HS3119093,より高い安定性とより高い制動力、熱処理ローターとスリットローターのメリットを融合して生まれたHSタイプ。ストリートではスリットの効果が得られ低温時から高い摩擦係数を体感でき、サーキットでは比類なき安定性と高温時においても高い摩擦係数を維持します。<br>制動力と安定性を高次元で融合。ストリートからサーキットまであらゆるシチュエーションでパフォーマンスを発揮するディクセルのハイエンドモデルです。※通常商品は6本スリットですが、12本スリット仕様への加工も承ります（加工費税別6000円）。ご注文時にお申し付けください。<br>※スリットローターはパッドの摩耗を早めます。装着の際は左右の向きにご注意下さい。防錆処理・熱処理は一部車種によって異なります。 防錆コーティングは錆の発生を抑制するもので完全に阻止できるものではございません。※必ず当たり付けは行って下さい。<br><br>対応車種：3.4 (4WD) タコマ ( 95～03)<br><br>ブレーキ | ブレーキローター<br>トヨタ | タコマ | 1995-2004モデル,DIXCEL（ディクセル）トヨタ タコマ フロント ブレーキディスクローター HSタイプ 3.4 (4WD) タコマ ( 95～03)HS3119093：ＰＡＲＴＳ,ヘッドライトテールライトコーナーライトサイドマーカーカーボンアンテナドアミラーエアロメーターパネルリップスポイラーウイングホイールカバーペダル車高調ブレーキドライブレコーダーワイパーグリルボンネットローダウンDIXCEL（ディクセル）トヨタ タコマ フロント ブレーキディスクローター HSタイプ 3.4 (4WD) タコマ ( 95～03)HS3119093,【！！DIXCEL送料無料！！】HS3119093。DIXCEL（ディクセル）トヨタ タコマ フロント ブレーキディスクローター HSタイプ 3.4 (4WD) タコマ ( 95～03)HS3119093[rn]
16-164680,http://tshop.r10s.jp/parts/cabinet/detail-aa04/aa04-hs.jpg?fitin=700:700,33131.2000,,車用品・バイク用品 > カー用品 > ブレーキ > ブレーキローター,DIXCEL（ディクセル）キャデラック セビル リア ブレーキディスクローター HSタイプ 97 キャデラック セビル 4.6/4.9 (AK34K/AK34J)HS1856245,【！！DIXCEL送料無料！！】HS1856245,より高い安定性とより高い制動力、熱処理ローターとスリットローターのメリットを融合して生まれたHSタイプ。ストリートではスリットの効果が得られ低温時から高い摩擦係数を体感でき、サーキットでは比類なき安定性と高温時においても高い摩擦係数を維持します。<br>制動力と安定性を高次元で融合。ストリートからサーキットまであらゆるシチュエーションでパフォーマンスを発揮するディクセルのハイエンドモデルです。※通常商品は6本スリットですが、12本スリット仕様への加工も承ります（加工費税別6000円）。ご注文時にお申し付けください。<br>※スリットローターはパッドの摩耗を早めます。装着の際は左右の向きにご注意下さい。防錆処理・熱処理は一部車種によって異なります。 防錆コーティングは錆の発生を抑制するもので完全に阻止できるものではございません。※必ず当たり付けは行って下さい。 <br><br>対応車種：97 キャデラック セビル 4.6/4.9 (AK34K/AK34J)<br><br>ブレーキ | ブレーキローター<br>キャデラック | セビル | 全モデル,DIXCEL（ディクセル）キャデラック セビル リア ブレーキディスクローター HSタイプ 97 キャデラック セビル 4.6/4.9 (AK34K/AK34J)HS1856245：ＰＡＲＴＳ,ヘッドライトテールライトコーナーライトサイドマーカーカーボンアンテナドアミラーエアロメーターパネルリップスポイラーウイングホイールカバーペダル車高調ブレーキドライブレコーダーワイパーグリルボンネットローダウンDIXCEL（ディクセル）キャデラック セビル リア ブレーキディスクローター HSタイプ 97 キャデラック セビル 4.6/4.9 (AK34K/AK34J)HS1856245,【！！DIXCEL送料無料！！】HS1856245。DIXCEL（ディクセル）キャデラック セビル リア ブレーキディスクローター HSタイプ 97 キャデラック セビル 4.6/4.9 (AK34K/AK34J)HS1856245[rn]
16-164681,http://tshop.r10s.jp/parts/cabinet/detail-aa04/aa04-sd.jpg?fitin=700:700,22948.0000,,車用品・バイク用品 > カー用品 > ブレーキ > ブレーキローター,DIXCEL（ディクセル）ボルボ 960 フロント ブレーキディスクローター SDタイプ 90/9～91/8 ボルボ 960エステート 2.5/2.8/2.9 (9B6254/280/6304W)SD1612719,【！！DIXCEL送料無料！！】SD1612719,スリットのシェービング効果により、パッドから発生するガスや粉をディスク表面より効率よく排出。およそ20％の制動性能が向上し高い食付き感が得られ、タッチも良くなります。<br>スリットの角度、深さなども実践データにより最適化。防錆コーティングを導入し錆の発生を抑制。ブレーキの効きを良くしたい・フィーリングに不満があるという方やワインディングやサーキット走行を楽しむ方にお勧め。※通常商品は6本スリットですが、12本スリット仕様への加工も承ります（加工費税別6000円）。ご注文時にお申し付けください。<br>※スリットローターはパッドの摩耗を早めます。装着の際は左右の向きにご注意下さい。防錆処理・熱処理は一部車種によって異なります。 防錆コーティングは錆の発生を抑制するもので完全に阻止できるものではございません。 <br><br>対応車種：90/9～91/8 ボルボ 960エステート 2.5/2.8/2.9 (9B6254/280/6304W) ※ABS付<br><br>ブレーキ | ブレーキローター<br>ボルボ | 960 | 全モデル,DIXCEL（ディクセル）ボルボ 960 フロント ブレーキディスクローター SDタイプ 90/9～91/8 ボルボ 960エステート 2.5/2.8/2.9 (9B6254/280/6304W)SD1612719：ＰＡＲＴＳ,ヘッドライトテールライトコーナーライトサイドマーカーカーボンアンテナドアミラーエアロメーターパネルリップスポイラーウイングホイールカバーペダル車高調ブレーキドライブレコーダーワイパーグリルボンネットローダウンDIXCEL（ディクセル）ボルボ 960 フロント ブレーキディスクローター SDタイプ 90/9～91/8 ボルボ 960エステート 2.5/2.8/2.9 (9B6254/280/6304W)SD1612719,【！！DIXCEL送料無料！！】SD1612719。DIXCEL（ディクセル）ボルボ 960 フロント ブレーキディスクローター SDタイプ 90/9～91/8 ボルボ 960エステート 2.5/2.8/2.9 (9B6254/280/6304W)SD1612719[rn]
16-164682,http://tshop.r10s.jp/parts/cabinet/detail-aa04/aa04-sd.jpg?fitin=700:700,16494.4000,,車用品・バイク用品 > カー用品 > ブレーキ > ブレーキローター,DIXCEL（ディクセル）トヨタ ランドクルーザー フロント ブレーキディスクローター SDタイプ HDJ81V ランドクルーザー ( 92/8～98/1)SD3118272,【！！DIXCEL送料無料！！】SD3118272,スリットのシェービング効果により、パッドから発生するガスや粉をディスク表面より効率よく排出。およそ20％の制動性能が向上し高い食付き感が得られ、タッチも良くなります。<br>スリットの角度、深さなども実践データにより最適化。防錆コーティングを導入し錆の発生を抑制。ブレーキの効きを良くしたい・フィーリングに不満があるという方やワインディングやサーキット走行を楽しむ方にお勧め。※通常商品は6本スリットですが、12本スリット仕様への加工も承ります（加工費税別6000円）。ご注文時にお申し付けください。<br>※スリットローターはパッドの摩耗を早めます。装着の際は左右の向きにご注意下さい。防錆処理・熱処理は一部車種によって異なります。 防錆コーティングは錆の発生を抑制するもので完全に阻止できるものではございません。<br><br>対応車種：HDJ81V ランドクルーザー ( 92/8～98/1)<br><br>ブレーキ | ブレーキローター<br>トヨタ | ランドクルーザー | J80系,DIXCEL（ディクセル）トヨタ ランドクルーザー フロント ブレーキディスクローター SDタイプ HDJ81V ランドクルーザー ( 92/8～98/1)SD3118272：ＰＡＲＴＳ,ヘッドライトテールライトコーナーライトサイドマーカーカーボンアンテナドアミラーエアロメーターパネルリップスポイラーウイングホイールカバーペダル車高調ブレーキドライブレコーダーワイパーグリルボンネットローダウンDIXCEL（ディクセル）トヨタ ランドクルーザー フロント ブレーキディスクローター SDタイプ HDJ81V ランドクルーザー ( 92/8～98/1)SD3118272,【！！DIXCEL送料無料！！】SD3118272。DIXCEL（ディクセル）トヨタ ランドクルーザー フロント ブレーキディスクローター SDタイプ HDJ81V ランドクルーザー ( 92/8～98/1)SD3118272[rn]
16-164683,http://tshop.r10s.jp/parts/cabinet/detail-aa04/aa04-hs.jpg?fitin=700:700,31625.6000,,車用品・バイク用品 > カー用品 > ブレーキ > ブレーキローター,DIXCEL（ディクセル）クライスラー ボイジャー リア ブレーキディスクローター HSタイプ 99/12～01/04 クライスラー ボイジャー 3.3/3.8 V6HS1951155,【！！DIXCEL送料無料！！】HS1951155,より高い安定性とより高い制動力、熱処理ローターとスリットローターのメリットを融合して生まれたHSタイプ。ストリートではスリットの効果が得られ低温時から高い摩擦係数を体感でき、サーキットでは比類なき安定性と高温時においても高い摩擦係数を維持します。<br>制動力と安定性を高次元で融合。ストリートからサーキットまであらゆるシチュエーションでパフォーマンスを発揮するディクセルのハイエンドモデルです。※通常商品は6本スリットですが、12本スリット仕様への加工も承ります（加工費税別6000円）。ご注文時にお申し付けください。<br>※スリットローターはパッドの摩耗を早めます。装着の際は左右の向きにご注意下さい。防錆処理・熱処理は一部車種によって異なります。 防錆コーティングは錆の発生を抑制するもので完全に阻止できるものではございません。※必ず当たり付けは行って下さい。 <br><br>対応車種：99/12～01/04 クライスラー ボイジャー 3.3/3.8 V6 ※※要現車確認<br><br>ブレーキ | ブレーキローター<br>クライスラー | ボイジャー | GS,DIXCEL（ディクセル）クライスラー ボイジャー リア ブレーキディスクローター HSタイプ 99/12～01/04 クライスラー ボイジャー 3.3/3.8 V6HS1951155：ＰＡＲＴＳ,ヘッドライトテールライトコーナーライトサイドマーカーカーボンアンテナドアミラーエアロメーターパネルリップスポイラーウイングホイールカバーペダル車高調ブレーキドライブレコーダーワイパーグリルボンネットローダウンDIXCEL（ディクセル）クライスラー ボイジャー リア ブレーキディスクローター HSタイプ 99/12～01/04 クライスラー ボイジャー 3.3/3.8 V6HS1951155,【！！DIXCEL送料無料！！】HS1951155。DIXCEL（ディクセル）クライスラー ボイジャー リア ブレーキディスクローター HSタイプ 99/12～01/04 クライスラー ボイジャー 3.3/3.8 V6HS1951155[rn]
16-164684,http://tshop.r10s.jp/parts/cabinet/detail-aa04/aa04-fp.jpg?fitin=700:700,20080.0000,,車用品・バイク用品 > カー用品 > ブレーキ > ブレーキローター,DIXCEL（ディクセル）スバル インプレッサ フロント ブレーキディスクローター PDタイプ GDB インプレッサWRX STI (S202 (ブレンボ)  PCD：100 02/05～02/11)PD3617003,【！！DIXCEL送料無料！！】PD3617003,ディスク面の平行度、ランナウト、厚み変動といった基本的かつ重要な要件を高いレベルで実現。さらに防錆コーティングを導入し錆の発生を抑制し耐食性を向上。ローターの減りが気になる方やパッド交換を検討してる方におすすめ。<br>素材にはブレーキパッドとのミュー特性を考慮し定評のあるFC材を採用。さらにカーボン、シリコン、を始めとする各種添加剤を絶妙に配合し強度、耐熱性耐クラック性を向上。<br>※防錆処理・熱処理は一部車種によって異なります。 防錆コーティングは錆の発生を抑制するもので完全に阻止できるものではございません。※純正で高性能・ハイグレード材質のローターが採用されています。アップグレードにはFCRシリーズ(FP/FSタイプ)の装着を推奨致します。<br><br>対応車種：GDB インプレッサWRX STI (S202 (ブレンボ)  PCD：100 02/05～02/11)<br><br>ブレーキ | ブレーキローター<br>スバル | インプレッサ | GD/GG系,DIXCEL（ディクセル）スバル インプレッサ フロント ブレーキディスクローター PDタイプ GDB インプレッサWRX STI (S202 (ブレンボ)  PCD：100 02/05～02/11)PD3617003：ＰＡＲＴＳ,ヘッドライトテールライトコーナーライトサイドマーカーカーボンアンテナドアミラーエアロメーターパネルリップスポイラーウイングホイールカバーペダル車高調ブレーキドライブレコーダーワイパーグリルボンネットローダウンDIXCEL（ディクセル）スバル インプレッサ フロント ブレーキディスクローター PDタイプ GDB インプレッサWRX STI (S202 (ブレンボ)  PCD：100 02/05～02/11)PD3617003,【！！DIXCEL送料無料！！】PD3617003。DIXCEL（ディクセル）スバル インプレッサ フロント ブレーキディスクローター PDタイプ GDB インプレッサWRX STI (S202 (ブレンボ)  PCD：100 02/05～02/11)PD3617003[rn]
16-164685,http://tshop.r10s.jp/parts/cabinet/detail-aa04/aa04-pd.jpg?fitin=700:700,11474.4000,,車用品・バイク用品 > カー用品 > ブレーキ > ブレーキローター,DIXCEL（ディクセル）マツダ ファミリア フロント ブレーキディスクローター PDタイプ BJ5W ファミリア ワゴン (FF (エンジン ZL-VE) 98/4～00/09)PD3513059,【！！DIXCEL送料無料！！】PD3513059,ディスク面の平行度、ランナウト、厚み変動といった基本的かつ重要な要件を高いレベルで実現。さらに防錆コーティングを導入し錆の発生を抑制し耐食性を向上。ローターの減りが気になる方やパッド交換を検討してる方におすすめ。<br>素材にはブレーキパッドとのミュー特性を考慮し定評のあるFC材を採用。さらにカーボン、シリコン、を始めとする各種添加剤を絶妙に配合し強度、耐熱性耐クラック性を向上。<br>※防錆処理・熱処理は一部車種によって異なります。 防錆コーティングは錆の発生を抑制するもので完全に阻止できるものではございません。<br><br>対応車種：BJ5W ファミリア ワゴン (FF (エンジン ZL-VE) 98/4～00/09)<br><br>ブレーキ | ブレーキローター<br>マツダ | ファミリア | BJ#P,DIXCEL（ディクセル）マツダ ファミリア フロント ブレーキディスクローター PDタイプ BJ5W ファミリア ワゴン (FF (エンジン ZL-VE) 98/4～00/09)PD3513059：ＰＡＲＴＳ,ヘッドライトテールライトコーナーライトサイドマーカーカーボンアンテナドアミラーエアロメーターパネルリップスポイラーウイングホイールカバーペダル車高調ブレーキドライブレコーダーワイパーグリルボンネットローダウンDIXCEL（ディクセル）マツダ ファミリア フロント ブレーキディスクローター PDタイプ BJ5W ファミリア ワゴン (FF (エンジン ZL-VE) 98/4～00/09)PD3513059,【！！DIXCEL送料無料！！】PD3513059。DIXCEL（ディクセル）マツダ ファミリア フロント ブレーキディスクローター PDタイプ BJ5W ファミリア ワゴン (FF (エンジン ZL-VE) 98/4～00/09)PD3513059[rn]
16-164686,http://tshop.r10s.jp/parts/cabinet/detail-aa04/aa04-hs.jpg?fitin=700:700,27251.2000,,車用品・バイク用品 > カー用品 > ブレーキ > ブレーキローター,DIXCEL（ディクセル）ボルボ V60 フロント ブレーキディスクローター HSタイプ 11/06～ ボルボ V60 T6 AWD 3.0 (FB6304T) POLESTAR 除く Fr.316mm DISCHS211463,【！！DIXCEL送料無料！！】HS211463,より高い安定性とより高い制動力、熱処理ローターとスリットローターのメリットを融合して生まれたHSタイプ。ストリートではスリットの効果が得られ低温時から高い摩擦係数を体感でき、サーキットでは比類なき安定性と高温時においても高い摩擦係数を維持します。<br>制動力と安定性を高次元で融合。ストリートからサーキットまであらゆるシチュエーションでパフォーマンスを発揮するディクセルのハイエンドモデルです。※通常商品は6本スリットですが、12本スリット仕様への加工も承ります（加工費税別6000円）。ご注文時にお申し付けください。<br>※スリットローターはパッドの摩耗を早めます。装着の際は左右の向きにご注意下さい。防錆処理・熱処理は一部車種によって異なります。 防錆コーティングは錆の発生を抑制するもので完全に阻止できるものではございません。※必ず当たり付けは行って下さい。<br><br>対応車種：11/06～ ボルボ V60 T6 AWD 3.0 (FB6304T) POLESTAR 除く Fr.316mm DISC<br><br>ブレーキ | ブレーキローター<br>ボルボ | V60 | 全モデル,DIXCEL（ディクセル）ボルボ V60 フロント ブレーキディスクローター HSタイプ 11/06～ ボルボ V60 T6 AWD 3.0 (FB6304T) POLESTAR 除く Fr.316mm DISCHS211463：ＰＡＲＴＳ,ヘッドライトテールライトコーナーライトサイドマーカーカーボンアンテナドアミラーエアロメーターパネルリップスポイラーウイングホイールカバーペダル車高調ブレーキドライブレコーダーワイパーグリルボンネットローダウンDIXCEL（ディクセル）ボルボ V60 フロント ブレーキディスクローター HSタイプ 11/06～ ボルボ V60 T6 AWD 3.0 (FB6304T) POLESTAR 除く Fr.316mm DISCHS211463,【！！DIXCEL送料無料！！】HS211463。DIXCEL（ディクセル）ボルボ V60 フロント ブレーキディスクローター HSタイプ 11/06～ ボルボ V60 T6 AWD 3.0 (FB6304T) POLESTAR 除く Fr.316mm DISCHS211463[rn]
16-164687,http://tshop.r10s.jp/parts/cabinet/detail-aa04/aa04-pd.jpg?fitin=700:700,6311.2000,,車用品・バイク用品 > カー用品 > ブレーキ > ブレーキローター,DIXCEL（ディクセル）ダイハツ ミラ フロント ブレーキディスクローター PDタイプ 13/02～ ミラ L285SPD3818035,【！！DIXCEL送料無料！！】PD3818035,ディスク面の平行度、ランナウト、厚み変動といった基本的かつ重要な要件を高いレベルで実現。ローターの減りが気になる方やパッドの交換を検討してる方におすすめ。<br>素材にはブレーキパッドとのミュー特性を考慮し定評のあるFC材を採用。 さらにカーボン、シリコン、を始めとする各種添加剤を絶妙に配合し強度、耐熱性耐クラック性を向上。<br>※画像は防錆処理されていない物での掲載ですが実際の商品には防錆処理が行ってあります。 <br><br>対応車種：13/02～ ミラ L285S<br><br>ブレーキ | ブレーキローター<br>ダイハツ | ミラ | L275/285系,DIXCEL（ディクセル）ダイハツ ミラ フロント ブレーキディスクローター PDタイプ 13/02～ ミラ L285SPD3818035：ＰＡＲＴＳ,ヘッドライトテールライトコーナーライトサイドマーカーカーボンアンテナドアミラーエアロメーターパネルリップスポイラーウイングホイールカバーペダル車高調ブレーキドライブレコーダーワイパーグリルボンネットローダウンDIXCEL（ディクセル）ダイハツ ミラ フロント ブレーキディスクローター PDタイプ 13/02～ ミラ L285SPD3818035,【！！DIXCEL送料無料！！】PD3818035。DIXCEL（ディクセル）ダイハツ ミラ フロント ブレーキディスクローター PDタイプ 13/02～ ミラ L285SPD3818035[rn]
16-164688,http://tshop.r10s.jp/parts/cabinet/detail-aa04/aa04-pd.jpg?fitin=700:700,14342.4000,,車用品・バイク用品 > カー用品 > ブレーキ > ブレーキローター,DIXCEL（ディクセル）シトロエン エグザンティア フロント ブレーキディスクローター PDタイプ 96/2～98/8 シトロエン エグザンティア ブレーク 2.0 (X1RFW)PD2112690,【！！DIXCEL送料無料！！】PD2112690,ディスク面の平行度、ランナウト、厚み変動といった基本的かつ重要な要件を高いレベルで実現。ローターの減りが気になる方やパッドの交換を検討してる方におすすめ。<br>素材にはブレーキパッドとのミュー特性を考慮し定評のあるFC材を採用。 さらにカーボン、シリコン、を始めとする各種添加剤を絶妙に配合し強度、耐熱性耐クラック性を向上。<br>※画像は防錆処理されていない物での掲載ですが実際の商品には防錆処理が行ってあります。 <br><br>対応車種：96/2～98/8 シトロエン エグザンティア ブレーク 2.0 (X1RFW)<br><br>ブレーキ | ブレーキローター<br>シトロエン | エグザンティア | 全モデル,DIXCEL（ディクセル）シトロエン エグザンティア フロント ブレーキディスクローター PDタイプ 96/2～98/8 シトロエン エグザンティア ブレーク 2.0 (X1RFW)PD2112690：ＰＡＲＴＳ,ヘッドライトテールライトコーナーライトサイドマーカーカーボンアンテナドアミラーエアロメーターパネルリップスポイラーウイングホイールカバーペダル車高調ブレーキドライブレコーダーワイパーグリルボンネットローダウンDIXCEL（ディクセル）シトロエン エグザンティア フロント ブレーキディスクローター PDタイプ 96/2～98/8 シトロエン エグザンティア ブレーク 2.0 (X1RFW)PD2112690,【！！DIXCEL送料無料！！】PD2112690。DIXCEL（ディクセル）シトロエン エグザンティア フロント ブレーキディスクローター PDタイプ 96/2～98/8 シトロエン エグザンティア ブレーク 2.0 (X1RFW)PD2112690[rn]
16-164689,http://tshop.r10s.jp/parts/cabinet/detail-aa04/aa04-hs.jpg?fitin=700:700,20796.8000,,車用品・バイク用品 > カー用品 > ブレーキ > ブレーキローター,DIXCEL（ディクセル）トヨタ セリカ フロント ブレーキディスクローター HSタイプ ZZT230 セリカ (SS-1 99/8～06/04)HS3118254,【！！DIXCEL送料無料！！】HS3118254,より高い安定性とより高い制動力、熱処理ローターとスリットローターのメリットを融合して生まれたHSタイプ。ストリートではスリットの効果が得られ低温時から高い摩擦係数を体感でき、サーキットでは比類なき安定性と高温時においても高い摩擦係数を維持します。<br>制動力と安定性を高次元で融合。ストリートからサーキットまであらゆるシチュエーションでパフォーマンスを発揮するディクセルのハイエンドモデルです。※通常商品は6本スリットですが、12本スリット仕様への加工も承ります（加工費税別6000円）。ご注文時にお申し付けください。<br>※スリットローターはパッドの摩耗を早めます。装着の際は左右の向きにご注意下さい。防錆処理・熱処理は一部車種によって異なります。 防錆コーティングは錆の発生を抑制するもので完全に阻止できるものではございません。※必ず当たり付けは行って下さい。<br><br>対応車種：ZZT230 セリカ (SS-1 99/8～06/04)<br><br>ブレーキ | ブレーキローター<br>トヨタ | セリカ | ZZT230/231,DIXCEL（ディクセル）トヨタ セリカ フロント ブレーキディスクローター HSタイプ ZZT230 セリカ (SS-1 99/8～06/04)HS3118254：ＰＡＲＴＳ,ヘッドライトテールライトコーナーライトサイドマーカーカーボンアンテナドアミラーエアロメーターパネルリップスポイラーウイングホイールカバーペダル車高調ブレーキドライブレコーダーワイパーグリルボンネットローダウンDIXCEL（ディクセル）トヨタ セリカ フロント ブレーキディスクローター HSタイプ ZZT230 セリカ (SS-1 99/8～06/04)HS3118254,【！！DIXCEL送料無料！！】HS3118254。DIXCEL（ディクセル）トヨタ セリカ フロント ブレーキディスクローター HSタイプ ZZT230 セリカ (SS-1 99/8～06/04)HS3118254[rn]
16-164690,http://tshop.r10s.jp/parts/cabinet/detail-aa04/aa04-sd.jpg?fitin=700:700,23665.6000,,車用品・バイク用品 > カー用品 > ブレーキ > ブレーキローター,DIXCEL（ディクセル）BMW 5シリーズ リア ブレーキディスクローター SDタイプ 06/10～ BMW E60 525i セダン (ＮE25)SD1251264,【！！DIXCEL送料無料！！】SD1251264,スリットのシェービング効果により、パッドから発生するガスや粉をディスク表面より効率よく排出。およそ20％の制動性能が向上し高い食付き感が得られ、タッチも良くなります。<br>スリットの角度、深さなども実践データにより最適化。防錆コーティングを導入し錆の発生を抑制。ブレーキの効きを良くしたい・フィーリングに不満があるという方やワインディングやサーキット走行を楽しむ方にお勧め。※通常商品は6本スリットですが、12本スリット仕様への加工も承ります（加工費税別6000円）。ご注文時にお申し付けください。<br>※スリットローターはパッドの摩耗を早めます。装着の際は左右の向きにご注意下さい。防錆処理・熱処理は一部車種によって異なります。 防錆コーティングは錆の発生を抑制するもので完全に阻止できるものではございません。 <br><br>対応車種：06/10～ BMW E60 525i セダン (ＮE25)<br><br>ブレーキ | ブレーキローター<br>BMW | 5シリーズ | E60/61,DIXCEL（ディクセル）BMW 5シリーズ リア ブレーキディスクローター SDタイプ 06/10～ BMW E60 525i セダン (ＮE25)SD1251264：ＰＡＲＴＳ,ヘッドライトテールライトコーナーライトサイドマーカーカーボンアンテナドアミラーエアロメーターパネルリップスポイラーウイングホイールカバーペダル車高調ブレーキドライブレコーダーワイパーグリルボンネットローダウンDIXCEL（ディクセル）BMW 5シリーズ リア ブレーキディスクローター SDタイプ 06/10～ BMW E60 525i セダン (ＮE25)SD1251264,【！！DIXCEL送料無料！！】SD1251264。DIXCEL（ディクセル）BMW 5シリーズ リア ブレーキディスクローター SDタイプ 06/10～ BMW E60 525i セダン (ＮE25)SD1251264[rn]
16-164691,http://tshop.r10s.jp/parts/cabinet/detail-aa71/aa71-slt1f018-1.jpg?fitin=700:700,13089.6000,,車用品・バイク用品 > カー用品 > ブレーキ > ブレーキローター,ブレーキ ローター 【送料無料】ACRE(アクレ)スリットローター フロント用 94.09～95.08 CB8A ランサー ABS無車,全国送料無料！（沖縄・離島は除く）　,リバース(逆転)回転方式を採用した６本スリットがスポーツパッドの性能をフルに発揮。パッド表面を常にクリーニングし、ダストや炭化ガス抜きにバツグンの性能を発揮するばかりでなくクラックが入りにくくなります。また独自に計算されたスリットの形状は深さと幅、角度を数々のモータースポーツから得たノウハウによりフィードバックしています。 <br>●フロント2枚セット ●生産国：日本 ●素材：FC250 ●エンジン型式：4D68(T) ●排気量（CC）：2000<br>※ABS無車用 <br>対応車種：94.09～95.08 CB8A ランサー ABS無車 <br>　車検対応品<br>ブレーキ/ブレーキローター,ブレーキ ローター 【送料無料】ACRE(アクレ)スリットローター フロント用 94.09～95.08 CB8A ランサー ABS無車：ＰＡＲＴＳ,ヘッドライトテールライトコーナーライトサイドマーカーカーボンアンテナドアミラーエアロメーターパネルリップスポイラーウイングホイールカバーペダル車高調ブレーキドライブレコーダーワイパーグリルボンネットローダウンブレーキ ローター 【送料無料】ACRE(アクレ)スリットローター フロント用 94.09～95.08 CB8A ランサー ABS無車,全国送料無料！（沖縄・離島は除く）　。ブレーキ ローター 【送料無料】ACRE(アクレ)スリットローター フロント用 94.09～95.08 CB8A ランサー ABS無車[rn]
