20-139901,http://tshop.r10s.jp/tuzukiya/cabinet/r04/r04-0115.jpg?fitin=700:700,2376.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ドライバー・レンチ > レンチ・スパナ,ロブテックス ポケットモンキー   UM48SB,,"●Short & Wide のイキなやつ。<br>
●ＵＭ48Ｓは二面幅４８mmまでOK!<br>
●ポケットインの手のひらサイズで込み入った狭い空間での作業に最適。<br>
●手のひらサイズのショートタイプモンキレンチで、軽く、薄く、口開きワイドでスケルトングリップ。おまけにうれしいメモリ付の便利な逸品。<br>
◆仕様<br>
口開きS(mm)：0～48<br>
ボルト・ナット最大寸法：M30<br>
L(mm)：185<br>
a(mm)：8<br>
b(mm)：16.5<br>
重量(g)：440<br>
※品番の末尾はグリップカラーを表示しています。<br>
B(ブルー)<br>",ロブテックス ポケットモンキー   UM48SB：ＤＩＹツールストア　楽天市場店,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得PROXXONカクダイ移動式水栓柱ゴルフ距離測定器ホビークラフトスピードガンガーデニングウッドバーニングらくらくヘルパーミニルーターアサヒペン大都リョービ日曜大工モグラ退治シャワーヘッドカネダインカーバイトラバーメイドロブテックス ポケットモンキー   UM48SB,【ポイント2倍】【在庫限り処分品】。ロブテックス ポケットモンキー   UM48SB[rn]
20-139951,http://tshop.r10s.jp/kys/cabinet/handtool03/kik-212l-5g-981.jpg?fitin=700:700,1045.6000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ドライバー・レンチ > レンチ・スパナ,PBスイスツールズ 212L-5G ボール付ロング六角棒レンチ (ゴールド),,"<p><img src=""http://image.rakuten.co.jp/kys/cabinet/index/sp_explanation.jpg"" width=""100%""></p>
<p><font color=""#ff0000"">※画像はイメージになります、商品説明をご確認下さい。</font></p><p>【特長】<br>●ゴールドメッキが美しいヘキサゴンレンチ。<br>●エッジは軽く隅取りしてあり、レンチをたやすくネジ穴に差し込むことができます。<br>●レンチには5桁の生産番号が記されており、この番号で原料段階の製造過程まで遡ることができます。<br>●硬度はHRC59と大変高く。しかも強靭に作られているので、耐摩擦性、持久性に優れ、高トルクをかけることができます。<br>●精密に作られたボールポイントで角度のついたところのネジを回すことが可能です。（斜め30°の角度までOK）<br><br>【仕様】<br>●サイズ(mm)：5<br>●レンチのキーの内側の長さ(mm)：25<br>●レンチのハンドルの内側の長さ(mm)：165<br>●質量(g)：31<br>●適合キャップスクリュー：M6<br>●適合セットスクリュー：M10<br><br>※ボール部では本締めできません。</p>",PBスイスツールズ 212L-5G ボール付ロング六角棒レンチ (ゴールド)：KanamonoYaSan  ＫＹＳ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得工具電動工具作業工具機械工具大工パナソニック日立ボッシュレーザー金物充電工具測定インパクトドライバタスコジャパン真空ポンプ空調工具マキタKYSPBスイスツールズ 212L-5G ボール付ロング六角棒レンチ (ゴールド),PBスイスツールズ 212L-5G ボール付ロング六角棒レンチ (ゴールド)[rn]
20-139952,http://tshop.r10s.jp/mutsuura/cabinet/orange/no48/4383185.jpg?fitin=700:700,232.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ドライバー・レンチ > レンチ・スパナ,スタンダードヘキサゴンビットソケット用交換ビット　10mm　T-10　KTC(京都機械工具),,"●交換用ビット<br>
●六角穴付止めねじ付です。<br>
●ビット交換時にはタイプAの場合は2mm、タイプBの場合は2.5mmのヘキサゴンレンチが必要です。<br>
<br>
【仕様】<br>
●全長(mm)：53<br>
●対辺寸法(mm)：10<br>
●タイプ：B<br>
●ソケット側寸法(mm)：10<br>
●重量：37g<br>
<br>
※画像は代表イメージです。<br>
★発送日目安：1～3営業日以内<br>
★こちらの商品はメーカーから取り寄せの商品になります。",スタンダードヘキサゴンビットソケット用交換ビット　10mm　T-10　KTC(京都機械工具)：工具屋のプロ 楽天市場店,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得東日　トルクレンチKTC圧着工具折りたたみコンテナ電気工事士 技能試験セット 消火器 家庭用コーケン　工具圧着ペンチドライバーロックタイトマキタ　makitaHOZAN　ホーザン砂時計ユタカメイク土壌酸度計ベルトポーチモンキーレンチツールバッグガーデニング用品リョービ　RYOBIスタンダードヘキサゴンビットソケット用交換ビット　10mm　T-10　KTC(京都機械工具),スタンダードヘキサゴンビットソケット用交換ビット　10mm　T-10　KTC(京都機械工具)[rn]
20-139953,http://tshop.r10s.jp/mutsuura/cabinet/00938215/hl259bsp-1.jpg?fitin=700:700,1544.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ドライバー・レンチ > レンチ・スパナ,六角棒レンチセット(インチ)　HL259BSP　KTC(京都機械工具),,"●奥深い箇所に取り付けてある六角穴付きボルトの脱着に便利です。<br>
●斜め回転作業が可能です。<br><br>
【商品詳細】<br>
●ボールポイントL形ロング六角棒レンチ<br>
　&nbsp1/16、5/64、3/32、1/8、5/32、3/16、
1/4、5/16、3/8<br>
●ホルダー<br>
※この商品はレンチ1本単位での販売はありません。<br>
<br>★発送日目安：1-3営業日以内<br>
★メーカー取り寄せ商品です。<br>",六角棒レンチセット(インチ)　HL259BSP　KTC(京都機械工具)：工具屋のプロ 楽天市場店,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得東日　トルクレンチKTC圧着工具折りたたみコンテナ電気工事士 技能試験セット 消火器 家庭用コーケン　工具圧着ペンチドライバーロックタイトマキタ　makitaHOZAN　ホーザン砂時計ユタカメイク土壌酸度計ベルトポーチモンキーレンチツールバッグガーデニング用品リョービ　RYOBI六角棒レンチセット(インチ)　HL259BSP　KTC(京都機械工具),インチサイズ　9本組。六角棒レンチセット(インチ)　HL259BSP　KTC(京都機械工具)[rn]
20-139954,http://tshop.r10s.jp/kys/cabinet/ts-20/t010004381838.jpg?fitin=700:700,633.6000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ドライバー・レンチ > レンチ・スパナ,TONE マスターツール首下ショートボールポイントL形レンチ 5/16inch BSB-10S,,"<p><img src=""http://image.rakuten.co.jp/kys/cabinet/index/sp_explanation.jpg"" width=""100%""></p>
<p>【メーカー】<br>
●ＴＯＮＥ（株）<br>
<br>
【特長】<br>
●高トルク、耐久力、耐摩耗性を高める特殊合金鋼を採用しています。<br>
●高度な熱処理と硬質クロムメッキ処理により、六角部の摩耗を防ぎ、高強度でありながら靭性（破断しにくい）を高め、確実な作業と安全性を向上させました。<br>
●ボールポイント加工で、斜め作業の早回し、仮締めが可能です。<br>
<br>
【用途】<br>
●六角穴付きボルト・ねじの締付け、緩め作業用。<br>
<br>
【仕様】<br>
●首下寸法(mm):16<br>
●全長(mm):112<br>
●対辺寸法(インチ):5/16<br>
<br>
【材質・仕上げ】<br>
●特殊合金鋼<br>
<br>
【注意】<br>
●ボールポイント部は細くなっています。力の入れ過ぎに注意してください。<br>
<br>
【質量】<br>
●70G</p>",TONE マスターツール首下ショートボールポイントL形レンチ 5/16inch BSB-10S：KanamonoYaSan  ＫＹＳ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得工具電動工具作業工具機械工具大工パナソニック日立ボッシュレーザー金物充電工具測定インパクトドライバタスコジャパン真空ポンプ空調工具マキタKYSTONE マスターツール首下ショートボールポイントL形レンチ 5/16inch BSB-10S,【代表画像 色/サイズ等注意】。TONE マスターツール首下ショートボールポイントL形レンチ 5/16inch BSB-10S[rn]
20-139955,http://tshop.r10s.jp/kys/cabinet/asahi01/aq1900.jpg?fitin=700:700,5570.4000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ドライバー・レンチ > レンチ・スパナ,アサヒ ASH AQロングボールポイント六角棒レンチ AQ1900,,"<p><img src=""http://image.rakuten.co.jp/kys/cabinet/index/sp_explanation.jpg"" width=""100%""></p>
<p>【メーカー】<br>
●旭金属工業（株）<br>
<br>
【仕様】<br>
●対辺寸法(mm):19<br>
●首下寸法(mm):70<br>
●全長(mm):360<br>
●硬度:HRC54～58<br>
●質量(g):1055<br>
●材質:超強力合金鋼<br>
●表面処理:ニッケルクロムメッキ</p>",アサヒ ASH AQロングボールポイント六角棒レンチ AQ1900：KanamonoYaSan  ＫＹＳ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得工具電動工具作業工具機械工具大工パナソニック日立ボッシュレーザー金物充電工具測定インパクトドライバタスコジャパン真空ポンプ空調工具マキタKYSアサヒ ASH AQロングボールポイント六角棒レンチ AQ1900,アサヒ ASH AQロングボールポイント六角棒レンチ AQ1900[rn]
20-139956,http://tshop.r10s.jp/kys/cabinet/ts-39/t010005847219.jpg?fitin=700:700,180.8000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ドライバー・レンチ > レンチ・スパナ,TRUSCO ボールポイント六角棒レンチ 1/4インチ TBRI-1/4,,"<p><img src=""http://image.rakuten.co.jp/kys/cabinet/index/sp_explanation.jpg"" width=""100%""></p>
<p>【メーカー】<br>
●トラスコ中山（株）<br>
<br>
【特長】<br>
●ボールポイント加工で約２５°傾けて使用でき、ボルトの仮締めが早く、作業性がアップします。<br>
●黒染め処理をしています。<br>
<br>
<br>
<br>
【仕様】<br>
●首下寸法(mm):28<br>
●全長(mm):135<br>
●対辺寸法(インチ):1/4<br>
●硬度:ＨＲＣ50～58<br>
●表面処理:黒染め<br>
<br>
【材質・仕上げ】<br>
●クロムバナジウム鋼（Cr-V）<br>
<br>
【質量】<br>
●45.5G</p>",TRUSCO ボールポイント六角棒レンチ 1/4インチ TBRI-1/4：KanamonoYaSan  ＫＹＳ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得工具電動工具作業工具機械工具大工パナソニック日立ボッシュレーザー金物充電工具測定インパクトドライバタスコジャパン真空ポンプ空調工具マキタKYSTRUSCO ボールポイント六角棒レンチ 1/4インチ TBRI-1/4,【代表画像 色/サイズ等注意】。TRUSCO ボールポイント六角棒レンチ 1/4インチ TBRI-1/4[rn]
20-139957,http://tshop.r10s.jp/mutsuura/cabinet/00938215/hld2509b-1.jpg?fitin=700:700,7104.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ドライバー・レンチ > レンチ・スパナ,ハイグレードBP付ロング六角棒レンチセット(インチ)　HLD2509B　KTC(京都機械工具),,"【商品詳細】<br>
●HLD250-1/16、5/64、3/32、1/8、5/32<br>
3/16、1/4、5/16、3/8<br>
●9本組<br><br>
※インチサイズですのでお間違えのないよう<br>
ご注意下さい。<br>
★発送日目安：1-3営業日以内<br>
★メーカー取り寄せ商品です。<br>",ハイグレードBP付ロング六角棒レンチセット(インチ)　HLD2509B　KTC(京都機械工具)：工具屋のプロ 楽天市場店,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得東日　トルクレンチKTC圧着工具折りたたみコンテナ電気工事士 技能試験セット 消火器 家庭用コーケン　工具圧着ペンチドライバーロックタイトマキタ　makitaHOZAN　ホーザン砂時計ユタカメイク土壌酸度計ベルトポーチモンキーレンチツールバッグガーデニング用品リョービ　RYOBIハイグレードBP付ロング六角棒レンチセット(インチ)　HLD2509B　KTC(京都機械工具),【送料無料地域有】。ハイグレードBP付ロング六角棒レンチセット(インチ)　HLD2509B　KTC(京都機械工具)[rn]
20-139958,http://tshop.r10s.jp/mutsuura/cabinet/orange/no48/4383183.jpg?fitin=700:700,424.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ドライバー・レンチ > レンチ・スパナ,スタンダードヘキサゴンビットソケット用交換ビット1/2inch　T-1/2　KTC(京都機械工具),,"【仕様】<br>
●全長(mm)：61<br>
●タイプ：B<br>
●対辺寸法(インチ)：1/2<br>
●ソケット側寸法(mm)：14<br>
●重量：79g<br>
<br>
※画像は代表イメージです。<br>
<br>
★発送日目安：1-3営業日以内<br>
★こちらの商品はメーカーから取り寄せの商品になります。",スタンダードヘキサゴンビットソケット用交換ビット1/2inch　T-1/2　KTC(京都機械工具)：工具屋のプロ 楽天市場店,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得東日　トルクレンチKTC圧着工具折りたたみコンテナ電気工事士 技能試験セット 消火器 家庭用コーケン　工具圧着ペンチドライバーロックタイトマキタ　makitaHOZAN　ホーザン砂時計ユタカメイク土壌酸度計ベルトポーチモンキーレンチツールバッグガーデニング用品リョービ　RYOBIスタンダードヘキサゴンビットソケット用交換ビット1/2inch　T-1/2　KTC(京都機械工具),&amp;#8203;。スタンダードヘキサゴンビットソケット用交換ビット1/2inch　T-1/2　KTC(京都機械工具)[rn]
20-139959,http://tshop.r10s.jp/kys/cabinet/supertool/st-hkxb7s.jpg?fitin=700:700,1622.4000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ドライバー・レンチ > レンチ・スパナ,スーパーツール エクストラロングボールポイント六角棒レンチ 7本組 HKXB7S,,"<p><img src=""http://image.rakuten.co.jp/kys/cabinet/index/sp_explanation.jpg"" width=""100%""></p>
<p>【メーカー】<br>●（株）スーパーツール<br><br>【用途】<br>●各種六角穴付ボルトの締付け作業に。<br><br>【仕様】<br>●セット内容:HKX1.5、2、HKXB2.5、3、4、5、6<br>●セット内容(本):7<br>●二面幅寸法(mm):1.5、2、2.5、3、4、5、6<br>●質量(g):122<br><br>【材質・仕上げ】<br>●SNCM・V<br>●マットクロムメッキ<br><br>【セット内容・付属品】<br>●ホルダ<br><br>【注意】<br>●1.5・2ｍｍのサイズは、通常の六角です。<br><br>【原産国】<br>●台湾<br><br>【1注文あたり入数】<br>●7本<br><br>【質量】<br>●122G</p>",スーパーツール エクストラロングボールポイント六角棒レンチ 7本組 HKXB7S：KanamonoYaSan  ＫＹＳ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得工具電動工具作業工具機械工具大工パナソニック日立ボッシュレーザー金物充電工具測定インパクトドライバタスコジャパン真空ポンプ空調工具マキタKYSスーパーツール エクストラロングボールポイント六角棒レンチ 7本組 HKXB7S,スーパーツール エクストラロングボールポイント六角棒レンチ 7本組 HKXB7S[rn]
20-139960,http://tshop.r10s.jp/kys/cabinet/ts-42/t010006018347.jpg?fitin=700:700,7068.8000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ドライバー・レンチ > レンチ・スパナ,HAZET ロング六角棒レンチセット(ボールポイント) 9本セット 2105LG/9H,,"<p><img src=""http://image.rakuten.co.jp/kys/cabinet/index/sp_explanation.jpg"" width=""100%""></p>
<p>【メーカー】<br>
●ＨＡＺＥＴ社<br>
<br>
【特長】<br>
●ロング六角棒レンチのセットです。<br>
●専用プラスチックホルダーに収納しています。<br>
<br>
<br>
<br>
【仕様】<br>
●セット内容(mm):1.5、2.0、2.5、3.0、4.0、5.0、6.0、8.0、10.0<br>
●セット内容(本):9<br>
<br>
【材質・仕上げ】<br>
●クロムバナジウム鋼(Cr-V)<br>
<br>
【1注文あたり入数】<br>
●9本<br>
<br>
【質量】<br>
●432G</p>",HAZET ロング六角棒レンチセット(ボールポイント) 9本セット 2105LG/9H：KanamonoYaSan  ＫＹＳ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得工具電動工具作業工具機械工具大工パナソニック日立ボッシュレーザー金物充電工具測定インパクトドライバタスコジャパン真空ポンプ空調工具マキタKYSHAZET ロング六角棒レンチセット(ボールポイント) 9本セット 2105LG/9H,【代表画像 色/サイズ等注意】。HAZET ロング六角棒レンチセット(ボールポイント) 9本セット 2105LG/9H[rn]
20-139961,http://tshop.r10s.jp/mutsuura/cabinet/orange/no48/4383180.jpg?fitin=700:700,560.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ドライバー・レンチ > レンチ・スパナ,ロングボールポイントヘキサゴンビットソケット用交換ビット1/4inch　T-1/4BPL　KTC(京都機械工具),,"【仕様】<br>
●全長(mm)：108<br>
●タイプ：A<br>
●対辺寸法(インチ)：1/4<br>
●ソケット側寸法(mm)：6.3<br>
●重量：30g<br>
<br>
※画像は代表イメージです。<br>
<br>
★発送日目安：1-3営業日以内<br>
★こちらの商品はメーカーから取り寄せの商品になります。",ロングボールポイントヘキサゴンビットソケット用交換ビット1/4inch　T-1/4BPL　KTC(京都機械工具)：工具屋のプロ 楽天市場店,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得東日　トルクレンチKTC圧着工具折りたたみコンテナ電気工事士 技能試験セット 消火器 家庭用コーケン　工具圧着ペンチドライバーロックタイトマキタ　makitaHOZAN　ホーザン砂時計ユタカメイク土壌酸度計ベルトポーチモンキーレンチツールバッグガーデニング用品リョービ　RYOBIロングボールポイントヘキサゴンビットソケット用交換ビット1/4inch　T-1/4BPL　KTC(京都機械工具),&amp;#8203;。ロングボールポイントヘキサゴンビットソケット用交換ビット1/4inch　T-1/4BPL　KTC(京都機械工具)[rn]
20-139962,http://tshop.r10s.jp/kys/cabinet/tone01/bl-15.jpg?fitin=700:700,309.6000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ドライバー・レンチ > レンチ・スパナ,TONE トネ ロングボールポイントL形レンチ BL-1.5,,"<p><img src=""http://image.rakuten.co.jp/kys/cabinet/index/sp_explanation.jpg"" width=""100%""></p>
<p>【メーカー】<br>
●ＴＯＮＥ（株）<br>
<br>
【特長】<br>
●高トルク、耐久力、耐摩耗性を高める特殊合金鋼を採用しました。<br>
●ボールポイント加工で、斜め作業の早回し、仮締めが可能です。<br>
●材質は、特殊合金鋼（MASTER TOOL）です。<br>
●ロングタイプです。<br>
<br>
【用途】<br>
●六角穴付ボルトの締め付け、緩め作業。<br>
<br>
【仕様】<br>
●首下寸法(mm):14<br>
●全長(mm):81<br>
●対辺寸法(mm):1.5<br>
●質量(g):1<br>
<br>
【材質・仕上げ】<br>
●特殊合金鋼（MASTER TOOL）<br>
<br>
【原産国】<br>
●日本<br>
<br>
【質量】<br>
●1G</p>",TONE トネ ロングボールポイントL形レンチ BL-1.5：KanamonoYaSan  ＫＹＳ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得工具電動工具作業工具機械工具大工パナソニック日立ボッシュレーザー金物充電工具測定インパクトドライバタスコジャパン真空ポンプ空調工具マキタKYSTONE トネ ロングボールポイントL形レンチ BL-1.5,TONE トネ ロングボールポイントL形レンチ BL-1.5[rn]
20-139963,http://tshop.r10s.jp/mutsuura/cabinet/orange/no48/4383185.jpg?fitin=700:700,216.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ドライバー・レンチ > レンチ・スパナ,スタンダードヘキサゴンビットソケット用交換ビット6mm　T-06　KTC(京都機械工具),,"【仕様】<br>
●対辺寸法(mm)：6<br>
●全長(mm)：46<br>
●タイプ：A<br>
●ソケット側寸法(mm)：6.3<br>
●重量：14g<br>
<br>
※画像は代表イメージです。<br>
<br>
★発送日目安：1-3営業日以内<br>
★こちらの商品はメーカーから取り寄せの商品になります。",スタンダードヘキサゴンビットソケット用交換ビット6mm　T-06　KTC(京都機械工具)：工具屋のプロ 楽天市場店,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得東日　トルクレンチKTC圧着工具折りたたみコンテナ電気工事士 技能試験セット 消火器 家庭用コーケン　工具圧着ペンチドライバーロックタイトマキタ　makitaHOZAN　ホーザン砂時計ユタカメイク土壌酸度計ベルトポーチモンキーレンチツールバッグガーデニング用品リョービ　RYOBIスタンダードヘキサゴンビットソケット用交換ビット6mm　T-06　KTC(京都機械工具),&amp;#8203;。スタンダードヘキサゴンビットソケット用交換ビット6mm　T-06　KTC(京都機械工具)[rn]
20-139964,http://tshop.r10s.jp/kys/cabinet/ts-20/t010004383001.jpg?fitin=700:700,214.4000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ドライバー・レンチ > レンチ・スパナ,TRUSCO ボールポイント六角棒レンチ ロングタイプ 7.0mm TBRL-70,,"<p><img src=""http://image.rakuten.co.jp/kys/cabinet/index/sp_explanation.jpg"" width=""100%""></p>
<p>【メーカー】<br>
●トラスコ中山（株）<br>
<br>
【特長】<br>
●力が入りやすいロングタイプです。<br>
●表面処理は黒染め加工です。<br>
●硬度はHRC52～56です。<br>
<br>
<br>
<br>
【仕様】<br>
●対辺寸法(mm):7<br>
●首下寸法(mm):34<br>
●全長(mm):190<br>
●表面処理:黒染め<br>
<br>
【材質・仕上げ】<br>
●クロムバナジウム鋼（Cr-V）<br>
<br>
【質量】<br>
●74.9G</p>",TRUSCO ボールポイント六角棒レンチ ロングタイプ 7.0mm TBRL-70：KanamonoYaSan  ＫＹＳ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得工具電動工具作業工具機械工具大工パナソニック日立ボッシュレーザー金物充電工具測定インパクトドライバタスコジャパン真空ポンプ空調工具マキタKYSTRUSCO ボールポイント六角棒レンチ ロングタイプ 7.0mm TBRL-70,【代表画像 色/サイズ等注意】。TRUSCO ボールポイント六角棒レンチ ロングタイプ 7.0mm TBRL-70[rn]
20-139965,http://tshop.r10s.jp/kys/cabinet/ts-37/t010005801972.jpg?fitin=700:700,356.8000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ドライバー・レンチ > レンチ・スパナ,エイト 六角棒スパナ テーパーヘッド 標準寸法 特短 単品 TTR-2.5,,"<p><img src=""http://image.rakuten.co.jp/kys/cabinet/index/sp_explanation.jpg"" width=""100%""></p>
<p>【メーカー】<br>
●（株）エイト<br>
<br>
【特長】<br>
●特短とは、短い方の長さ（L1寸法）を従来規格の1/2以下に設定。狭い所の作業に効果を発揮します。<br>
●使用時に指先が底面に触れないよう、曲げ角度を9０°より少し広げ、使いやすさを更に高めています。<br>
<br>
【用途】<br>
●六角穴付ボルト類の締結用<br>
<br>
【仕様】<br>
●対辺寸法(mm):2.5<br>
●首下寸法(mm):6<br>
●全長(mm):60<br>
<br>
【材質・仕上げ】<br>
●レンチ:特殊合金鋼、SNCM+Vスペシャル(ハードクロームメッキ)<br>
<br>
【質量】<br>
●3G</p>",エイト 六角棒スパナ テーパーヘッド 標準寸法 特短 単品 TTR-2.5：KanamonoYaSan  ＫＹＳ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得工具電動工具作業工具機械工具大工パナソニック日立ボッシュレーザー金物充電工具測定インパクトドライバタスコジャパン真空ポンプ空調工具マキタKYSエイト 六角棒スパナ テーパーヘッド 標準寸法 特短 単品 TTR-2.5,【代表画像 色/サイズ等注意】。エイト 六角棒スパナ テーパーヘッド 標準寸法 特短 単品 TTR-2.5[rn]
20-139966,http://tshop.r10s.jp/mutsuura/cabinet/00938215/img56246382.jpg?fitin=700:700,1112.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ドライバー・レンチ > レンチ・スパナ,ハイグレードボールポイントL形ロング六角棒レンチ　HLD250-10　KTC(京都機械工具),,"【商品詳細】<br>
●サイズ：10mm<br>
●全長：235mm<br>
●首下寸法：40mm<br>
<br>
※画像は代表イメージです。<br>
★発送日目安：1-3営業日以内<br>
★こちらの商品はメーカーから取り寄せの商品になります。",ハイグレードボールポイントL形ロング六角棒レンチ　HLD250-10　KTC(京都機械工具)：工具屋のプロ 楽天市場店,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得東日　トルクレンチKTC圧着工具折りたたみコンテナ電気工事士 技能試験セット 消火器 家庭用コーケン　工具圧着ペンチドライバーロックタイトマキタ　makitaHOZAN　ホーザン砂時計ユタカメイク土壌酸度計ベルトポーチモンキーレンチツールバッグガーデニング用品リョービ　RYOBIハイグレードボールポイントL形ロング六角棒レンチ　HLD250-10　KTC(京都機械工具),ハイグレードボールポイントL形ロング六角棒レンチ　HLD250-10　KTC(京都機械工具)[rn]
20-139967,http://tshop.r10s.jp/mutsuura/cabinet/01186925/hld150-1.jpg?fitin=700:700,1488.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ドライバー・レンチ > レンチ・スパナ,ハイグレードL形ロング六角棒レンチ　HLD150-14　KTC(京都機械工具),,"【商品詳細】<br>
●サイズ：14mm<br>
●全長：295mm<br>
●首下寸法：55mm<br>
<br>
※画像は代表イメージです。<br>
★発送日目安：1-3営業日以内<br>
★こちらの商品はメーカーから取り寄せの商品になります。",ハイグレードL形ロング六角棒レンチ　HLD150-14　KTC(京都機械工具)：工具屋のプロ 楽天市場店,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得東日　トルクレンチKTC圧着工具折りたたみコンテナ電気工事士 技能試験セット 消火器 家庭用コーケン　工具圧着ペンチドライバーロックタイトマキタ　makitaHOZAN　ホーザン砂時計ユタカメイク土壌酸度計ベルトポーチモンキーレンチツールバッグガーデニング用品リョービ　RYOBIハイグレードL形ロング六角棒レンチ　HLD150-14　KTC(京都機械工具),サイズ14mm、首下寸法55mm。ハイグレードL形ロング六角棒レンチ　HLD150-14　KTC(京都機械工具)[rn]
20-139968,http://tshop.r10s.jp/mutsuura/cabinet/orange/no48/4383181.jpg?fitin=700:700,240.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ドライバー・レンチ > レンチ・スパナ,ショートヘキサゴンビットソケット用交換ビット9/64inch　T-9/64S　KTC(京都機械工具),,"【仕様】<br>
●全長(mm)：28<br>
●タイプ：A<br>
●対辺寸法(インチ)：9/64<br>
●ソケット側寸法(mm)：6.3<br>
●重量：7g<br>
<br>
※画像は代表イメージです。<br>
<br>
★発送日目安：1-3営業日以内<br>
★こちらの商品はメーカーから取り寄せの商品になります。",ショートヘキサゴンビットソケット用交換ビット9/64inch　T-9/64S　KTC(京都機械工具)：工具屋のプロ 楽天市場店,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得東日　トルクレンチKTC圧着工具折りたたみコンテナ電気工事士 技能試験セット 消火器 家庭用コーケン　工具圧着ペンチドライバーロックタイトマキタ　makitaHOZAN　ホーザン砂時計ユタカメイク土壌酸度計ベルトポーチモンキーレンチツールバッグガーデニング用品リョービ　RYOBIショートヘキサゴンビットソケット用交換ビット9/64inch　T-9/64S　KTC(京都機械工具),&amp;#8203;。ショートヘキサゴンビットソケット用交換ビット9/64inch　T-9/64S　KTC(京都機械工具)[rn]
20-139969,http://tshop.r10s.jp/mutsuura/cabinet/00910319/img56378375.jpg?fitin=700:700,1832.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ドライバー・レンチ > レンチ・スパナ,六角棒レンチセット(パックなし)　210H-6　PB,,"【仕様】<br>
●セット内容(mm)：
1.5、2、2.5、3、4、5、6<br>
※HCはパック入り仕様です。<br>
<br>
※画像は代表イメージです。<br>
★発送日目安：1-3営業日以内<br>
★こちらの商品はメーカー取り寄せになります。",六角棒レンチセット(パックなし)　210H-6　PB：工具屋のプロ 楽天市場店,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得東日　トルクレンチKTC圧着工具折りたたみコンテナ電気工事士 技能試験セット 消火器 家庭用コーケン　工具圧着ペンチドライバーロックタイトマキタ　makitaHOZAN　ホーザン砂時計ユタカメイク土壌酸度計ベルトポーチモンキーレンチツールバッグガーデニング用品リョービ　RYOBI六角棒レンチセット(パックなし)　210H-6　PB,&amp;#8203;。六角棒レンチセット(パックなし)　210H-6　PB[rn]
